"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C1","Flow Categories","-28.770001","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-1321.129997","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-11.649999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-169.710001","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-0.680000","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-42.160000","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"IL","Flow Categories","","","1.000000","Volumetric","0.000000"
"CL","Flow Categories","","","1.000000","Volumetric","0.000000"
"PL-AF","Flow Categories","-18.459998","0.000000","1.000000","Volumetric","-1.000000"
