"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62502200000093","Nodes","93",21.000000,33.281874,"DDS demands","Known Flow",241438.129854,646020.977998,,0.000000,,,,,,-10.039999,,,,,-8.977947,-10.039999,,"",,,,,,"D1 PROFILE",,,,
"62502200001000","Nodes","Logger 10347, CHURCH OF SCOTLAND OPR",21.000000,34.565286,"Val Log Cath","Known Flow",242064.109478,645953.283235,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000133","Nodes","133",21.000000,38.535369,"DDS demands","Known Flow",242174.517773,645483.063491,,0.000000,,,,,,-17.169999,,,,,-15.353721,-17.169999,,"",,,,,,"D1 PROFILE",,,,
"62502200000276","Nodes","276",21.000000,33.598933,"DDS demands","Known Flow",241324.372685,645578.456894,,0.000000,,,,,,-14.330000,,,,,-12.814142,-14.330000,,"",,,,,,"D1 PROFILE",,,,
"62502200000305","Nodes","305",21.000000,34.411856,"DDS demands","Known Flow",241419.994147,645623.211684,,0.000000,,,,,,-2.329999,,,,,-2.083527,-2.329999,,"",,,,,,"D1 PROFILE",,,,
"62502200000123","Nodes","123",21.000000,37.071478,"DDS demands","Known Flow",242011.679602,645900.361103,,0.000000,-39.999997,0.000000,,,,,,,,,-35.768714,-39.999997,,"","C1 PROFILE","C2 PROFILE",,,,,,,,
"62502210000098","Nodes","10000098",21.000000,37.831338,"Default Known Flow Node","Known Flow",241851.624012,645809.559262,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000122","Nodes","122",21.000000,41.770443,"DDS demands","Known Flow",242076.436772,645630.671164,,0.000000,,,,,,-4.929999,,,,,-4.408494,-4.929999,,"",,,,,,"D1 PROFILE",,,,
"62502210000227","Nodes","10000227",21.000000,33.411386,"Default Known Flow Node","Known Flow",241429.397892,646240.521378,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000153","Nodes","153",21.000000,33.311251,"DDS demands","Known Flow",241443.515726,646161.384299,,0.000000,,,,,,-13.290000,,,,,-11.884156,-13.290000,,"",,,,,,"D1 PROFILE",,,,
