"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"C1","Flow Categories",-114.939998,0.000000,1.000000,"Volumetric",-1.000000
"D1","Flow Categories",-1179.160005,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-21.610000,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-15.220000,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-65.279998,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-103.319999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",-59.999999,0.000000,1.000000,"Volumetric",-1.000000
