"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-4547.430001","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-268.850005","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-118.500000","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-38.209999","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-511.340006","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"C2","Flow Categories","-331.780003","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-273.360001","0.000000","1.000000","Volumetric","-1.000000"
"CT","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"PL-AF","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0.000000"
"PL-90","Flow Categories","","","1.000000","Volumetric","0.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"DL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
