"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62503700000392","Nodes","392","21.000000","27.275503","DDS demands","Known Flow","237878.265204","664965.059821","","0.000000","","","","","-3.190000","","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","","",""
"62503700000326","Nodes","326","21.000000","46.797789","DDS demands","Known Flow","236236.549438","666857.165667","","0.000000","","","-3.459999","","","","","","","-3.093993","-3.459999","","","","","C3 PROFILE","","","","","",""
"62503700001012","Nodes","Side of 14 Hope Ave, on Main Rd, Logger 10109","21.000000","46.820252","Val Log Post","Known Flow","236218.670861","666866.058657","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700003182","Nodes","-82468","21.000000","46.811560","Default Known Flow Node","Known Flow","236210.870431","666869.938671","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000248","Nodes","248","21.000000","30.152912","DDS demands","Known Flow","238450.478173","665631.682464","","0.000000","","","","","-2.890000","","","","","-2.584289","-2.890000","","","","","","","D1 PROFILE","","","",""
"62503700001011","Nodes","Bend O Brae, Horsewood Rd, Logger 9690","21.000000","30.167174","Val Log Cath","Known Flow","238458.345702","665585.951624","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700003025","Nodes","-118892","21.000000","30.230532","Default Known Flow Node","Known Flow","238437.264322","665565.706541","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000061","Nodes","61","21.000000","31.580279","DDS demands","Known Flow","238598.461417","665312.588707","","0.000000","","","-8.590000","","-11.910000","","","","","-18.331467","-20.499999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000040","Nodes","40","21.000000","26.502253","DDS demands","Known Flow","238880.476829","665912.969231","","0.000000","","","","","-9.609999","","","","","-8.593433","-9.609999","","","","","","","D1 PROFILE","","","",""
"62503700000298","Nodes","298","21.000000","31.563245","DDS demands","Known Flow","239469.765058","665104.390267","","0.000000","","","","","-9.020000","","","","","-8.065845","-9.020000","","","","","","","D1 PROFILE","","","",""
