"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62503900001001","Nodes","1001",21.000000,28.177682,"Default Known Flow Node","Known Flow",269520.158172,627215.539802,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000060","Nodes","60",21.000000,30.208346,"DDS demands","Known Flow",269178.623141,627004.034075,,0.000000,-5.670000,,,,-7.949999,,,,-12.179248,-13.620000,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"62503900000112","Nodes","112",21.000000,31.055613,"DDS demands","Known Flow",268867.184317,627069.634841,,0.000000,,,,,-9.890000,,,,-8.843815,-9.890000,,"",,,,,"D1 PROFILE",,,
"62503900000056","Nodes","56",21.000000,31.571407,"DDS demands","Known Flow",268946.221338,626963.214812,,0.000000,,,,,-4.630000,,,,-4.140228,-4.630000,,"",,,,,"D1 PROFILE",,,
"62503900000163","Nodes","163",21.000000,37.363937,"DDS demands","Known Flow",268533.304226,626870.377787,,0.000000,,,,,-4.409999,,,,-3.943500,-4.409999,,"",,,,,"D1 PROFILE",,,
"62503900000097","Nodes","97",21.000000,37.658028,"DDS demands","Known Flow",268439.869679,626576.813645,,0.000000,,,,,-8.520000,,,,-7.618736,-8.520000,,"",,,,,"D1 PROFILE",,,
"62503900000135","Nodes","135",21.000000,37.639428,"DDS demands","Known Flow",268426.312960,626625.911820,,0.000000,,,,,-1.399999,,,,-1.251905,-1.399999,,"",,,,,"D1 PROFILE",,,
"62503900000204","Nodes","204",21.000000,36.658887,"DDS demands","Known Flow",268401.872616,626832.179761,,0.000000,,,,,-5.280000,,,,-4.721470,-5.280000,,"",,,,,"D1 PROFILE",,,
"62503900000094","Nodes","94",21.000000,37.675165,"DDS demands","Known Flow",268475.847630,626759.293762,,0.000000,,,,,-14.970000,,,,-13.386442,-14.970000,,"",,,,,"D1 PROFILE",,,
"62503900000028","Nodes","28",21.000000,37.665302,"DDS demands","Known Flow",268505.412980,626805.307116,,0.000000,,,,,-6.800000,,,,-6.080681,-6.800000,,"",,,,,"D1 PROFILE",,,
"62503900000052","Nodes","52",21.000000,28.926970,"DDS demands","Known Flow",268606.936246,626863.623785,,0.000000,,,,,-6.300000,,,,-5.633573,-6.300000,,"",,,,,"D1 PROFILE",,,
"62503900000051","Nodes","51",21.000000,29.200780,"DDS demands","Known Flow",268607.258246,626901.597795,,0.000000,,,,,-3.299999,,,,-2.950918,-3.299999,,"",,,,,"D1 PROFILE",,,
"62503900000002","Nodes","MUIRKIRK DG, Tel, Clocked, Site ID: 3270",21.000000,39.000000,"Default Known Pressure Node","Known Pressure",268519.729007,626555.299167,,999998.967025,,,,,,,,,825.586664,923.250022,,"",,,,,,,,
"62503900000027","Nodes","27",21.000000,37.187241,"DDS demands","Known Flow",268571.376890,626906.698985,,0.000000,,,,,-3.339999,,,,-2.986687,-3.339999,,"",,,,,"D1 PROFILE",,,
"62503900000053","Nodes","53",21.000000,29.934491,"DDS demands","Known Flow",268680.282266,626868.504786,,0.000000,,,,,-12.459999,,,,-11.141954,-12.459999,,"",,,,,"D1 PROFILE",,,
"62503900000180","Nodes","180",21.000000,30.739487,"DDS demands","Known Flow",268687.132934,626840.295927,,0.000000,,,,,-6.840000,,,,-6.116450,-6.840000,,"",,,,,"D1 PROFILE",,,
"62503900000049","Nodes","49",21.000000,29.655608,"DDS demands","Known Flow",268656.369820,626926.260764,,0.000000,,,,,-3.970000,,,,-3.550045,-3.970000,,"",,,,,"D1 PROFILE",,,
"62503900000045","Nodes","45",21.000000,30.887837,"DDS demands","Known Flow",268690.643269,626825.972775,,0.000000,,,,,-4.889999,,,,-4.372725,-4.889999,,"",,,,,"D1 PROFILE",,,
"62503900000096","Nodes","96",21.000000,37.704154,"DDS demands","Known Flow",268539.200471,626616.506289,,0.000000,,,,,-7.199999,,,,-6.438368,-7.199999,,"",,,,,"D1 PROFILE",,,
"62503900000055","Nodes","55",21.000000,30.837871,"Default Known Flow Node","Known Flow",268694.184052,626809.425179,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000100","Nodes","100",21.000000,31.253988,"DDS demands","Known Flow",268768.934290,626852.290782,,0.000000,,,,,-3.680000,,,,-3.290721,-3.680000,,"",,,,,"D1 PROFILE",,,
"62503900000092","Nodes","92",21.000000,30.387888,"DDS demands","Known Flow",268718.402443,626967.616487,,0.000000,,,,,-17.129999,,,,-15.317952,-17.129999,,"",,,,,"D1 PROFILE",,,
"62503900000189","Nodes","189",21.000000,30.320290,"DDS demands","Known Flow",268673.053264,626971.188814,,0.000000,,,,,-8.660000,,,,-7.743927,-8.660000,,"",,,,,"D1 PROFILE",,,
"62503900000090","Nodes","90",21.000000,31.658526,"DDS demands","Known Flow",268869.113142,626909.494102,,0.000000,,,,,-3.319999,,,,-2.968803,-3.319999,,"",,,,,"D1 PROFILE",,,
"62503900000031","Nodes","31",21.000000,37.445940,"DDS demands","Known Flow",268538.280821,626739.529853,,0.000000,,,,,-7.539999,,,,-6.742402,-7.539999,,"",,,,,"D1 PROFILE",,,
"62503900000193","Nodes","193",21.000000,30.167349,"DDS demands","Known Flow",268599.837230,626944.478562,,0.000000,,,,,-4.360000,,,,-3.898790,-4.360000,,"",,,,,"D1 PROFILE",,,
"62503900000081","Nodes","81",21.000000,27.369962,"DDS demands","Known Flow",269528.113501,626538.327705,,0.000000,,,,,-1.420000,,,,-1.269789,-1.420000,,"",,,,,"D1 PROFILE",,,
"62503900000161","Nodes","161",21.000000,30.491715,"DDS demands","Known Flow",268667.264262,627073.063842,,0.000000,,,,,-6.979999,,,,-6.241640,-6.979999,,"",,,,,"D1 PROFILE",,,
"62503900000115","Nodes","115",21.000000,30.889167,"DDS demands","Known Flow",268747.679018,627141.436613,,0.000000,,,,,-16.389999,,,,-14.656231,-16.389999,,"",,,,,"D1 PROFILE",,,
"62503900000158","Nodes","158",21.000000,30.940216,"DDS demands","Known Flow",268718.470276,627064.792840,,0.000000,,,,,-6.079999,,,,-5.436844,-6.079999,,"",,,,,"D1 PROFILE",,,
"62503900000160","Nodes","160",21.000000,31.413904,"Default Known Flow Node","Known Flow",268813.520302,627188.936873,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000113","Nodes","113",21.000000,31.019809,"DDS demands","Known Flow",268834.934371,627129.665579,,0.000000,,,,,-8.300000,,,,-7.422008,-8.300000,,"",,,,,"D1 PROFILE",,,
"62503900000157","Nodes","157",21.000000,30.864402,"DDS demands","Known Flow",268732.931280,627043.418834,,0.000000,,,,,-9.779999,,,,-8.745450,-9.779999,,"",,,,,"D1 PROFILE",,,
"62503900000200","Nodes","200",21.000000,30.765720,"DDS demands","Known Flow",268831.171307,627072.788842,,0.000000,,,,,-2.539999,,,,-2.271313,-2.539999,,"",,,,,"D1 PROFILE",,,
"62503900000196","Nodes","196",21.000000,24.171628,"DDS demands","Known Flow",269928.899888,627472.411951,,0.000000,,,,,-1.490000,,,,-1.332384,-1.490000,,"",,,,,"D1 PROFILE",,,
"62503900000065","Nodes","65",21.000000,25.969845,"DDS demands","Known Flow",269548.570939,627318.517071,,0.000000,,-9.710000,,,-7.880000,,,,-15.729293,-17.589999,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"62503900000069","Nodes","69",21.000000,23.458292,"DDS demands","Known Flow",269919.112301,627697.405145,,0.000000,,,,,-3.049999,,,,-2.727364,-3.049999,,"",,,,,"D1 PROFILE",,,
"62503900000172","Nodes","P00089453, Wellwood Street, 20.70",22.999998,23.392374,"CSEP DDS Matched","Known Flow",269949.916075,627719.633953,,0.000000,,,,,,-20.679999,,,-18.492425,-20.679999,,"",,,,,,"DC PROFILE",,
"62503900000140","Nodes","140",21.000000,25.686957,"DDS demands","Known Flow",269595.639515,627612.497989,,0.000000,,,,,-6.949999,,,,-6.214813,-6.949999,,"",,,,,"D1 PROFILE",,,
"62503900000067","Nodes","67",21.000000,24.933401,"DDS demands","Known Flow",269476.132483,627525.444965,,0.000000,,,,,-11.390000,,,,-10.185142,-11.390000,,"",,,,,"D1 PROFILE",,,
"62503900000143","Nodes","143",21.000000,27.382523,"Default Known Flow Node","Known Flow",269563.869506,626689.276737,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000146","Nodes","146",21.000000,24.271871,"DDS demands","Known Flow",270031.867787,627581.818680,,0.000000,,,,,-11.520000,,,,-10.301390,-11.520000,,"",,,,,"D1 PROFILE",,,
