"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504100000388","Nodes","388",21.000000,33.751274,"Default Known Flow Node","Known Flow",219697.325939,667022.958713,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100006181","Nodes","6181",21.000000,33.125171,"Default Known Flow Node","Known Flow",219700.055724,667079.334707,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000093","Nodes","93",21.000000,33.097811,"DDS demands","Known Flow",219700.200939,667082.333729,,0.000000,,,,,,-24.199999,,,,-21.640074,-24.199999,,"",,,,,,"D1 PROFILE",,,
"62504100000092","Nodes","92",21.000000,32.022819,"DDS demands","Known Flow",219657.157283,667218.586169,,0.000000,,,,,,-21.569999,,,,-19.288279,-21.569999,,"",,,,,,"D1 PROFILE",,,
"62504100000358","Nodes","358",21.000000,31.525568,"Default Known Flow Node","Known Flow",219654.200927,667305.708789,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001015","Nodes","1015",21.000000,33.226668,"Default Known Flow Node","Known Flow",219771.682494,667952.253758,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001013","Nodes","1013",21.000000,33.226668,"Default Known Flow Node","Known Flow",219754.825954,667940.833962,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000073","Nodes","73",21.000000,33.270057,"DDS demands","Known Flow",219803.895968,668002.660979,,0.000000,,,,,,-17.309999,,,,-15.478911,-17.309999,,"",,,,,,"D1 PROFILE",,,
"62504100001014","Nodes","1014",21.000000,34.183819,"Default Known Flow Node","Known Flow",219791.950964,667929.833959,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001010","Nodes","1010",21.000000,33.673664,"Default Known Flow Node","Known Flow",219826.132407,668002.273625,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001009","Nodes","1009",21.000000,33.425782,"Default Known Flow Node","Known Flow",219807.575969,668002.708979,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001017","Nodes","1017",21.000000,34.298368,"Default Known Flow Node","Known Flow",219810.325969,667902.208952,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001016","Nodes","1016",21.000000,34.269890,"DDS demands","Known Flow",219821.201289,667924.639299,,0.000000,,,,,,-5.160000,,,,-4.614164,-5.160000,,"",,,,,,"D1 PROFILE",,,
"62504100001005","Nodes","1005",21.000000,34.096346,"Default Known Flow Node","Known Flow",219838.950977,667981.583973,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100006099","Nodes","6099",21.000000,34.173481,"Default Known Flow Node","Known Flow",219803.575968,667822.583930,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000082","Nodes","82",21.000000,34.098471,"DDS demands","Known Flow",219789.156221,667856.207546,,0.000000,,,,,,-23.639998,,,,-21.139310,-23.639998,,"",,,,,,"D1 PROFILE",,,
"62504100006173","Nodes","6173",21.000000,25.522612,"Default Known Flow Node","Known Flow",219345.825843,670197.959576,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000205","Nodes","205",21.000000,25.495748,"DDS demands","Known Flow",219292.325828,670212.459580,,0.000000,,,,,,-6.599999,,,,-5.901837,-6.599999,,"",,,,,,"D1 PROFILE",,,
"62504100000256","Nodes","256",21.000000,32.543593,"Default Known Flow Node","Known Flow",219367.825849,669562.459404,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000393","Nodes","393",21.000000,32.538310,"Default Known Flow Node","Known Flow",219363.920015,669581.836349,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000026","Nodes","26",21.000000,32.388437,"DDS demands","Known Flow",219367.200849,669617.459419,,0.000000,,,,,,-23.519999,,,,-21.032005,-23.519999,,"",,,,,,"D1 PROFILE",,,
"62504100006015","Nodes","6015",21.000000,26.263110,"Default Known Flow Node","Known Flow",219259.825820,667635.583879,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000391","Nodes","391",21.000000,26.384082,"Default Known Flow Node","Known Flow",219265.351865,667679.210555,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
