"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505200000034","Nodes","34","21.000000","25.853609","DDS demands","Known Flow","252669.324909","636998.015543","","0.000000","","","","","-5.070000","","","","","-4.533684","-5.070000","","","","","","","D1 PROFILE","","","",""
"62505200000036","Nodes","36","21.000000","25.843465","DDS demands","Known Flow","252617.271365","636969.847269","","0.000000","","","","","-9.460000","","","","","-8.459301","-9.460000","","","","","","","D1 PROFILE","","","",""
"62505200000026","Nodes","26","21.000000","25.717460","DDS demands","Known Flow","252429.387844","637183.522593","","0.000000","","","","","-1.549999","","","","","-1.386037","-1.549999","","","","","","","D1 PROFILE","","","",""
"62505200000032","Nodes","32","21.000000","26.049736","DDS demands","Known Flow","252718.546240","637044.830460","","0.000000","","","","","-6.090000","","","","","-5.445787","-6.090000","","","","","","","D1 PROFILE","","","",""
"62505200000027","Nodes","27","21.000000","25.778806","DDS demands","Known Flow","252468.317855","637100.025570","","0.000000","","","","","-2.640000","","","-6.119999","","-7.833348","-8.760000","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"62505200000218","Nodes","218","21.000000","25.774822","DDS demands","Known Flow","252378.292088","637010.404232","","0.000000","","","","","-9.270000","","","","","-8.289400","-9.270000","","","","","","","D1 PROFILE","","","",""
"62505200000037","Nodes","37","21.000000","25.966249","DDS demands","Known Flow","252564.468808","637082.466096","","0.000000","","","","","-18.110000","","","","","-16.194286","-18.110000","","","","","","","D1 PROFILE","","","",""
"62505200000024","Nodes","24","21.000000","24.497689","Default Known Flow Node","Known Flow","252527.892871","637233.858607","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000029","Nodes","29","21.000000","26.938004","DDS demands","Known Flow","252785.949941","637202.917598","","0.000000","","","","","-8.380000","","","","","-7.493546","-8.380000","","","","","","","D1 PROFILE","","","",""
"62505200000028","Nodes","28","21.000000","26.937988","DDS demands","Known Flow","252785.479941","637206.501599","","0.000000","","","-2.549999","","-3.020000","","","","","-4.980793","-5.570000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62505200000031","Nodes","31","21.000000","26.239817","DDS demands","Known Flow","252680.101912","637135.569580","","0.000000","","","","","-12.520000","","","","","-11.195608","-12.520000","","","","","","","D1 PROFILE","","","",""
"62505200000033","Nodes","33","21.000000","26.058138","DDS demands","Known Flow","252763.484654","637094.316262","","0.000000","","","","","-2.490000","","","","","-2.226602","-2.490000","","","","","","","D1 PROFILE","","","",""
"62505200000025","Nodes","25","21.000000","24.457528","DDS demands","Known Flow","252553.016878","637277.648619","","0.000000","","","","","-1.720000","","","","","-1.538054","-1.720000","","","","","","","D1 PROFILE","","","",""
"62505200000105","Nodes","105","21.000000","31.004704","DDS demands","Known Flow","253256.147713","637087.696966","","0.000000","","","","","-2.079999","","","","","-1.859973","-2.079999","","","","","","","D1 PROFILE","","","",""
"62505200000122","Nodes","122","21.000000","31.056990","DDS demands","Known Flow","253282.012517","637104.711136","","0.000000","-3.400000","","","","-23.439999","","","","","-24.000807","-26.839998","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"62505200000167","Nodes","167","21.000000","24.331111","DDS demands","Known Flow","253042.032838","637119.142142","","0.000000","","","","","-10.540000","","","","","-9.425056","-10.540000","","","","","","","D1 PROFILE","","","",""
"62505200000046","Nodes","46","21.000000","24.152812","Default Known Flow Node","Known Flow","253042.311459","637055.349806","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
