"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"62506100000036","Nodes","36",21.000000,53.111690,"DDS demands","Known Flow",239944.131078,624837.677707,,0.000000,,,,-6.300000,,,-5.633573,-6.300000,,"",,,,"D1 PROFILE",,
"62506100000034","Nodes","34",21.000000,53.124314,"DDS demands","Known Flow",239908.225031,624856.801580,,0.000000,,,,-6.789999,,,-6.071739,-6.789999,,"",,,,"D1 PROFILE",,
"62506100000049","Nodes","49",21.000000,59.816080,"DDS demands","Known Flow",240315.043441,624875.343430,,0.000000,,,,-22.999999,,,-20.567011,-22.999999,,"",,,,"D1 PROFILE",,
"62506100000070","Nodes","70",21.000000,57.930047,"DDS demands","Known Flow",240414.021226,624939.503808,,0.000000,,,,-1.590000,,,-1.421806,-1.590000,,"",,,,"D1 PROFILE",,
"62506100000050","Nodes","50",21.000000,56.921700,"DDS demands","Known Flow",240472.765000,624966.335000,,0.000000,,,,-12.850000,,0.000000,-11.490700,-12.850000,,"",,,,"D1 PROFILE",,"DH PROFILE"
"62506100000067","Nodes","67",21.000000,74.869845,"Default Known Flow Node","Known Flow",239798.568622,624792.262003,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000001","Nodes","MOSSBLOWN DG, tel, Site ID 3726",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",239791.830680,624789.289382,,999998.967025,,,,,,,910.751848,1018.490013,,"",,,,,,
"62506100000068","Nodes","68",21.000000,75.023807,"DDS demands","Known Flow",239700.872569,624769.791043,,0.000000,,,,-0.999999,,,-0.894217,-0.999999,,"",,,,"D1 PROFILE",,
"62506100000002","Nodes","2",21.000000,74.532044,"DDS demands","Known Flow",239810.855458,624806.530587,,0.000000,,,,-15.899999,,,-14.218064,-15.899999,,"",,,,"D1 PROFILE",,
"62506100000003","Nodes","3",21.000000,74.240953,"DDS demands","Known Flow",239997.394694,624725.828918,,0.000000,,,,-3.380000,,,-3.022456,-3.380000,,"",,,,"D1 PROFILE",,
"62506100000031","Nodes","31",21.000000,74.033920,"DDS demands","Known Flow",239842.365247,624875.693582,,0.000000,,,,-4.019999,,,-3.594755,-4.019999,,"",,,,"D1 PROFILE",,
"62506100000035","Nodes","35",21.000000,53.036303,"DDS demands","Known Flow",239892.223423,624825.774072,,0.000000,,,,-6.579999,,,-5.883953,-6.579999,,"",,,,"D1 PROFILE",,
"62506100000033","Nodes","33",21.000000,54.138513,"DDS demands","Known Flow",239932.640244,624908.220202,,0.000000,,,,-21.899999,,,-19.583372,-21.899999,,"",,,,"D1 PROFILE",,
"62506100000032","Nodes","32",21.000000,71.581125,"DDS demands","Known Flow",239872.335439,624936.429634,,0.000000,,,,-9.430000,,,-8.432475,-9.430000,,"",,,,"D1 PROFILE",,
"62506100000040","Nodes","40",21.000000,68.640668,"DDS demands","Known Flow",239956.707811,624991.275957,,0.000000,,,,-15.189999,,,-13.583169,-15.189999,,"",,,,"D1 PROFILE",,
"62506100000041","Nodes","41",21.000000,68.496064,"DDS demands","Known Flow",239989.189248,625068.590926,,0.000000,,,,-5.039999,,,-4.506857,-5.039999,,"",,,,"D1 PROFILE",,
"62506100000037","Nodes","37",21.000000,46.871885,"DDS demands","Known Flow",240002.531324,624882.020319,,0.000000,,,,-26.420000,,,-23.625236,-26.420000,,"",,,,"D1 PROFILE",,
"62506100000042","Nodes","42",21.000000,64.281809,"DDS demands","Known Flow",240119.651110,624945.768111,,0.000000,,,,-27.469999,,,-24.564165,-27.469999,,"",,,,"D1 PROFILE",,
"62506100000004","Nodes","4",21.000000,71.977668,"DDS demands","Known Flow",240012.747908,624755.822228,,0.000000,,,,-3.540000,,,-3.165531,-3.540000,,"",,,,"D1 PROFILE",,
"62506100000010","Nodes","P08118182, Mauchline Road, Ayr, 80.86",24.000000,37.418114,"CSEP DDS Matched","Known Flow",241115.044000,625117.165320,,0.000000,,,,,-80.859998,,-72.306455,-80.859998,,"",,,,,"DC PROFILE",
"62506100000038","Nodes","38",21.000000,46.838100,"DDS demands","Known Flow",239989.192976,624863.817397,,0.000000,,,,-4.670000,,,-4.175997,-4.670000,,"",,,,"D1 PROFILE",,
"62506100000039","Nodes","39",21.000000,41.529230,"DDS demands","Known Flow",240245.942628,624870.038002,,0.000000,,,,-23.569999,,,-21.076716,-23.569999,,"",,,,"D1 PROFILE",,
"62506100000044","Nodes","44",21.000000,63.828977,"DDS demands","Known Flow",240147.614882,624950.228590,,0.000000,,,,-14.500000,,,-12.966160,-14.500000,,"",,,,"D1 PROFILE",,
"62506100000045","Nodes","45",21.000000,61.881226,"DDS demands","Known Flow",240253.208144,624966.526494,,0.000000,,,,-9.670000,,,-8.647087,-9.670000,,"",,,,"D1 PROFILE",,
"62506100000046","Nodes","46",21.000000,61.922498,"Default Known Flow Node","Known Flow",240246.394027,624926.803119,,0.000000,,,,0.000000,,,0.000000,0.000000,,"",,,,"D1 PROFILE",,
"62506100000047","Nodes","47",21.000000,61.203944,"DDS demands","Known Flow",240283.291719,624946.949040,,0.000000,,,,-9.659999,,,-8.638144,-9.659999,,"",,,,"D1 PROFILE",,
"62506100000048","Nodes","48",21.000000,60.642548,"DDS demands","Known Flow",240356.728729,624977.351338,,0.000000,,,,-12.270000,,,-10.972053,-12.270000,,"",,,,"D1 PROFILE",,
"62506100000051","Nodes","51",21.000000,50.567369,"DDS demands","Known Flow",240473.390000,624864.585000,,0.000000,,,,-16.940001,,,-15.148052,-16.940001,,"",,,,"D1 PROFILE",,
"62506100000052","Nodes","52",21.000000,50.517138,"DDS demands","Known Flow",240469.015000,624864.710000,,0.000000,,,,-7.880000,,,-7.046437,-7.880000,,"",,,,"D1 PROFILE",,
"62506100000053","Nodes","53",21.000000,50.336188,"DDS demands","Known Flow",240419.640000,624870.710000,,0.000000,,,,-6.929999,,,-6.196929,-6.929999,,"",,,,"D1 PROFILE",,
"62506100000005","Nodes","5",21.000000,71.901607,"DDS demands","Known Flow",239983.309874,624794.926371,,0.000000,,,,-5.550000,,,-4.962909,-5.550000,,"",,,,"D1 PROFILE",,
"62506100000006","Nodes","6",21.000000,70.279862,"DDS demands","Known Flow",240054.592202,624745.839178,,0.000000,,,,-7.979999,,,-7.135858,-7.979999,,"",,,,"D1 PROFILE",,
"62506100000007","Nodes","7",21.000000,70.018640,"DDS demands","Known Flow",240051.904852,624801.780598,,0.000000,,,,-9.549999,,,-8.539781,-9.549999,,"",,,,"D1 PROFILE",,
"62506100000008","Nodes","8",21.000000,69.499713,"DDS demands","Known Flow",240119.940831,624751.988903,,0.000000,,,,-9.639999,,,-8.620260,-9.639999,,"",,,,"D1 PROFILE",,
"62506100000011","Nodes","11",21.000000,74.100833,"DDS demands","Known Flow",240085.067641,624700.676852,,0.000000,,,-3.270000,-16.129999,,,-17.347827,-19.399998,,"",,,"C4 PROFILE","D1 PROFILE",,
"62506100000014","Nodes","14",21.000000,73.492226,"DDS demands","Known Flow",240189.315617,624671.998613,,0.000000,-1.630000,-13.149999,,-3.039999,,,-15.934962,-17.819999,,"","C1 PROFILE","C2 PROFILE",,"D1 PROFILE",,
"62506100000019","Nodes","19",21.000000,62.986062,"DDS demands","Known Flow",240482.843437,624613.412340,,0.000000,,,,-16.399999,,,-14.665173,-16.399999,,"",,,,"D1 PROFILE",,
"62506100000020","Nodes","20",21.000000,62.826449,"DDS demands","Known Flow",240449.679480,624600.316346,,0.000000,,,,-7.790000,,,-6.965957,-7.790000,,"",,,,"D1 PROFILE",,
"62506100000018","Nodes","18",21.000000,65.876332,"DDS demands","Known Flow",240466.920969,624660.614450,,0.000000,,,,-12.629999,,,-11.293971,-12.629999,,"",,,,"D1 PROFILE",,
"62506100000015","Nodes","15",21.000000,70.054854,"DDS demands","Known Flow",240273.263441,624642.415806,,0.000000,-2.829999,,,-16.450000,,,-17.240520,-19.279999,,"","C1 PROFILE",,,"D1 PROFILE",,
"62506100000016","Nodes","16",21.000000,68.425572,"DDS demands","Known Flow",240326.434650,624708.781673,,0.000000,,,-4.590000,-14.470000,,,-17.043792,-19.060000,,"",,,"C4 PROFILE","D1 PROFILE",,
"62506100000017","Nodes","17",21.000000,68.506987,"DDS demands","Known Flow",240367.172350,624766.024020,,0.000000,0.000000,,0.000000,,,,0.000000,0.000000,,"","C1 PROFILE",,"C4 PROFILE",,,
"62506100000012","Nodes","12",21.000000,67.513632,"DDS demands","Known Flow",240250.691541,624808.622205,,0.000000,,-10.750000,,-3.549999,,,-12.787315,-14.300000,,"",,"C2 PROFILE",,"D1 PROFILE",,
"62506100000013","Nodes","13",21.000000,66.791806,"DDS demands","Known Flow",240331.365489,624803.300955,,0.000000,-2.720000,,,-12.550000,,,-13.654708,-15.270000,,"","C1 PROFILE",,,"D1 PROFILE",,
"62506100000009","Nodes","9",21.000000,69.365864,"DDS demands","Known Flow",240117.945363,624804.346200,,0.000000,,,,-6.690000,,,-5.982318,-6.690000,,"",,,,"D1 PROFILE",,
"62506100000054","Nodes","54",21.000000,48.662300,"DDS demands","Known Flow",240526.406578,624871.385228,,0.000000,,,,-30.060000,,,-26.880190,-30.060000,,"",,,,"D1 PROFILE",,
"62506100000021","Nodes","21",21.000000,59.084859,"DDS demands","Known Flow",240576.682361,624658.730134,,0.000000,,,,-20.879998,,,-18.671268,-20.879998,,"",,,,"D1 PROFILE",,
"62506100000022","Nodes","22",21.000000,58.627281,"DDS demands","Known Flow",240516.390000,624733.210000,,0.000000,,,,-9.469999,,,-8.468243,-9.469999,,"",,,,"D1 PROFILE",,
