"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"64301601462499","Nodes","1462499","21.000000","47.581986","DDS demands","Known Flow","365628.377647","678201.409754","","0.000000","","","","","-3.069999","","","","-2.745248","-3.069999","","","","","","","D1 PROFILE","","",""
"64301600000074","Nodes","74","21.000000","47.739930","DDS demands","Known Flow","365567.411630","678119.963732","","0.000000","","","","","-18.440000","","","","-16.489378","-18.440000","","","","","","","D1 PROFILE","","",""
"64301600000345","Nodes","345","21.000000","47.734958","DDS demands","Known Flow","365403.354585","678138.034737","","0.000000","","-4.889999","","","-15.050000","","","","-17.830705","-19.940000","","","","C2 PROFILE","","","D1 PROFILE","","",""
"64301600000346","Nodes","346","21.000000","47.547285","DDS demands","Known Flow","365451.474598","678067.526718","","0.000000","-5.969999","","","","-1.570000","","","","-6.742402","-7.539999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"64301600000590","Nodes","590","21.000000","46.137570","Default Known Flow Node","Known Flow","365702.990679","678182.995031","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000413","Nodes","413","21.000000","48.086591","DDS demands","Known Flow","365558.702628","678110.236729","","0.000000","","","","","-9.739999","","","","-8.709681","-9.739999","","","","","","","D1 PROFILE","","",""
"64301600000070","Nodes","70","21.000000","47.945825","Default Known Flow Node","Known Flow","365566.336630","678109.239729","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000589","Nodes","589","21.000000","47.849233","Default Known Flow Node","Known Flow","365474.934605","678137.456737","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301601462487","Nodes","1462487","21.000000","47.891057","Default Known Flow Node","Known Flow","365523.936618","678154.148741","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64301600000067","Nodes","67","21.000000","48.478425","DDS demands","Known Flow","365587.023635","678029.475708","","0.000000","","","","","-8.109999","","","","-7.252106","-8.109999","","","","","","","D1 PROFILE","","",""
