"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64301800003634","Nodes","-220653","21.000000","24.941049","Default Known Flow Node","Known Flow","298227.969306","665487.993295","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003629","Nodes","-220647","21.000000","24.788827","Default Known Flow Node","Known Flow","298205.621300","665499.367298","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000246","Nodes","246","21.000000","49.049059","DDS demands","Known Flow","299011.255519","666098.696461","","0.000000","","","","","-11.209999","","-10.024182","-11.209999","","","","","","","D1 PROFILE",""
"64301800000017","Nodes","Redhouse Place RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","298972.471509","666101.018462","","499.999994","","","","","","","23.160242","25.900000","","","","","","","",""
"64301800000015","Nodes","Rowan Terrace RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","298794.929292","665862.788864","","499.999994","","","","","","","10.909458","12.199999","","","","","","","",""
"64301800000256","Nodes","256","21.000000","49.716671","DDS demands","Known Flow","298819.719467","665883.281402","","0.000000","","","","","-12.199999","","-10.909458","-12.199999","","","","","","","D1 PROFILE",""
"64301800000221","Nodes","Beechwood Gardens","21.000000","49.999998","Default Known Pressure Node","Known Pressure","298750.730448","666369.093535","","499.999994","","","","","","","13.806724","15.440000","","","","","","","",""
"64301800000273","Nodes","273","21.000000","49.330406","DDS demands","Known Flow","298723.597441","666429.083551","","0.000000","","","","","-3.599999","","-3.219184","-3.599999","","","","","","","D1 PROFILE",""
"64301800000074","Nodes","74","21.000000","29.873877","DDS demands","Known Flow","298121.857491","665770.200367","","0.000000","","","","","-9.409999","","-8.414590","-9.409999","","","","","","","D1 PROFILE",""
"64301800000194","Nodes","194","21.000000","28.545725","Default Known Flow Node","Known Flow","298227.669898","665862.035398","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000024","Nodes","24","21.000000","31.711599","DDS demands","Known Flow","298486.654377","665855.595395","","0.000000","","","","","-4.330000","","-3.871963","-4.330000","","","","","","","D1 PROFILE",""
"64301800000022","Nodes","22","21.000000","32.633277","DDS demands","Known Flow","298491.719378","665822.331386","","0.000000","-7.620000","","","","-1.940000","","-8.548723","-9.560000","","","C1 PROFILE","","","","D1 PROFILE",""
"64301800000096","Nodes","96","21.000000","28.428598","DDS demands","Known Flow","298539.614391","665408.458273","","0.000000","","","","-4.920000","-29.549998","","-30.823690","-34.469999","","","","","","C4 PROFILE","D1 PROFILE",""
"64301800003681","Nodes","-220711","21.000000","27.076830","Default Known Flow Node","Known Flow","298978.843896","665440.145388","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000266","Nodes","266","21.000000","26.263336","Default Known Flow Node","Known Flow","298164.861289","665950.070421","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000265","Nodes","265","21.000000","26.805634","Default Known Flow Node","Known Flow","298172.613291","665892.683405","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000263","Nodes","263","21.000000","26.971333","Default Known Flow Node","Known Flow","298190.107631","665895.373878","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000264","Nodes","264","21.000000","26.264113","Default Known Flow Node","Known Flow","298182.059294","665952.165421","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000077","Nodes","77","21.000000","26.156373","DDS demands","Known Flow","298115.236276","665556.569314","","0.000000","","","","","-14.840000","","-13.270194","-14.840000","","","","","","","D1 PROFILE",""
"64301800000185","Nodes","185","21.000000","25.855621","DDS demands","Known Flow","298036.979254","665609.347328","","0.000000","","","","","-4.219999","","-3.773599","-4.219999","","","","","","","D1 PROFILE",""
"64301800000169","Nodes","169","21.000000","25.050481","DDS demands","Known Flow","300863.362566","666227.306613","","0.000000","","","","","-6.429999","","-5.749820","-6.429999","","","","","","","D1 PROFILE",""
"64301800003632","Nodes","-220651","21.000000","24.806642","Default Known Flow Node","Known Flow","298218.184304","665470.059290","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003680","Nodes","-220710","21.000000","27.076830","Default Known Flow Node","Known Flow","298975.856510","665452.412285","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000191","Nodes","191","21.000000","27.075657","DDS demands","Known Flow","298983.558512","665441.187282","","0.000000","-3.270000","","","","-9.009999","","-10.980995","-12.279999","","","C1 PROFILE","","","","D1 PROFILE",""
"64301800000228","Nodes","228","21.000000","44.765072","DDS demands","Known Flow","299398.097625","665442.958283","","0.000000","","","","","-8.539999","","-7.636620","-8.539999","","","","","","","D1 PROFILE",""
"64301800003572","Nodes","-157817","21.000000","44.765072","Default Known Flow Node","Known Flow","299395.472624","665456.208286","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000229","Nodes","229","21.000000","43.955018","DDS demands","Known Flow","299365.847616","665457.083286","","0.000000","","","","","-3.559999","","-3.183415","-3.559999","","","","","","","D1 PROFILE",""
