"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-1740.859994,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-133.829999,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-0.289999,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-146.890001,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-75.080000,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-4.920000,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
