"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64303100000108","Nodes","108",21.000000,45.143508,"DDS","Known Flow",335766.918733,584444.991038,,0.000000,,,,,-10.399999,,-9.299865,-10.399999,,"",,,,,"D1 PROFILE",
"64303100001232","Nodes","-207239",21.000000,44.984837,"Default Known Flow Node","Known Flow",335802.635501,584432.417026,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000100","Nodes","100",21.000000,33.718019,"DDS","Known Flow",336560.883914,584671.722166,,0.000000,,,,,-10.779999,,-9.639668,-10.779999,,"",,,,,"D1 PROFILE",
"64303100000037","Nodes","37",21.000000,34.094557,"DDS","Known Flow",336584.414946,584640.115921,,0.000000,,,,,-17.700000,,-15.827657,-17.700000,,"",,,,,"D1 PROFILE",
"64303100000122","Nodes","122",21.000000,38.879934,"DDS","Known Flow",335914.545617,584842.651458,,0.000000,,-36.750000,,,,,-32.862508,-36.750000,,"",,"C2 PROFILE",,,,
"64303100001001","Nodes","1001",21.000000,38.878257,"Default Known Flow Node","Known Flow",335893.453891,584850.763132,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000020","Nodes","20",21.000000,38.960704,"DDS","Known Flow",335845.301542,584869.008358,,0.000000,,,,,-9.580000,,-8.566607,-9.580000,,"",,,,,"D1 PROFILE",
"64303100001253","Nodes","-207269",21.000000,28.963973,"DDS","Known Flow",336486.204717,584323.511209,,0.000000,,,,,-8.510000,,-7.609794,-8.510000,,"",,,,,"D1 PROFILE",
"64303100001000","Nodes","1000",21.000000,28.493396,"DDS","Known Flow",336470.883960,584296.074690,,0.000000,,,,,-2.850000,,-2.548521,-2.850000,,"",,,,,"D1 PROFILE",
"64303100001252","Nodes","-207268",21.000000,28.382272,"DDS","Known Flow",336466.428711,584288.096200,,0.000000,-21.270000,,,,,,-19.020016,-21.270000,,"","C1 PROFILE",,,,,
"64303100001259","Nodes","-82611",21.000000,38.942634,"Default Known Flow Node","Known Flow",336003.953321,584806.268212,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000011","Nodes","11",21.000000,34.776712,"DDS","Known Flow",335903.944558,584687.356308,,0.000000,,,,,-24.450001,,-21.863629,-24.450001,,"",,,,,"D1 PROFILE",
"64303100000121","Nodes","121",21.000000,38.152153,"DDS","Known Flow",335871.405879,584565.184420,,0.000000,,,,,-31.340000,,-28.024790,-31.340000,,"",,,,,"D1 PROFILE",
"64303100000010","Nodes","10",21.000000,45.042125,"DDS","Known Flow",335855.751545,584424.832237,,0.000000,,,,,-35.610000,,-31.843099,-35.610000,,"",,,,,"D1 PROFILE",
