"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64303600000201","Nodes","201","21.000000","29.584993","Default Known Flow Node","Known Flow","348852.133082","682929.566041","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000235","Nodes","235","21.000000","29.422814","Default Known Flow Node","Known Flow","348859.772084","682915.009037","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001420","Nodes","1420","21.000000","30.363744","Default Known Flow Node","Known Flow","348771.326350","683356.879787","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001001","Nodes","Logger 9302, O/S ""Arduaine"", Muirfield Park","21.000000","30.275020","Val Log Cath","Known Flow","348759.183476","683378.970688","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000067","Nodes","67","21.000000","30.274336","DDS demands","Known Flow","348755.021055","683386.543165","","0.000000","","","","","-6.610000","","","","","-5.910780","-6.610000","","","","","","","D1 PROFILE","","","",""
"64303600000022","Nodes","22","21.000000","32.863700","DDS demands","Known Flow","347727.907776","682918.949038","","0.000000","","","","","-28.249999","","","","","-25.261655","-28.249999","","","","","","","D1 PROFILE","","","",""
"64303600001000","Nodes","Logger 9400, Holm Lodge, Hummel Rd","21.000000","34.409615","Val Log Cath","Known Flow","347748.382969","682858.214566","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001455","Nodes","1455","21.000000","34.595792","Default Known Flow Node","Known Flow","347751.384782","682850.600019","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001398","Nodes","1398","21.000000","30.750320","Default Known Flow Node","Known Flow","348421.456289","682524.839423","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000048","Nodes","48","21.000000","30.117765","DDS demands","Known Flow","348435.692787","682491.958902","","0.000000","","","","","-19.749999","","","","","-17.660804","-19.749999","","","","","","","D1 PROFILE","","","",""
"64303600001438","Nodes","1438","21.000000","30.117765","Default Known Flow Node","Known Flow","348441.311130","682482.466678","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000085","Nodes","Logger 9582, 20 Muirfield Drive","21.000000","25.756578","Val Log Cath","Known Flow","348919.266100","682802.429006","","0.000000","-1.290000","","","","-12.180000","","","","","-12.045115","-13.470000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"64303600000217","Nodes","P00069348/01, MUIRFIELD DRIVE, 48.30","24.000000","23.747322","CSEP DDS Matched","Known Flow","348948.047687","682721.645925","","0.000000","","","","","","-28.267000","","","","-25.276858","-28.267000","","","","","","","","DC PROFILE","","",""
"64303600000021","Nodes","21","21.000000","33.801709","Default Known Flow Node","Known Flow","347510.109280","682814.998404","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000118","Nodes","118","21.000000","33.368290","Default Known Flow Node","Known Flow","347550.196540","682839.636711","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001457","Nodes","1457","21.000000","33.238376","Default Known Flow Node","Known Flow","347577.088364","682853.934140","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000070","Nodes","70","21.000000","33.114143","DDS demands","Known Flow","348614.329017","683220.719120","","0.000000","","","","","-11.620000","","","","","-10.390811","-11.620000","","","","","","","D1 PROFILE","","","",""
"64303600000119","Nodes","Logger 9585,O/S ''Arduaine'' Muirfield Park","21.000000","32.756493","Val Log Cath","Known Flow","348646.933534","683219.884569","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001415","Nodes","1415","21.000000","32.537168","Default Known Flow Node","Known Flow","348661.138030","683226.920122","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000027","Nodes","27","21.000000","36.562040","DDS demands","Known Flow","347550.955992","682725.396340","","0.000000","","","","","-1.549999","","","","","-1.386037","-1.549999","","","","","","","D1 PROFILE","","","",""
"64303600000026","Nodes","26","21.000000","35.983212","DDS demands","Known Flow","347612.291466","682636.019571","","0.000000","","","","","-25.299998","","","","","-22.623711","-25.299998","","","","","","","D1 PROFILE","","","",""
"64303600000028","Nodes","28","21.000000","36.163483","DDS demands","Known Flow","347560.167730","682628.438959","","0.000000","","","","","-7.459999","","","","","-6.670865","-7.459999","","","","","","","D1 PROFILE","","","",""
"64303600000024","Nodes","24","21.000000","36.289714","DDS demands","Known Flow","347779.041635","682786.662409","","0.000000","","","","","-22.540000","","","","","-20.155671","-22.540000","","","","","","","D1 PROFILE","","","",""
"64303600000025","Nodes","25","21.000000","37.377548","DDS demands","Known Flow","347827.758803","682698.673978","","0.000000","","","","","-16.169999","","","","","-14.459503","-16.169999","","","","","","","D1 PROFILE","","","",""
"64303600000140","Nodes","140","21.000000","34.565368","DDS demands","Known Flow","347690.416307","682827.720044","","0.000000","","","-6.409999","","","","","","","-5.731936","-6.409999","","","","","C3 PROFILE","","","","","",""
"64303600000107","Nodes","107","21.000000","33.238376","DDS demands","Known Flow","347596.901542","682863.182385","","0.000000","","","","","-5.760000","","","","","-5.150695","-5.760000","","","","","","","D1 PROFILE","","","",""
"64303600000106","Nodes","106","21.000000","32.381073","DDS demands","Known Flow","347834.816805","682949.834046","","0.000000","","","","","-13.250000","","","","","-11.848387","-13.250000","","","","","","","D1 PROFILE","","","",""
"64303600000223","Nodes","223","21.000000","40.086552","DDS demands","Known Flow","347881.316817","682621.860957","","0.000000","","","","","-5.659999","","","","","-5.061273","-5.659999","","","","","","","D1 PROFILE","","","",""
"64303600000221","Nodes","221","21.000000","40.259973","Default Known Flow Node","Known Flow","347928.868217","682636.174235","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000222","Nodes","222","21.000000","40.213136","Default Known Flow Node","Known Flow","347925.265829","682643.162963","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000039","Nodes","39","21.000000","40.120703","DDS demands","Known Flow","347920.500917","682664.706514","","0.000000","-31.000000","","","","","","","","","-27.720754","-31.000000","","","C1 PROFILE","","","","","","","",""
"64303600000098","Nodes","98","21.000000","39.014947","DDS demands","Known Flow","347910.729825","682706.403980","","0.000000","-15.999999","","","","-4.770000","","","","","-18.572906","-20.770000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"64303600000105","Nodes","105","21.000000","35.883246","DDS demands","Known Flow","347950.685836","682886.772029","","0.000000","","","","","-15.810000","","","","","-14.137584","-15.810000","","","","","","","D1 PROFILE","","","",""
"64303600000023","Nodes","23","21.000000","35.937044","DDS demands","Known Flow","347990.514847","682915.425037","","0.000000","","","","","-11.520000","","","","","-10.301390","-11.520000","","","","","","","D1 PROFILE","","","",""
"64303600001409","Nodes","S14134427","21.000000","39.532826","Point Loads","Known Flow","348072.888212","682655.773097","","0.000000","","","","","","","","-12.000000","","-10.730614","-12.000000","","","","","","","","","","PL-AF PROFILE",""
"64303600001353","Nodes","1353","21.000000","36.914347","DDS demands","Known Flow","348008.784852","682882.936028","","0.000000","","","","","-1.309999","","","","","-1.171425","-1.309999","","","","","","","D1 PROFILE","","","",""
"64303600000036","Nodes","36","21.000000","34.377556","DDS demands","Known Flow","348119.174882","682964.286050","","0.000000","","","","","-14.279999","","","","","-12.769430","-14.279999","","","","","","","D1 PROFILE","","","",""
"64303600000035","Nodes","35","21.000000","34.436485","DDS demands","Known Flow","348129.267701","682942.239449","","0.000000","","","","","-9.819999","","","","","-8.781219","-9.819999","","","","","","","D1 PROFILE","","","",""
"64303600000207","Nodes","207","21.000000","39.247381","DDS demands","Known Flow","348388.583580","682841.103753","","0.000000","","","","","-3.549999","","","","","-3.174473","-3.549999","","","","","","","D1 PROFILE","","","",""
"64303600001456","Nodes","1456","21.000000","40.235743","Default Known Flow Node","Known Flow","348391.366956","682851.933020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
