"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","0.000000","-17.029999","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-16295.450008","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-3776.379994","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-275.429995","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-2098.599965","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-1936.380010","0.000000","1.000000","Volumetric","-1.000000"
"IC","Flow Categories","-281.500002","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-410.810001","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-13.069999","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-228.339999","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0.000000"
"PL-DC","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"DL","Flow Categories","-325.499992","0.000000","1.000000","Volumetric","-1.000000"
"CM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"CT","Flow Categories","-58.710000","0.000000","1.000000","Volumetric","-1.000000"
"CC","Flow Categories","-23.630000","0.000000","1.000000","Volumetric","-1.000000"
