"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-4249.880000,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-373.209996,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-85.819999,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-413.169997,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-20.590000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-592.419981,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-18.649999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"CC","Flow Categories",-15.970000,0.000000,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-78.509999,0.000000,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",-16.430000,0.000000,1.000000,"Volumetric",-1.000000
"PL-CC","Flow Categories",-9.229999,0.000000,1.000000,"Volumetric",-1.000000
