"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",0.000000,-5.340000,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-834.569999,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-64.890000,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-55.820001,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-17.989999,0.000000,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-40.259999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"DC","Flow Categories",-196.750001,0.000000,1.000000,"Volumetric",-1.000000
