"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"64307700000004","Nodes","LOUDON RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",247357.750000,558406.250000,,999998.967025,,,,,,,17.768107,19.869998,,"",,,,,,
"64307700000042","Nodes","42",21.000000,48.987078,"DDS demands","Known Flow",247310.875000,558385.000000,,0.000000,,,,-9.850000,,,-8.808046,-9.850000,,"",,,,"D1 PROFILE",,
"64307700000044","Nodes","44",21.000000,48.818280,"DDS demands","Known Flow",247316.125000,558306.500000,,0.000000,,,,-5.449999,,,-4.873487,-5.449999,,"",,,,"D1 PROFILE",,
"64307700000043","Nodes","43",21.000000,48.953149,"DDS demands","Known Flow",247288.000000,558375.375000,,0.000000,,,,-4.570000,,,-4.086576,-4.570000,,"",,,,"D1 PROFILE",,
"64307700000005","Nodes","MILL SREET RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",247419.125000,558521.250000,,999998.967025,,,,,,,4.265419,4.770000,,"",,,,,,
"64307700000041","Nodes","41",21.000000,50.078997,"DDS demands","Known Flow",247435.125000,558545.625000,,0.000000,,,,-4.770000,,,-4.265419,-4.770000,,"",,,,"D1 PROFILE",,
"64307700000063","Nodes","SILVER STREET RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",247464.000000,558825.750000,,999998.967025,,,,,,,9.451882,10.570000,,"",,,,,,
"64307700000003","Nodes","3",21.000000,49.934265,"DDS demands","Known Flow",247452.375000,558827.000000,,0.000000,,,,-0.680000,,,-0.608068,-0.680000,,"",,,,"D1 PROFILE",,
"64307700000032","Nodes","32",21.000000,65.944128,"DDS demands","Known Flow",247446.500000,558944.125000,,0.000000,,,,-2.559999,,,-2.289197,-2.559999,,"",,,,"D1 PROFILE",,
"64307700000033","Nodes","P07111528, ST JOHN STREET, ISEP 2, 344569, -2.77",21.009998,59.751481,"CSEP Unmatched","Known Flow",247540.407489,558662.148209,,0.000000,,,,,-2.769999,,-2.476983,-2.769999,,"",,,,,"DC PROFILE",
"64307700000031","Nodes","31",21.000000,66.023049,"DDS demands","Known Flow",247432.625000,558895.625000,,0.000000,,,,-10.549999,,,-9.433998,-10.549999,,"",,,,"D1 PROFILE",,
"64307700000035","Nodes","35",21.000000,66.057343,"DDS demands","Known Flow",247421.125000,558876.000000,,0.000000,,,,-1.949999,,,-1.743724,-1.949999,,"",,,,"D1 PROFILE",,
"64307700000037","Nodes","37",21.000000,49.849632,"DDS demands","Known Flow",247449.000000,558801.500000,,0.000000,,,,-7.710000,,,-6.894420,-7.710000,,"",,,,"D1 PROFILE",,
"64307700000036","Nodes","36",21.000000,49.929667,"DDS demands","Known Flow",247438.250000,558828.625000,,0.000000,,,,-2.180000,,,-1.949395,-2.180000,,"",,,,"D1 PROFILE",,
"64307700000017","Nodes","17",21.000000,57.826616,"DDS demands","Known Flow",247507.625000,558576.250000,,0.000000,,,,-11.850000,,,-10.596483,-11.850000,,"",,,,"D1 PROFILE",,
"64307700000045","Nodes","45",21.000000,57.744350,"Default Known Flow Node","Known Flow",247503.875000,558498.625000,,0.000000,,,,,,-3.749999,0.000000,0.000000,,"",,,,,,""
"64307700000016","Nodes","16",21.000000,58.171383,"DDS demands","Known Flow",247523.625000,558621.500000,,0.000000,,,,-1.019999,,,-0.912102,-1.019999,,"",,,,"D1 PROFILE",,
"64307700000015","Nodes","15",21.000000,60.017836,"DDS demands","Known Flow",247527.250000,558663.875000,,0.000000,,,,-30.259999,,,-27.059032,-30.259999,,"",,,,"D1 PROFILE",,
"64307700000038","Nodes","38",21.000000,59.129527,"DDS demands","Known Flow",247412.000000,558630.250000,,0.000000,,,,-10.699999,,,-9.568131,-10.699999,,"",,,,"D1 PROFILE",,
"64307700000039","Nodes","39",21.000000,59.833583,"DDS demands","Known Flow",247581.500000,558671.375000,,0.000000,,,,-5.339999,,,-4.775123,-5.339999,,"",,,,"D1 PROFILE",,
"64307700000048","Nodes","P07111528, ST JOHN STREET, ISEP 1, -16.62",22.999998,57.892744,"CSEP Unmatched","Known Flow",247540.370769,558622.373692,,0.000000,,,,,-16.620000,,-14.861901,-16.620000,,"",,,,,"DC PROFILE",
"64307700000014","Nodes","14",21.000000,67.541174,"DDS demands","Known Flow",247544.500000,558878.125000,,0.000000,-2.059999,,-5.310000,-15.739999,,,-20.665375,-23.110000,,"","C1 PROFILE",,"C3  PROFILE","D1 PROFILE",,
"64307700000018","Nodes","18",21.000000,66.864961,"DDS demands","Known Flow",247601.000000,558877.500000,,0.000000,,,,-1.460000,,,-1.305558,-1.460000,,"",,,,"D1 PROFILE",,
"64307700000019","Nodes","19",21.000000,67.059435,"DDS demands","Known Flow",247596.625000,558824.750000,,0.000000,,,,-1.510000,,,-1.350269,-1.510000,,"",,,,"D1 PROFILE",,
"64307700000020","Nodes","20",21.000000,66.836625,"DDS demands","Known Flow",247653.750000,558874.125000,,0.000000,-1.070000,,,,,,-0.956813,-1.070000,,"","C1 PROFILE",,,,,
"64307700000021","Nodes","21",21.000000,65.610478,"DDS demands","Known Flow",247692.250000,558946.875000,,0.000000,,,,-4.449999,,,-3.979269,-4.449999,,"",,,,"D1 PROFILE",,
"64307700000022","Nodes","22",21.000000,65.358749,"DDS demands","Known Flow",247714.750000,558946.375000,,0.000000,,,,-2.079999,,,-1.859973,-2.079999,,"",,,,"D1 PROFILE",,
"64307700000023","Nodes","23",21.000000,64.501611,"DDS demands","Known Flow",247804.625000,558905.500000,,0.000000,,,,-1.379999,,,-1.234020,-1.379999,,"",,,,"D1 PROFILE",,
"64307700000046","Nodes","46",21.000000,69.138315,"DDS demands","Known Flow",247546.500000,558908.250000,,0.000000,,,,-6.190000,,,-5.535208,-6.190000,,"",,,,"D1 PROFILE",,
"64307700000013","Nodes","13",21.000000,69.025055,"DDS demands","Known Flow",247559.125000,558970.750000,,0.000000,,,,-2.599999,,,-2.324966,-2.599999,,"",,,,"D1 PROFILE",,
"64307700000001","Nodes","CREETOWN DG,  Tel, Site ID 6182",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",247539.500000,558906.250000,,2515.000118,,,,,,,213.905842,239.209991,,"",,,,,,
"64307700000040","Nodes","40",21.000000,57.866479,"DDS demands","Known Flow",247567.250000,558615.125000,,0.000000,,,,-3.329999,,,-2.977745,-3.329999,,"",,,,"D1 PROFILE",,
"64307700000034","Nodes","34",21.000000,65.807287,"DDS demands","Known Flow",247513.000000,559005.375000,,0.000000,,,,-3.759999,,,-3.362259,-3.759999,,"",,,,"D1 PROFILE",,
"64307700000024","Nodes","24",21.000000,63.433514,"DDS demands","Known Flow",247823.500000,559005.000000,,0.000000,,,,-15.140000,,,-13.538459,-15.140000,,"",,,,"D1 PROFILE",,
"64307700000026","Nodes","26",21.000000,65.506559,"DDS demands","Known Flow",247684.750000,559007.875000,,0.000000,-2.109999,,,-3.119999,,,-4.676759,-5.229999,,"","C1 PROFILE",,,"D1 PROFILE",,
"64307700000002","Nodes","THE HOLLOW RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",247557.500000,559020.750000,,999998.967025,,,,,,,9.791684,10.949999,,"",,,,,,
"64307700000030","Nodes","30",21.000000,49.515937,"DDS demands","Known Flow",247600.625000,558993.125000,,0.000000,,,,-10.949999,,,-9.791686,-10.949999,,"",,,,"D1 PROFILE",,
"64307700000025","Nodes","25",21.000000,57.631624,"DDS demands","Known Flow",247823.125000,559165.250000,,0.000000,,,,-26.749999,,,-23.920329,-26.749999,,"",,,,"D1 PROFILE",,
"64307700000027","Nodes","27",21.000000,53.238409,"DDS demands","Known Flow",247752.500000,559141.875000,,0.000000,,,,-19.169999,,,-17.142156,-19.169999,,"",,,,"D1 PROFILE",,
"64307700000029","Nodes","29",21.000000,53.480978,"DDS demands","Known Flow",247808.625000,559093.375000,,0.000000,,,,-3.110000,,,-2.781017,-3.110000,,"",,,,"D1 PROFILE",,
