"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64400300005007","Nodes","5007, P09122326, TORWOODLEA BELLSDYKE ROAD, -33.05SCMH",24.000000,34.349025,"CSEP Unmatched","Known Flow",285549.366658,683448.124923,,0.000000,,,,,,,,,,,,-33.050000,,-29.553901,-33.050000,,"",,,,,,,,,,,,"PL-AF PROFILE",
"64400300003023","Nodes","3023",21.000000,27.673299,"DDS demands","Known Flow",284352.718531,682419.962902,,0.000000,,,,,,,-2.819999,,,,,,,-2.521694,-2.819999,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-746","Nodes","-746",21.000000,31.768209,"Default Known Flow Node","Known Flow",284552.218585,683890.463302,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-745","Nodes","-745",21.000000,31.768209,"Default Known Flow Node","Known Flow",284548.843584,683887.963302,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-749","Nodes","-749",21.000000,31.768209,"Default Known Flow Node","Known Flow",284560.343587,683920.963311,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005042","Nodes","5042, P08120300, MAGGIES WOOD LOAD, -175.57",25.000000,24.994932,"CSEP Unmatched","Known Flow",287812.576738,679809.260104,,0.000000,,,,,,,,-44.259997,,,,,,-39.578082,-44.259997,,"",,,,,,,,"DC PROFILE",,,,,
"64400300005038","Nodes","5038, P08119788, UNION ROAD, -7.38SCMH",22.999998,37.689397,"CSEP Unmatched","Known Flow",287010.581433,680344.145830,,0.000000,,,,,,,,,,,,-7.380000,,-6.599328,-7.380000,,"",,,,,,,,,,,,"PL-AF PROFILE",
"64400300005047","Nodes",,21.000000,26.352713,"Default Known Flow Node","Known Flow",285351.218483,680358.772887,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005034","Nodes",,21.000000,26.352713,"Default Known Flow Node","Known Flow",285352.467803,680357.211341,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005048","Nodes",,21.000000,26.561051,"Default Known Flow Node","Known Flow",285363.742810,680255.320325,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005036","Nodes",,21.000000,26.561051,"Default Known Flow Node","Known Flow",285362.027805,680255.968313,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005049","Nodes",,21.000000,26.561051,"Default Known Flow Node","Known Flow",285371.016011,680274.056289,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005040","Nodes",,21.000000,26.577025,"Default Known Flow Node","Known Flow",285377.661809,680269.293317,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005051","Nodes",,21.000000,26.416490,"Default Known Flow Node","Known Flow",285317.702484,680332.892055,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005044","Nodes",,21.000000,26.416490,"Default Known Flow Node","Known Flow",285316.999793,680333.671335,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005056","Nodes",,21.000000,26.459879,"Default Known Flow Node","Known Flow",285417.250732,680281.260059,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300005032","Nodes","5032, P08120151, CAMELON DORRATOR ROAD, -179.54",25.000000,29.889725,"CSEP Unmatched","Known Flow",287345.280364,680589.237877,,0.000000,,,,,,,,-179.539989,,,,,,-160.547869,-179.539989,,"",,,,,,,,"DC PROFILE",,,,,
"644003-592","Nodes","-592",21.000000,34.514339,"Default Known Flow Node","Known Flow",285403.453087,683130.493390,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300000028","Nodes","28",21.000000,34.531386,"DDS demands","Known Flow",285414.468820,683136.213097,,0.000000,,,,,,,-15.540000,,,,,,,-13.896146,-15.540000,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-608","Nodes","-608",21.000000,33.840025,"Default Known Flow Node","Known Flow",285019.343712,683159.838104,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300001900","Nodes","1900",21.000000,33.856874,"DDS demands","Known Flow",285211.993605,683266.586305,,0.000000,,,,,,,-12.839999,,,,,,,-11.481757,-12.839999,,"",,,,,,,"D1 PROFILE",,,,,,
"64400300002837","Nodes","2837",21.000000,33.915029,"DDS demands","Known Flow",285231.468770,683269.713133,,0.000000,,,,,,,-1.980000,,,,,,,-1.770551,-1.980000,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-616","Nodes","-616",21.000000,34.008481,"Default Known Flow Node","Known Flow",285362.105554,683189.195287,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300003190","Nodes","3190",21.000000,33.739746,"DDS demands","Known Flow",285369.093807,683253.963129,,0.000000,,,,,,,-10.920000,,,,,,,-9.764859,-10.920000,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-653","Nodes","-653",21.000000,33.915037,"Default Known Flow Node","Known Flow",285235.348351,683264.841780,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300003189","Nodes","3189",21.000000,34.225153,"DDS demands","Known Flow",285308.218791,683154.838102,,0.000000,,,,,,,-11.989999,,,,,,,-10.721671,-11.989999,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-690","Nodes","-690",21.000000,31.709372,"Default Known Flow Node","Known Flow",285282.968784,683383.963165,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-684","Nodes","-684",21.000000,31.709372,"Default Known Flow Node","Known Flow",285303.940785,683353.467947,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-51","Nodes","-51",21.000000,33.673701,"Default Known Flow Node","Known Flow",285639.594958,679765.763005,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300002829","Nodes","2829",21.000000,33.582006,"DDS demands","Known Flow",285665.593888,679765.212180,,0.000000,,,,,,,-7.929999,,,,,,,-7.091147,-7.929999,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-54","Nodes","-54",21.000000,33.879557,"Default Known Flow Node","Known Flow",285721.969441,679805.179413,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-57","Nodes","-57",21.000000,34.344260,"Default Known Flow Node","Known Flow",285825.343931,679813.837193,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-27","Nodes","-27",21.000000,34.048209,"Default Known Flow Node","Known Flow",285533.843852,679713.087166,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300003156","Nodes","3156",21.000000,34.039985,"DDS demands","Known Flow",285515.843847,679696.712161,,0.000000,,,,,,,-1.850000,,,,,,,-1.654303,-1.850000,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-39","Nodes","-39",21.000000,33.999697,"Default Known Flow Node","Known Flow",285553.214820,679742.603085,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300001015","Nodes","Logger 9062, Rowan Crescent",21.000000,33.975144,"Val Log Cath","Known Flow",285581.942405,679749.893095,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300002898","Nodes","2898",21.000000,33.404527,"DDS demands","Known Flow",285686.601538,679924.839632,,0.000000,,-15.999999,,-14.659999,,,-13.120000,,,,,,,-39.148858,-43.780000,,"",,"C2 PROFILE",,"C4 PROFILE",,,"D1 PROFILE",,,,,,
"644003-1463189","Nodes","-1463189",21.000000,33.404527,"Default Known Flow Node","Known Flow",285689.718894,679922.337223,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-56","Nodes","-56",21.000000,33.859471,"Default Known Flow Node","Known Flow",285721.869293,679811.587589,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-1464035","Nodes","-1464035",21.000000,33.859471,"Default Known Flow Node","Known Flow",285721.843903,679813.212193,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-8","Nodes","-8",21.000000,34.277164,"Default Known Flow Node","Known Flow",285743.842383,679695.414618,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300004225","Nodes","4225",21.000000,34.306010,"DDS demands","Known Flow",285769.093916,679694.837161,,0.000000,,,,,,,-8.569999,,,,,,,-7.663447,-8.569999,,"",,,,,,,"D1 PROFILE",,,,,,
"64400300003154","Nodes","3154",21.000000,33.981121,"DDS demands","Known Flow",285533.343852,679736.962172,,0.000000,,,,,,,-2.359999,,,,,,,-2.110354,-2.359999,,"",,,,,,,"D1 PROFILE",,,,,,
"64400300002828","Nodes","2828",21.000000,33.996748,"DDS demands","Known Flow",285548.718856,679741.462173,,0.000000,,,,,,,-14.749999,,-23.409999,,,,,-34.123352,-38.160000,,"",,,,,,,"D1 PROFILE",,"DH PROFILE",,,,
"644003-29","Nodes","-29",21.000000,34.115234,"Default Known Flow Node","Known Flow",285682.352743,679718.089068,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300004444","Nodes","4444",21.000000,33.978356,"DDS demands","Known Flow",285687.093894,679737.087172,,0.000000,,,,,,,-2.180000,,,,,,,-1.949395,-2.180000,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-16","Nodes","-16",21.000000,34.608967,"Default Known Flow Node","Known Flow",285873.345374,679701.191073,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64400300004000","Nodes","4000",21.000000,34.656211,"DDS demands","Known Flow",285906.843953,679703.462163,,0.000000,,,,,,,-6.829999,,,,,,,-6.107508,-6.829999,,"",,,,,,,"D1 PROFILE",,,,,,
"644003-62","Nodes","-62",21.000000,33.497430,"Default Known Flow Node","Known Flow",285708.008210,679877.106625,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-15","Nodes","-15",21.000000,34.539987,"Default Known Flow Node","Known Flow",285847.843937,679699.462162,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"644003-14","Nodes","-14",21.000000,34.158923,"Default Known Flow Node","Known Flow",285717.093569,679698.813028,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
