"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"64405000000006","Nodes","6",21.000000,27.427590,"DDS demands","Known Flow",272453.215293,646964.703255,,0.000000,,,-7.329999,,,-6.554617,-7.329999,,"",,,"D1 PROFILE",,
"64405000000008","Nodes","8",21.000000,27.095073,"DDS demands","Known Flow",272494.715304,646939.703248,,0.000000,,-4.110000,-3.700000,,,-6.983842,-7.810000,,"",,"C4 PROFILE","D1 PROFILE",,
"64405000001000","Nodes","Alston Street DG, Constant, Site ID 5441",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",272639.465343,646848.828223,,999998.967025,,,,,,283.878419,317.459998,,"",,,,,
"64405000000001","Nodes","1",21.000000,74.621223,"DDS demands","Known Flow",272644.340345,646853.078224,,0.000000,,,-1.710000,,,-1.529112,-1.710000,,"",,,"D1 PROFILE",,
"64405000000002","Nodes","2",21.000000,65.003557,"DDS demands","Known Flow",272630.840341,647012.953268,,0.000000,-6.000000,,-17.600000,,,-21.103542,-23.599999,,"","C1 PROFILE",,"D1 PROFILE",,
"64405000000007","Nodes","7",21.000000,23.811391,"DDS demands","Known Flow",272348.965264,646875.203230,,0.000000,,,-23.660000,,,-21.157196,-23.660000,,"",,,"D1 PROFILE",,
"64405000000004","Nodes","4",21.000000,31.554537,"DDS demands","Known Flow",272517.965310,646999.328264,,0.000000,,,-13.439999,,,-12.018288,-13.439999,,"",,,"D1 PROFILE",,
"64405000000005","Nodes","5",21.000000,31.242785,"DDS demands","Known Flow",272433.715287,647076.953285,,0.000000,,,-8.270000,,,-7.395182,-8.270000,,"",,,"D1 PROFILE",,
"64405000000041","Nodes","41",21.000000,48.602859,"DDS demands","Known Flow",272748.590373,647359.453362,,0.000000,,,-9.450000,,,-8.450359,-9.450000,,"",,,"D1 PROFILE",,
"64405000000040","Nodes","40",21.000000,49.233530,"DDS demands","Known Flow",272702.840361,647279.203340,,0.000000,,,-13.409999,,,-11.991461,-13.409999,,"",,,"D1 PROFILE",,
"64405000000003","Nodes","3",21.000000,36.311215,"DDS demands","Known Flow",272554.465320,647014.828268,,0.000000,,,-12.319999,,,-11.016764,-12.319999,,"",,,"D1 PROFILE",,
"64405000000043","Nodes","43",21.000000,35.772870,"DDS demands","Known Flow",272552.716233,647022.699162,,0.000000,,,-4.280000,,,-3.827252,-4.280000,,"",,,"D1 PROFILE",,
"64405010000012","Nodes","-12",21.000000,35.632659,"Default Known Flow Node","Known Flow",272553.840320,647024.953271,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000042","Nodes","42",21.000000,64.581324,"Default Known Flow Node","Known Flow",272632.715342,647050.453278,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000045","Nodes","45",21.000000,64.666122,"Default Known Flow Node","Known Flow",272599.840333,647055.953279,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000010","Nodes","10",21.000000,64.454174,"Default Known Flow Node","Known Flow",272631.465341,647019.453269,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000012","Nodes","12",21.000000,61.894935,"DDS demands","Known Flow",272660.465349,647026.703271,,0.000000,,-7.869999,-4.600000,,,-11.150897,-12.470000,,"",,"C4 PROFILE","D1 PROFILE",,
"64405000000013","Nodes","13",21.000000,61.002495,"Default Known Flow Node","Known Flow",272712.215363,647017.828269,,0.000000,,,-3.150000,,,-2.816786,-3.150000,,"",,,"D1 PROFILE",,
"64405010000015","Nodes","-15",21.000000,60.402988,"Default Known Flow Node","Known Flow",272663.588918,647050.950472,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000015","Nodes","15",21.000000,57.434232,"DDS demands","Known Flow",272680.965355,647096.078290,,0.000000,,,-1.949999,,,-1.743724,-1.949999,,"",,,"D1 PROFILE",,
"64405000000016","Nodes","16",21.000000,57.424792,"DDS demands","Known Flow",272672.340352,647107.828293,,0.000000,,,-3.059999,,,-2.736306,-3.059999,,"",,,"D1 PROFILE",,
"64405000000033","Nodes","33",21.000000,52.393608,"DDS demands","Known Flow",272613.465336,647157.078307,,0.000000,,,-4.139999,,,-3.702062,-4.139999,,"",,,"D1 PROFILE",,
"64405000000034","Nodes","34",21.000000,52.331171,"DDS demands","Known Flow",272625.840340,647140.703302,,0.000000,,,-3.660000,,,-3.272837,-3.660000,,"",,,"D1 PROFILE",,
"64405000000035","Nodes","35",21.000000,52.390004,"DDS demands","Known Flow",272578.590327,647201.203319,,0.000000,,,-0.959999,,,-0.858449,-0.959999,,"",,,"D1 PROFILE",,
"64405000000030","Nodes","30",21.000000,53.934077,"DDS demands","Known Flow",272677.340354,647176.828312,,0.000000,,,-9.350000,,,-8.360937,-9.350000,,"",,,"D1 PROFILE",,
"64405000000028","Nodes","28",21.000000,54.190549,"DDS demands","Known Flow",272691.090357,647161.828308,,0.000000,,,-3.880000,,,-3.469565,-3.880000,,"",,,"D1 PROFILE",,
"64405000000029","Nodes","29",21.000000,54.190549,"Default Known Flow Node","Known Flow",272701.340360,647171.203311,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000017","Nodes","17",21.000000,55.063563,"DDS demands","Known Flow",272718.965365,647122.703298,,0.000000,,,-0.959999,,,-0.858449,-0.959999,,"",,,"D1 PROFILE",,
"64405000000018","Nodes","18",21.000000,52.585337,"DDS demands","Known Flow",272758.715376,647154.703306,,0.000000,,,-2.769999,,,-2.476983,-2.769999,,"",,,"D1 PROFILE",,
"64405000000014","Nodes","14",21.000000,60.439193,"Default Known Flow Node","Known Flow",272759.465376,647019.328269,,0.000000,,,,,-13.919999,-12.447512,-13.919999,,"",,,,,""
"64405000000038","Nodes","38",21.000000,50.875564,"DDS demands","Known Flow",272644.215345,647228.328326,,0.000000,,,-4.119999,,,-3.684177,-4.119999,,"",,,"D1 PROFILE",,
"64405000000039","Nodes","39",21.000000,50.875564,"Default Known Flow Node","Known Flow",272632.840342,647243.328330,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000036","Nodes","36",21.000000,51.890741,"DDS demands","Known Flow",272667.340351,647206.453320,,0.000000,,,-0.509999,,,-0.456051,-0.509999,,"",,,"D1 PROFILE",,
"64405000000037","Nodes","37",21.000000,51.794083,"DDS demands","Known Flow",272700.090360,647232.078327,,0.000000,,,-4.340000,,,-3.880905,-4.340000,,"",,,"D1 PROFILE",,
"64405000000031","Nodes","31",21.000000,53.024250,"Default Known Flow Node","Known Flow",272671.465352,647184.203314,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000032","Nodes","32",21.000000,52.641170,"DDS demands","Known Flow",272658.840349,647194.203317,,0.000000,,,-14.680000,,,-13.127118,-14.680000,,"",,,"D1 PROFILE",,
"64405000000019","Nodes","19",21.000000,52.581256,"DDS demands","Known Flow",272747.090373,647167.328310,,0.000000,,,-1.850000,,,-1.654303,-1.850000,,"",,,"D1 PROFILE",,
"64405000000020","Nodes","20",21.000000,50.726160,"Default Known Flow Node","Known Flow",272771.465379,647191.453316,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64405000000021","Nodes","21",21.000000,50.723209,"DDS demands","Known Flow",272760.340376,647202.328319,,0.000000,,,-1.649999,,,-1.475459,-1.649999,,"",,,"D1 PROFILE",,
