"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003800000279","Nodes","279",21.000000,21.922643,"Default Known Flow Node","Known Flow",486199.358455,207459.724662,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800008019","Nodes","Logger 0034, os 1 Colet Road",21.000000,41.895013,"Val Log Post","Known Flow",487346.411946,208142.835319,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001022","Nodes","1022",21.000000,41.892699,"Default Known Flow Node","Known Flow",487347.800179,208141.663496,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000175","Nodes","175",21.000000,34.446504,"DDS demands","Known Flow",487131.779997,207683.091988,,0.000000,,,,,-6.370000,,,,,-5.696168,-6.370000,,"",,,,,"D1 PROFILE",,,,
"80003800001019","Nodes","P10123056, Halton Camp Babbington Road CSEP, 15.69",22.999998,44.913967,"CSEP DDS Matched","Known Flow",487657.515583,208724.114135,,0.000000,,,,,,-15.689999,,,,-14.030278,-15.689999,,"",,,,,,"DC PROFILE",,,
"80003800001020","Nodes","1020",21.000000,48.601006,"Default Known Flow Node","Known Flow",486542.208740,208706.062285,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000344","Nodes","344",21.000000,48.511437,"DDS demands","Known Flow",486581.865753,208661.271259,,0.000000,,,,,-8.260000,,,,,-7.386240,-8.260000,,"",,,,,"D1 PROFILE",,,,
"80003800009784","Nodes","-94604",21.000000,48.500415,"Default Known Flow Node","Known Flow",486523.374540,208735.335757,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000042","Nodes","42",21.000000,47.346096,"DDS demands","Known Flow",486607.536237,208597.450898,,0.000000,-7.420000,,,,-15.880000,,,,,-20.835277,-23.300000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"80003800000284","Nodes","284",21.000000,48.713880,"DDS demands","Known Flow",486538.285548,208707.232001,,0.000000,,,,,-3.489999,,,,,-3.120820,-3.489999,,"",,,,,"D1 PROFILE",,,,
"80003800000405","Nodes","405",21.000000,32.124928,"DDS demands","Known Flow",486318.059912,207949.926294,,0.000000,-21.569999,,,,,,-4.110000,,,-22.963516,-25.679999,,"","C1 PROFILE",,,,,,"I2 PROFILE",,
"80003800001018","Nodes","1018",21.000000,32.056399,"Default Known Flow Node","Known Flow",486313.213340,207942.914651,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001016","Nodes","1016",21.000000,46.665230,"Default Known Flow Node","Known Flow",486825.395058,208302.741955,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001014","Nodes","1014",21.000000,46.686707,"Default Known Flow Node","Known Flow",486844.977631,208312.575894,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001013","Nodes","1013",21.000000,32.039377,"Default Known Flow Node","Known Flow",486289.638033,207958.513150,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000265","Nodes","265",21.000000,46.592207,"Default Known Flow Node","Known Flow",486811.555427,208317.385444,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000088","Nodes","88",21.000000,46.673819,"DDS demands","Known Flow",486826.751626,208299.868890,,0.000000,,,,,-15.109999,,,,,-13.511631,-15.109999,,"",,,,,"D1 PROFILE",,,,
"80003800001015","Nodes","1015",21.000000,46.691005,"Default Known Flow Node","Known Flow",486829.814627,208284.054886,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800009789","Nodes","-94631",21.000000,46.666377,"Default Known Flow Node","Known Flow",486755.329488,208258.710659,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001011","Nodes","1011",21.000000,43.275167,"Default Known Flow Node","Known Flow",486250.214457,208165.887355,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800009792","Nodes","-94636",21.000000,43.215529,"Default Known Flow Node","Known Flow",486800.316287,208027.766540,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
