"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80004400000428","Nodes","428",21.000000,26.488994,"DDS demands","Known Flow",447199.155000,167544.695000,,0.000000,-54.099997,-12.420000,,,,,-2.349999,,,,,,,,-61.584776,-68.869996,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,,,,
"80004400001121","Nodes","1121",21.000000,26.091545,"Default Known Flow Node","Known Flow",447219.467500,167547.679375,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000429","Nodes","429",21.000000,26.007994,"DDS demands","Known Flow",447267.905000,167548.445000,,0.000000,,,,,,,-3.410000,,,,,,,,-3.049282,-3.410000,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400000005","Nodes","Group Profile 2, STATION ROAD DG, 4436",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",452329.155000,166933.570000,,3359.999919,,,,,,,,,,,,,,,991.164966,1108.415628,,"",,,,,,,,,,,,,,
"80004400000011","Nodes","Group Profile 2, BOURNE ROAD DG, 4440",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",450599.155000,167613.570000,,6179.999948,,,,,,,,,,,,,,,2424.811558,2711.656403,,"",,,,,,,,,,,,,,
"80004400000027","Nodes","Group Profile 2, ASHMOOR GREEN ROAD R103D DG, 4445",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",450918.780000,170188.445000,,2239.999994,,,,,,,,,,,,,,,400.987027,448.422105,,"",,,,,,,,,,,,,,
"80004400000006","Nodes","Group Profile 1, ELIZABETH  AVENUE, 4437",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",445700.405000,165033.445000,,6200.000094,,,,,,,,,,,,,,,2734.322642,3057.781454,,"",,,,,,,,,,,,,,
"80004400000007","Nodes","Group Profile 1, NIGHTINGALES, 4438",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",447749.530000,165702.945000,,1850.000042,,,,,,,,,,,,,,,550.868280,616.033682,,"",,,,,,,,,,,,,,
"80004400000430","Nodes",,21.000000,30.604659,"DDS demands","Known Flow",447223.249924,167378.058375,,0.000000,-8.290000,,,,,,-0.950000,,,,,,,,-27.130567,-30.339999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,
"80004400000003","Nodes","Group Profile 2, LEAD, LONDON ROAD DG,4434",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",449088.030000,167438.945000,,16329.999926,,,,,,,,,,,,,,,2563.786595,2867.071750,,"",,,,,,,,,,,,,,
