"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-6671.729986","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-564.123006","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-1133.290003","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-69.789999","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-244.340000","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-1378.399997","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-723.699989","0.000000","1.000000","Volumetric","-1.000000"
"CC","Flow Categories","-27.959999","0.000000","1.000000","Volumetric","-1.000000"
"CH","Flow Categories","","","1.000000","Volumetric","0.000000"
"IH","Flow Categories","","","1.000000","Volumetric","0.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0.000000"
"CT","Flow Categories","","","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-AF","Flow Categories","-82.970000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"PL-DC","Flow Categories","-144.829996","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
