"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-4714.969999,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-308.550003,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-780.439997,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-114.739999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-351.070005,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-38.770000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-95.600000,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",-15.510000,0.000000,1.000000,"Volumetric",-1.000000
