"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80009200000258","Nodes","258","21.000000","18.412973","DDS demands","Known Flow","435994.373211","218816.560824","","0.000000","","","","","-0.990000","","","","-0.885275","-0.990000","","","","","","","D1 PROFILE","","",""
"80009200000151","Nodes","151","21.000000","24.917439","DDS demands","Known Flow","436145.866835","219184.599852","","0.000000","","","","","-10.359999","","","","-9.264096","-10.359999","","","","","","","D1 PROFILE","","",""
"80009200006004","Nodes","6004","21.000000","22.273870","DDS demands","Known Flow","436128.015045","219073.872791","","0.000000","-8.060000","","","","-5.579999","","","","-12.197133","-13.640000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"80009200000310","Nodes","310","21.000000","60.806275","DDS demands","Known Flow","433264.405753","221999.037251","","0.000000","","","","","-10.600000","","","","-9.478710","-10.600000","","","","","","","D1 PROFILE","","",""
"80009200006009","Nodes","6009","21.000000","59.438638","DDS demands","Known Flow","433422.690722","222075.783647","","0.000000","","","","","-1.830000","","","","-1.636418","-1.830000","","","","","","","D1 PROFILE","","",""
"80009200006010","Nodes","6010","21.000000","59.324667","Default Known Flow Node","Known Flow","433380.204791","222094.192211","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"80009200006008","Nodes","6008","21.000000","59.348194","DDS demands","Known Flow","433518.320120","222123.873652","","0.000000","","","","","-2.570000","","","","-2.298140","-2.570000","","","","","","","D1 PROFILE","","",""
"80009200000211","Nodes","211","21.000000","34.621185","DDS demands","Known Flow","435932.894777","219744.622004","","0.000000","","","","","-7.499999","","","","-6.706634","-7.499999","","","","","","","D1 PROFILE","","",""
"80009200000277","Nodes","277","21.000000","25.976180","DDS demands","Known Flow","436196.599856","219538.069954","","0.000000","","","","","-20.170000","","","","-18.036374","-20.170000","","","","","","","D1 PROFILE","","",""
"80009200006005","Nodes","6005","21.000000","26.143634","DDS demands","Known Flow","436203.165719","219476.149563","","0.000000","","","","","-7.999999","","","","-7.153743","-7.999999","","","","","","","D1 PROFILE","","",""
