"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80011200000002","Nodes","HEADLEY ROAD BRAMSHOT DG, R070D, Site ID 5748",21.000000,38.000000,"Default Known Pressure Node","Known Pressure",483747.922483,132361.794277,,1200.000001,,,,,,,,,,,361.001184,403.706051,,"",,,,,,,,,,
"80011200000081","Nodes","81",21.000000,37.517221,"DDS demands","Known Flow",483472.004821,132598.839290,,0.000000,-4.179999,,,0.000000,-0.560000,,,,,,-3.468313,-3.878599,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,
"80011200000026","Nodes","26",21.000000,27.316800,"DDS demands","Known Flow",484806.444006,131662.869017,,0.000000,,,,,-22.030001,,,,,,-17.335667,-19.386401,,"",,,,,"D1 PROFILE",,,,,
"80011200000188","Nodes","188",21.000000,25.871552,"DDS demands","Known Flow",484920.179107,131879.286096,,0.000000,,,,,-4.460000,,,,,,-3.509626,-3.924799,,"",,,,,"D1 PROFILE",,,,,
"80011200000117","Nodes","117",21.000000,28.958010,"DDS demands","Known Flow",484339.894188,130813.683740,,0.000000,,,,,-2.130000,,,,,,-1.676122,-1.874400,,"",,,,,"D1 PROFILE",,,,,
"80011200000121","Nodes","121",21.000000,28.212223,"DDS demands","Known Flow",484402.841271,130846.362067,,0.000000,,,,,-15.520000,,,,,,-12.212870,-13.657600,,"",,,,,"D1 PROFILE",,,,,
"80011200000295","Nodes","295",21.000000,34.430898,"DDS demands","Known Flow",484014.967861,131151.471898,,0.000000,,,,0.000000,-5.610000,,,,,,-4.414575,-4.936800,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"80011200000296","Nodes","296",21.000000,34.441125,"DDS demands","Known Flow",483983.090024,131118.187958,,0.000000,,,,,-3.619999,,,,,,-2.848620,-3.185600,,"",,,,,"D1 PROFILE",,,,,
"80011200000095","Nodes","95",21.000000,31.000588,"DDS demands","Known Flow",484033.001890,131024.919401,,0.000000,,,,,-19.019999,,,,,,-14.967061,-16.737599,,"",,,,,"D1 PROFILE",,,,,
"80011200000093","Nodes","93",21.000000,31.654086,"DDS demands","Known Flow",484077.776843,131039.000399,,0.000000,,,,,-8.810000,,,,,,-6.932693,-7.752800,,"",,,,,"D1 PROFILE",,,,,
"80011200000092","Nodes","Logger 5823, Traviss & Co Accountants, Midhurst Road",21.000000,32.528827,"Val Log Cath","Known Flow",484126.622891,131052.561871,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000368","Nodes","368",21.000000,30.878576,"DDS demands","Known Flow",483877.019823,131281.147933,,0.000000,,,,,-2.240000,,,,,,-1.762682,-1.971200,,"",,,,,"D1 PROFILE",,,,,
"80011200000366","Nodes","366",21.000000,30.901781,"DDS demands","Known Flow",483905.780569,131286.489263,,0.000000,,,,,-5.850000,,,,,,-4.603433,-5.148000,,"",,,,,"D1 PROFILE",,,,,
"80011200000141","Nodes","141",21.000000,33.066780,"DDS demands","Known Flow",484080.885070,131769.759281,,0.000000,,,,,-9.300000,,,,,,-7.318279,-8.184000,,"",,,,,"D1 PROFILE",,,,,
"80011200000346","Nodes","346",21.000000,32.583769,"DDS demands","Known Flow",484047.512770,131862.979224,,0.000000,,-38.000000,,,-17.849999,,,,,,-32.055922,-35.847998,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,,
"80011200008042","Nodes","8042",21.000000,31.970872,"Default Known Flow Node","Known Flow",484079.195749,132035.359750,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000140","Nodes","140",21.000000,31.163535,"DDS demands","Known Flow",484170.190004,132245.051551,,0.000000,,,,,-1.179999,,,,,,-0.928555,-1.038399,,"",,,,,"D1 PROFILE",,,,,
"80011200000224","Nodes","224,",21.000000,30.804291,"DDS demands","Known Flow",484215.010514,132333.081613,,0.000000,,,,,-1.580000,,,,-6.000000,,-4.086933,-4.570399,,"",,,,,"D1 PROFILE",,,,"I2 PROFILE",
"80011200000139","Nodes","139",21.000000,30.809274,"DDS demands","Known Flow",484283.753839,132386.750133,,0.000000,,,,,-9.639999,,,,,,-7.585829,-8.483199,,"",,,,,"D1 PROFILE",,,,,
"80011200000138","Nodes","138",21.000000,30.915729,"DDS demands","Known Flow",484353.281256,132469.809390,,0.000000,,,,,-1.080000,,,,,,-0.849864,-0.950400,,"",,,,,"D1 PROFILE",,,,,
"80011200000373","Nodes","373",21.000000,31.169242,"DDS demands","Known Flow",484448.137762,132682.146621,,0.000000,,,,,-2.059999,,,,,,-1.621038,-1.812799,,"",,,,,"D1 PROFILE",,,,,
"80011200000076","Nodes","76",21.000000,32.220799,"DDS demands","Known Flow",483885.175494,132915.340282,,0.000000,,,,,-4.239999,,,,,,-3.336505,-3.731199,,"",,,,,"D1 PROFILE",,,,,
"80011200000136","Nodes","136",21.000000,31.092413,"Default Known Flow Node","Known Flow",484109.809381,132921.012925,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000072","Nodes","72",21.000000,30.066804,"DDS demands","Known Flow",484280.134754,132942.994956,,0.000000,,,,,-12.090000,,,,,,-9.513763,-10.639199,,"",,,,,"D1 PROFILE",,,,,
"80011200001004","Nodes","1004",21.000000,36.738292,"DDS demands","Known Flow",483718.395850,132519.983368,,0.000000,,,,,-2.829999,,,,,,-2.226960,-2.490399,,"",,,,,"D1 PROFILE",,,,,
"80011200000374","Nodes","374",21.000000,35.039706,"Default Known Flow Node","Known Flow",483813.430448,132674.793524,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008113","Nodes","8113",21.000000,33.654287,"Default Known Flow Node","Known Flow",483888.444825,132784.016958,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000078","Nodes","78",21.000000,37.397697,"DDS demands","Known Flow",483673.501768,132478.775259,,0.000000,,,,,-16.169999,,,,,,-12.724363,-14.229600,,"",,,,,"D1 PROFILE",,,,,
"80011200000134","Nodes","134",21.000000,37.175089,"DDS demands","Known Flow",483693.021865,132636.320299,,0.000000,,,,,-1.290000,,,,,,-1.015116,-1.135199,,"",,,,,"D1 PROFILE",,,,,
"80011200000080","Nodes","80",21.000000,37.227322,"DDS demands","Known Flow",483707.606777,132767.542337,,0.000000,-13.000000,,,,-1.109999,,,,,,-10.289587,-11.506800,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"80011200000079","Nodes","79,",21.000000,37.561679,"DDS demands","Known Flow",483666.605766,132469.491256,,0.000000,-1.669999,,,,-4.110000,,,,,,-4.443815,-4.969499,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"80011200000159","Nodes","159",21.000000,36.118697,"DDS demands","Known Flow",483396.108693,131798.035073,,0.000000,,,,,-21.430001,,,,,,-16.863519,-18.858400,,"",,,,,"D1 PROFILE",,,,,
"80011200000160","Nodes","160",21.000000,35.787661,"DDS demands","Known Flow",483580.997501,131760.263319,,0.000000,,,,,-20.940001,,,,,,-16.477933,-18.427200,,"",,,,,"D1 PROFILE",,,,,
"80011200000303","Nodes","303",21.000000,29.032427,"DDS demands","Known Flow",483237.699649,132414.575241,,0.000000,,,,,-14.550000,,,,,,-11.449566,-12.803999,,"",,,,,"D1 PROFILE",,,,,
"80011200000318","Nodes","318",21.000000,49.433063,"DDS demands","Known Flow",481873.108379,131586.906266,,0.000000,,,,,-17.950000,,,,,,-14.125066,-15.796000,,"",,,,,"D1 PROFILE",,,,,
"80011200001003","Nodes","1003",21.000000,35.476046,"Default Known Flow Node","Known Flow",484041.376868,131390.683963,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000371","Nodes","371",21.000000,35.777695,"Default Known Flow Node","Known Flow",484060.765873,131341.906949,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000390","Nodes","390",21.000000,35.857536,"Default Known Flow Node","Known Flow",484050.248342,131336.432120,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008079","Nodes","8079",21.000000,27.115705,"Default Known Flow Node","Known Flow",484164.431564,130735.510853,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000120","Nodes","120",21.000000,27.200155,"DDS demands","Known Flow",484184.341907,130721.892781,,0.000000,,,,,-13.839999,,,,,,-10.890858,-12.179200,,"",,,,,"D1 PROFILE",,,,,
"80011200000116","Nodes","116",21.000000,28.838787,"DDS demands","Known Flow",484363.158956,130786.053798,,0.000000,,,,,-3.720000,,,,,,-2.927311,-3.273600,,"",,,,,"D1 PROFILE",,,,,
"80011200008104","Nodes","8104",21.000000,26.798771,"Default Known Flow Node","Known Flow",484764.065065,131146.265896,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000304","Nodes","304",21.000000,26.807826,"DDS demands","Known Flow",484785.098070,131117.895888,,0.000000,,,,,-4.159999,,,,,,-3.273552,-3.660800,,"",,,,,"D1 PROFILE",,,,,
"80011200008055","Nodes","8055",21.000000,36.613052,"Default Known Flow Node","Known Flow",483239.544878,131932.746817,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008056","Nodes","8056",21.000000,36.370208,"Default Known Flow Node","Known Flow",483253.600771,131896.401191,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008060","Nodes","8060",21.000000,36.806697,"Default Known Flow Node","Known Flow",483399.954348,131889.876537,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008062","Nodes","8062",21.000000,37.022339,"Default Known Flow Node","Known Flow",483404.645393,131922.897548,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008058","Nodes","8058",21.000000,36.806697,"Default Known Flow Node","Known Flow",483390.514691,131891.261099,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008061","Nodes","8061",21.000000,36.455223,"Default Known Flow Node","Known Flow",483403.686449,131847.780119,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008059","Nodes","8059",21.000000,36.455223,"Default Known Flow Node","Known Flow",483395.790692,131848.146087,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008063","Nodes","8063,",21.000000,35.443877,"DDS demands","Known Flow",483756.732156,131645.966539,,0.000000,,-115.030000,,,,,,,,,-54.516798,-60.965897,,"",,"C2 PROFILE",,,,,,,,
"80011200008067","Nodes","8067",21.000000,34.404254,"Default Known Flow Node","Known Flow",483953.654362,131509.658807,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008072","Nodes","8072",21.000000,34.483550,"Default Known Flow Node","Known Flow",484002.552858,131491.111990,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008083","Nodes","8083",21.000000,30.848866,"Default Known Flow Node","Known Flow",484227.223480,131952.214591,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008101","Nodes","8101",21.000000,28.044094,"Default Known Flow Node","Known Flow",484641.206623,131654.610790,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008103","Nodes","8103",21.000000,27.625305,"Default Known Flow Node","Known Flow",484719.655607,131511.746871,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000191","Nodes","191",21.000000,26.159176,"DDS demands","Known Flow",485004.314339,131870.999656,,0.000000,,,,,-11.430000,,,,,,-8.994401,-10.058400,,"",,,,,"D1 PROFILE",,,,,
"80011200008095","Nodes","8095",21.000000,27.031236,"Default Known Flow Node","Known Flow",485114.583386,131742.809660,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008028","Nodes","8028",21.000000,37.776138,"Default Known Flow Node","Known Flow",483437.871704,132079.225150,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008033","Nodes","8033",21.000000,31.744180,"Default Known Flow Node","Known Flow",483957.947749,132188.658621,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008037","Nodes","8037",21.000000,31.744180,"Default Known Flow Node","Known Flow",483992.491785,132159.518074,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008034","Nodes","8034",21.000000,36.591284,"Default Known Flow Node","Known Flow",483966.902848,132377.890000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000363","Nodes","363",21.000000,36.572125,"DDS demands","Known Flow",483960.840286,132361.639276,,0.000000,,,,,-3.980000,,,,,,-3.131908,-3.502400,,"",,,,,"D1 PROFILE",,,,,
"80011200008036","Nodes","8036",21.000000,36.590367,"Default Known Flow Node","Known Flow",483975.981473,132370.581043,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008039","Nodes","8039",21.000000,32.208998,"Default Known Flow Node","Known Flow",483993.917350,132033.878816,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008040","Nodes","8040",21.000000,32.192097,"Default Known Flow Node","Known Flow",483993.757312,132053.191556,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008038","Nodes","8038",21.000000,32.177323,"Default Known Flow Node","Known Flow",483993.329430,132070.795434,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008045","Nodes","P07111033, BRANSHOTT PLACE,122.2",30.000000,30.733004,"CSEP DDS Matched","Known Flow",484255.769926,132306.819212,,0.000000,,,,,,-109.200000,,,,,-85.930766,-96.095996,,"",,,,,,"DC PROFILE",,,,
"80011200008052","Nodes","8052",21.000000,31.097942,"Default Known Flow Node","Known Flow",484447.533979,132468.663256,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008035","Nodes","8035",21.000000,33.461079,"Default Known Flow Node","Known Flow",483974.659359,132768.632651,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008046","Nodes","8046",21.000000,29.115562,"Default Known Flow Node","Known Flow",484255.827926,132998.568400,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008047","Nodes","8047",21.000000,30.060278,"Default Known Flow Node","Known Flow",484282.259934,132943.947385,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008048","Nodes","8048,",21.000000,30.051927,"DDS demands","Known Flow",484282.746157,132938.679575,,0.000000,-5.330000,,,,,,,,,,-3.860607,-4.317300,,"","C1 PROFILE",,,,,,,,,
"80011200008049","Nodes","8049",21.000000,30.060278,"Default Known Flow Node","Known Flow",484284.025934,132941.588385,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008051","Nodes","8051",21.000000,31.139924,"Point Loads","Known Flow",484445.621978,132685.113315,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008044","Nodes","8044",21.000000,30.788175,"Default Known Flow Node","Known Flow",484230.794920,132545.321277,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200007001","Nodes","7001",21.000000,27.426840,"DDS demands","Known Flow",484265.907789,133107.307936,,0.000000,,,,,-13.879999,,,,,,-10.922335,-12.214400,,"",,,,,"D1 PROFILE",,,,,
"80011200007002","Nodes","7002",21.000000,27.383123,"Default Known Flow Node","Known Flow",484256.741927,133120.436433,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000319","Nodes","319",21.000000,49.389012,"Default Known Flow Node","Known Flow",481876.223739,131580.688002,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200001008","Nodes","1008",21.000000,28.846969,"Default Known Flow Node","Known Flow",483790.697800,131263.628928,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200001009","Nodes","1009",21.000000,29.133463,"Default Known Flow Node","Known Flow",483792.347800,131200.861911,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
