"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80014400308454","Nodes","","21.000000","33.718537","Default Known Flow Node","Known Flow","460920.889577","219817.671024","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000020","Nodes","","21.000000","33.881193","DDS demands","Known Flow","460542.687960","219498.399768","","0.000000","","","","-7.300000","","","","-6.527790","-7.300000","","","","","","D1 PROFILE","","",""
"80014400000036","Nodes","","21.000000","34.152282","DDS demands","Known Flow","460682.980374","219670.524340","","0.000000","","-47.000000","","-1.209999","","","","-43.110244","-48.210001","","","","C2 PROFILE","","D1 PROFILE","","",""
"80014400008007","Nodes","","21.000000","49.191214","Default Known Flow Node","Known Flow","461965.557492","216545.195535","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400008006","Nodes","","21.000000","33.759990","Default Known Flow Node","Known Flow","460697.610108","219716.123570","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000034","Nodes","","21.000000","33.704983","DDS demands","Known Flow","460701.344082","219728.909596","","0.000000","","","","-9.409999","","","","-8.414590","-9.409999","","","","","","D1 PROFILE","","",""
"80014400008002","Nodes","","21.000000","32.925140","Default Known Flow Node","Known Flow","460496.139739","219437.435874","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400008003","Nodes","Logger 5243, Elm Lane","21.000000","33.585466","Val Log Cath","Known Flow","460491.751994","219452.920897","","0.000000","","","","-11.270000","","","","-10.077835","-11.270000","","","","","","D1 PROFILE","","",""
"80014400000085","Nodes","","21.000000","29.895436","DDS demands","Known Flow","461287.605547","217108.342367","","0.000000","","","","-3.940000","","","","-3.523218","-3.940000","","","","","","D1 PROFILE","","",""
"80014400008005","Nodes","Logger 5245, Buchanan Road","21.000000","29.919760","Val Log Cath","Known Flow","461300.261601","217120.695148","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000082","Nodes","","21.000000","30.114491","DDS demands","Known Flow","461374.016700","217145.961297","","0.000000","","","","-6.309999","","","","-5.642515","-6.309999","","","","","","D1 PROFILE","","",""
"80014400008004","Nodes","Logger 5244, East Hawthorn Road","21.000000","34.099665","Val Log Cath","Known Flow","460706.648167","219667.064869","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000037","Nodes","","21.000000","33.845801","DDS demands","Known Flow","460804.185545","219739.428003","","0.000000","","","","-4.960000","","","","-4.435321","-4.960000","","","","","","D1 PROFILE","","",""
"80014400000022","Nodes","","21.000000","34.266706","DDS demands","Known Flow","460589.233939","219573.970520","","0.000000","","","","-14.680000","","","","-13.127118","-14.680000","","","","","","D1 PROFILE","","",""
"80014400000021","Nodes","","21.000000","33.071547","DDS demands","Known Flow","460438.045919","219597.907992","","0.000000","","","","-12.520000","","","","-11.195608","-12.520000","","","","","","D1 PROFILE","","",""
"80014400008001","Nodes","","21.000000","33.028055","Default Known Flow Node","Known Flow","460490.638460","219536.929948","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000046","Nodes","","21.000000","33.442485","DDS demands","Known Flow","460475.392651","219468.759210","","0.000000","","","-2.219999","-2.980000","","","","-4.649933","-5.200000","","","","","C4 PROFILE","D1 PROFILE","","",""
"80014400000048","Nodes","","21.000000","32.970932","DDS demands","Known Flow","460400.047025","219473.133898","","0.000000","","","","-3.299999","","","","-2.950918","-3.299999","","","","","","D1 PROFILE","","",""
"80014400000019","Nodes","","21.000000","32.697563","DDS demands","Known Flow","460350.794647","219499.945735","","0.000000","","","","-5.559999","","","","-4.971851","-5.559999","","","","","","D1 PROFILE","","",""
"80014400000072","Nodes","","21.000000","34.335802","DDS demands","Known Flow","460601.256157","219827.536813","","0.000000","","","","-2.209999","","","","-1.976221","-2.209999","","","","","","D1 PROFILE","","",""
"80014400000073","Nodes","","21.000000","34.354373","DDS demands","Known Flow","460615.983494","219815.421024","","0.000000","","","","-2.190000","","","","-1.958337","-2.190000","","","","","","D1 PROFILE","","",""
"80014400000027","Nodes","","21.000000","34.197286","DDS demands","Known Flow","460611.103765","219844.193031","","0.000000","","","","-6.639999","","","","-5.937606","-6.639999","","","","","","D1 PROFILE","","",""
"80014400000026","Nodes","","21.000000","34.140370","DDS demands","Known Flow","460597.446094","219717.566291","","0.000000","","","","-3.890000","","","","-3.478507","-3.890000","","","","","","D1 PROFILE","","",""
"80014400000114","Nodes","","21.000000","33.851326","DDS demands","Known Flow","460619.903687","219749.237875","","0.000000","","","","-7.349999","","","","-6.572501","-7.349999","","","","","","D1 PROFILE","","",""
"80014400000032","Nodes","","21.000000","33.163517","DDS demands","Known Flow","460733.136497","219794.312943","","0.000000","","","","-4.210000","","","","-3.764657","-4.210000","","","","","","D1 PROFILE","","",""
"80014400000117","Nodes","","21.000000","33.550070","DDS demands","Known Flow","460753.922340","219779.285611","","0.000000","","","","-3.140000","","","","-2.807844","-3.140000","","","","","","D1 PROFILE","","",""
"80014400000116","Nodes","","21.000000","33.561022","DDS demands","Known Flow","460743.776676","219768.360402","","0.000000","","","","-2.920000","","","","-2.611116","-2.920000","","","","","","D1 PROFILE","","",""
"80014400000031","Nodes","","21.000000","32.899655","DDS demands","Known Flow","460754.342128","219835.558285","","0.000000","","","","-0.399999","","","","-0.357687","-0.399999","","","","","","D1 PROFILE","","",""
"80014400024463","Nodes","","21.000000","33.695907","Default Known Flow Node","Known Flow","460687.946997","219741.905520","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000078","Nodes","","21.000000","32.167335","DDS demands","Known Flow","460349.056421","219764.311010","","0.000000","","","","-1.640000","","","","-1.466517","-1.640000","","","","","","D1 PROFILE","","",""
"80014400000097","Nodes","","21.000000","32.179662","DDS demands","Known Flow","460318.738671","219712.595887","","0.000000","","","","-4.269999","","","","-3.818310","-4.269999","","","","","","D1 PROFILE","","",""
"80014400000008","Nodes","","21.000000","32.206202","Default Known Flow Node","Known Flow","460325.642694","219702.387746","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000024","Nodes","","21.000000","35.592393","DDS demands","Known Flow","460505.378464","219707.133994","","0.000000","","","","-12.760000","","","","-11.410220","-12.760000","","","","","","D1 PROFILE","","",""
"80014400000006","Nodes","","21.000000","35.668154","DDS demands","Known Flow","460500.588462","219717.138997","","0.000000","","","","-7.479999","","","","-6.688749","-7.479999","","","","","","D1 PROFILE","","",""
"80014400000005","Nodes","","21.000000","35.779894","Default Known Flow Node","Known Flow","460495.548461","219728.840000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000087","Nodes","","21.000000","32.685417","DDS demands","Known Flow","460774.794793","219847.668233","","0.000000","","","","-10.830000","","","","-9.684380","-10.830000","","","","","","D1 PROFILE","","",""
"80014400000132","Nodes","","21.000000","32.357328","DDS demands","Known Flow","460793.916554","219973.151980","","0.000000","","","","-16.860000","","","","-15.076514","-16.860000","","","","","","D1 PROFILE","","",""
"80014400000156","Nodes","","21.000000","31.912690","DDS demands","Known Flow","460948.611584","217068.363276","","0.000000","","","","-2.150000","","","","-1.922568","-2.150000","","","","","","D1 PROFILE","","",""
"80014400000157","Nodes","","21.000000","31.763302","DDS demands","Known Flow","460951.946982","217037.388560","","0.000000","-5.330000","","","-6.809999","","","","-10.855805","-12.140000","","","C1 PROFILE","","","D1 PROFILE","","",""
"80014400000155","Nodes","","21.000000","31.987707","DDS demands","Known Flow","460981.953593","217050.826271","","0.000000","","","","-2.769999","","","","-2.476983","-2.769999","","","","","","D1 PROFILE","","",""
"80014400000154","Nodes","P08116900, Murcott Road, 50.96","24.000000","32.284054","CSEP DDS Matched","Known Flow","461041.286901","217093.298648","","0.000000","","","","","-50.960000","","","-45.569344","-50.960000","","","","","","","DC PROFILE","",""
"80014400000086","Nodes","","21.000000","32.080288","DDS demands","Known Flow","461001.079327","217070.371518","","0.000000","-2.339999","","","-4.550000","","","","-6.161161","-6.890000","","","C1 PROFILE","","","D1 PROFILE","","",""
"80014400308448","Nodes","","21.000000","34.857002","Default Known Flow Node","Known Flow","461361.735697","216670.487168","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308449","Nodes","","21.000000","34.857002","Default Known Flow Node","Known Flow","461362.407651","216672.204927","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308451","Nodes","","21.000000","34.857002","Default Known Flow Node","Known Flow","461365.727698","216680.692171","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308452","Nodes","","21.000000","33.959795","DDS demands","Known Flow","461382.204702","216626.770156","","0.000000","-36.680001","","","","","","","-32.799914","-36.680001","","","C1 PROFILE","","","","","",""
"80014400308460","Nodes","","21.000000","49.814812","Default Known Flow Node","Known Flow","461702.139789","216648.327162","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000003","Nodes","St. Georges Barracks","21.000000","50.000007","Default Known Pressure Node","Known Pressure","461718.932794","216628.384156","","0.000000","","","","","","","","226.040403","252.779985","","","","","","","","",""
"80014400308462","Nodes","","21.000000","49.972012","Default Known Flow Node","Known Flow","461719.706948","216633.652556","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308456","Nodes","","21.000000","49.224723","Default Known Flow Node","Known Flow","461548.517811","216579.949837","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308459","Nodes","","21.000000","49.391996","Default Known Flow Node","Known Flow","461594.320760","216607.324151","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308458","Nodes","","21.000000","49.391996","Default Known Flow Node","Known Flow","461589.785759","216617.246153","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308457","Nodes","","21.000000","32.913802","Default Known Flow Node","Known Flow","460750.480530","219850.033033","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400308466","Nodes","","21.000000","49.929712","Default Known Flow Node","Known Flow","461739.292799","216616.765153","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400137159","Nodes","","21.000000","32.691448","Default Known Flow Node","Known Flow","461048.891612","217198.336312","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000151","Nodes","","21.000000","32.691448","DDS demands","Known Flow","461054.766613","217209.086314","","0.000000","","","","-6.599999","","","","-5.901837","-6.599999","","","","","","D1 PROFILE","","",""
"80014400000149","Nodes","","21.000000","32.459242","DDS demands","Known Flow","461077.766619","217252.211326","","0.000000","","","","-2.609999","","","","-2.333908","-2.609999","","","","","","D1 PROFILE","","",""
"80014400000147","Nodes","","21.000000","32.481473","DDS demands","Known Flow","461093.725053","217275.191717","","0.000000","","","","-2.509999","","","","-2.244486","-2.509999","","","","","","D1 PROFILE","","",""
"80014400000148","Nodes","","21.000000","32.362648","DDS demands","Known Flow","461094.766624","217314.336343","","0.000000","","","","-4.340000","","","","-3.880905","-4.340000","","","","","","D1 PROFILE","","",""
"80014400000197","Nodes","","21.000000","33.118745","DDS demands","Known Flow","461135.586116","217341.859078","","0.000000","","","","-5.239999","","","","-4.685701","-5.239999","","","","","","D1 PROFILE","","",""
"80014400000152","Nodes","","21.000000","32.645322","DDS demands","Known Flow","461066.766616","217231.086320","","0.000000","","","","-4.039999","","","","-3.612640","-4.039999","","","","","","D1 PROFILE","","",""
"80014400000150","Nodes","","21.000000","32.761063","DDS demands","Known Flow","461095.067372","217187.810933","","0.000000","","","","-6.699999","","","","-5.991259","-6.699999","","","","","","D1 PROFILE","","",""
"80014400000153","Nodes","","21.000000","32.776371","DDS demands","Known Flow","461083.141621","217163.961302","","0.000000","","","","-12.359999","","","","-11.052533","-12.359999","","","","","","D1 PROFILE","","",""
"80014400000143","Nodes","","21.000000","33.509525","DDS demands","Known Flow","461093.641624","217430.900375","","0.000000","","","","-24.129998","","","","-21.577475","-24.129998","","","","","","D1 PROFILE","","",""
"80014400137177","Nodes","","21.000000","33.165363","Default Known Flow Node","Known Flow","461138.121220","217350.469530","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000194","Nodes","","21.000000","30.581804","DDS demands","Known Flow","460987.712595","217272.472332","","0.000000","","","","-18.709998","","","","-16.730816","-18.709998","","","","","","D1 PROFILE","","",""
"80014400000146","Nodes","","21.000000","32.899901","DDS demands","Known Flow","461127.016633","217245.211324","","0.000000","","","","-6.820000","","","","-6.098566","-6.820000","","","","","","D1 PROFILE","","",""
"80014400000144","Nodes","","21.000000","33.019712","DDS demands","Known Flow","461137.391636","217306.211341","","0.000000","","","","-14.120000","","","","-12.626357","-14.120000","","","","","","D1 PROFILE","","",""
"80014400000145","Nodes","","21.000000","30.919802","DDS demands","Known Flow","461242.612493","217238.923443","","0.000000","","","","-4.920000","","","","-4.399552","-4.920000","","","","","","D1 PROFILE","","",""
"80014400137176","Nodes","","21.000000","33.158319","Default Known Flow Node","Known Flow","461138.142905","217348.719989","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014400000080","Nodes","","21.000000","30.372019","DDS demands","Known Flow","461296.389219","217197.332641","","0.000000","","","","-10.930000","","","","-9.773801","-10.930000","","","","","","D1 PROFILE","","",""
"80014400000079","Nodes","","21.000000","30.700996","DDS demands","Known Flow","461264.766670","217177.586306","","0.000000","","","","-6.090000","","","","-5.445787","-6.090000","","","","","","D1 PROFILE","","",""
"80014400000081","Nodes","","21.000000","30.331589","DDS demands","Known Flow","461331.641689","217232.961321","","0.000000","","","","-5.059999","","","","-4.524742","-5.059999","","","","","","D1 PROFILE","","",""
"80014400000083","Nodes","","21.000000","30.315972","DDS demands","Known Flow","461411.016710","217165.961303","","0.000000","","","","-2.180000","","","","-1.949395","-2.180000","","","","","","D1 PROFILE","","",""
"80014400000084","Nodes","","21.000000","30.162430","DDS demands","Known Flow","461424.766714","217186.211308","","0.000000","","","","-3.589999","","","","-3.210242","-3.589999","","","","","","D1 PROFILE","","",""
"80014400137170","Nodes","","21.000000","33.990641","Default Known Flow Node","Known Flow","461109.141628","217511.711397","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
