"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80014600000148","Nodes","148",21.000000,25.447727,"DDS demands","Known Flow",427645.036179,216908.103078,,0.000000,,,,,-1.120000,,,,-1.001524,-1.120000,,"",,,,,"D1 PROFILE",,,
"80014600001005","Nodes","P00060102, Corner Farm, 12.55",22.999998,22.242754,"CSEP DDS Matched","Known Flow",430277.689583,218708.302328,,0.000000,,,,,,-7.362000,,,-6.583232,-7.362000,,"",,,,,,"DC PROFILE",,
"80014600000217","Nodes","217",21.000000,21.996287,"DDS demands","Known Flow",430293.492615,218711.900932,,0.000000,,,,,-1.269999,,,,-1.135656,-1.269999,,"",,,,,"D1 PROFILE",,,
"80014600000185","Nodes","185",21.000000,27.380669,"DDS demands","Known Flow",428047.133631,216995.788256,,0.000000,,,,,-10.589999,,,,-9.469767,-10.589999,,"",,,,,"D1 PROFILE",,,
"80014600000170","Nodes","170",21.000000,31.603057,"DDS demands","Known Flow",428148.005659,217058.258273,,0.000000,,,,,-12.939999,,,,-11.571179,-12.939999,,"",,,,,"D1 PROFILE",,,
"80014600000013","Nodes","13",21.000000,48.979984,"DDS demands","Known Flow",427736.856376,218072.965490,,0.000000,,,,,-7.669999,,,,-6.858651,-7.669999,,"",,,,,"D1 PROFILE",,,
"80014600000995","Nodes","P00031096, Bradley Garage, 10.98",22.999998,48.893428,"CSEP DDS Matched","Known Flow",427813.711568,217980.185524,,0.000000,,,,,-3.089999,-10.979999,,,-12.581645,-14.070000,,"",,,,,"D1 PROFILE","DC PROFILE",,
"80014600000009","Nodes","9",21.000000,49.055560,"DDS demands","Known Flow",427862.150360,217893.388433,,0.000000,,,-10.589999,,-6.079999,,,,-14.906612,-16.670000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,
"80014600000037","Nodes","37",21.000000,37.745521,"DDS demands","Known Flow",426954.698334,218282.041606,,0.000000,-3.110000,,,-4.130000,-15.999999,,,,-20.781623,-23.240000,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,
"80014600001004","Nodes","P00076614, Groves Industrial Estate, 50.31",25.000000,36.781106,"CSEP DDS Matched","Known Flow",426824.259696,218263.111995,,0.000000,,,,,-2.170000,-50.310002,,,-46.928556,-52.480001,,"",,,,,"D1 PROFILE","DC PROFILE",,
"80014600000195","Nodes","195",21.000000,33.898800,"DDS demands","Known Flow",426701.136008,218255.857133,,0.000000,,,,,-3.280000,,,,-2.933034,-3.280000,,"",,,,,"D1 PROFILE",,,
"80014600000025","Nodes","25",21.000000,37.902122,"DDS demands","Known Flow",426957.347335,218292.140609,,0.000000,,,,,-13.090000,,,,-11.705312,-13.090000,,"",,,,,"D1 PROFILE",,,
"80014600000023","Nodes","23",21.000000,38.435403,"DDS demands","Known Flow",427024.536353,218236.698594,,0.000000,,,,,-15.500000,,-11.029999,,-23.723600,-26.530001,,"",,,,,"D1 PROFILE",,"",
"80014600000022","Nodes","22",21.000000,40.596866,"DDS demands","Known Flow",427219.480406,218103.668558,,0.000000,,,,,-6.639999,,,,-5.937606,-6.639999,,"",,,,,"D1 PROFILE",,,
"80014600009001","Nodes","9001",21.000000,41.729121,"DDS demands","Known Flow",427319.978831,218062.308941,,0.000000,,,,,-3.410000,,,,-3.049283,-3.410000,,"",,,,,"D1 PROFILE",,,
"80014600000198","Nodes","198",21.000000,42.763596,"DDS demands","Known Flow",427391.815940,218009.897724,,0.000000,,-33.749999,,,-4.500000,,,,-34.203834,-38.249999,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"80014600000199","Nodes","199",21.000000,44.234593,"DDS demands","Known Flow",427415.171459,217997.198529,,0.000000,,,,,-2.200000,,,,-1.967279,-2.200000,,"",,,,,"D1 PROFILE",,,
"80014600000048","Nodes","48",21.000000,32.837448,"DDS demands","Known Flow",429977.811110,218666.932749,,0.000000,-0.479999,,,,-6.139999,,,,-5.919722,-6.619999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"80014600000229","Nodes","229",21.000000,38.675013,"DDS demands","Known Flow",429778.590103,218482.141661,,0.000000,,,,,-12.859999,,,,-11.499641,-12.859999,,"",,,,,"D1 PROFILE",,,
"80014600000212","Nodes","212",21.000000,40.054465,"Default Known Flow Node","Known Flow",429733.776815,218299.552349,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014600000160","Nodes","160",21.000000,38.685152,"DDS demands","Known Flow",429777.543140,218480.358082,,0.000000,,,-4.060000,,-14.500000,,,,-16.596684,-18.560000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,
"80014600000046","Nodes","46",21.000000,40.366391,"DDS demands","Known Flow",429713.221085,218254.146599,,0.000000,,,-1.450000,,-11.830000,,,,-11.875213,-13.280000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,
"80014600000213","Nodes","P10124567, 2A Shipton Road, 8.03",22.999998,32.692071,"CSEP DDS Matched","Known Flow",430009.877166,218701.007720,,0.000000,,,,,,-3.246999,,,-2.903525,-3.246999,,"",,,,,,"DC PROFILE",,
"80014600000043","Nodes","43",21.000000,49.756558,"Default Known Flow Node","Known Flow",429520.148574,218097.782164,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014600010001","Nodes","10001",21.000000,49.721902,"Default Known Flow Node","Known Flow",428106.805633,217510.466971,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014600001001","Nodes","Swinbrook Road DG, Clocked",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",428113.177649,217508.214396,,359.999986,,,,,,,,,94.636225,105.831284,,"",,,,,,,,
"80014600000110","Nodes","110",21.000000,49.719305,"DDS demands","Known Flow",428107.307648,217516.537398,,0.000000,,,,,-1.129999,,,,-1.010466,-1.129999,,"",,,,,"D1 PROFILE",,,
"80014600000167","Nodes","167",21.000000,48.721585,"DDS demands","Known Flow",428100.939790,217363.502753,,0.000000,,,,,-4.559999,,,,-4.077633,-4.559999,,"",,,,,"D1 PROFILE",,,
"80014600000164","Nodes","164",21.000000,28.348002,"DDS demands","Known Flow",430182.363456,218715.403442,,0.000000,,,,,-14.810000,,,,-13.243367,-14.810000,,"",,,,,"D1 PROFILE",,,
"80014600000206","Nodes","206",21.000000,45.330166,"DDS demands","Known Flow",427855.141579,218124.851564,,0.000000,,,,,-1.200000,,,,-1.073061,-1.200000,,"",,,,,"D1 PROFILE",,,
"80014600000137","Nodes","137",21.000000,48.982080,"DDS demands","Known Flow",427725.038816,218083.464373,,0.000000,,,,-0.419999,-7.179999,,,,-6.796055,-7.599999,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"80014600000136","Nodes","136",21.000000,49.944659,"Default Known Flow Node","Known Flow",427764.292508,218088.787088,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014600000002","Nodes","Shipton Road DG, Constant, Site ID 5262",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",429516.082031,218093.803555,,2099.999985,,,,,,,,,225.136338,251.769007,,"",,,,,,,,
"80014600000004","Nodes","Station Road DG, Clocked, Site ID 6090",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",427763.404554,218090.909554,,4969.999802,,,,,,,,,988.293635,1105.204478,,"",,,,,,,,
"80014600000011","Nodes","11",21.000000,28.856649,"DDS demands","Known Flow",427673.220423,217363.855236,,0.000000,-1.789999,,-1.539999,-8.579999,-10.320000,,,,-19.878464,-22.230000,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,,
"80014600000089","Nodes","89",21.000000,26.907957,"DDS demands","Known Flow",427691.148535,217235.080322,,0.000000,,,,-0.860000,-18.809999,,,,-17.589266,-19.669999,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"80014600000169","Nodes","169",21.000000,48.636081,"DDS demands","Known Flow",428114.437650,217349.750353,,0.000000,,,,,-2.900000,,,,-2.593232,-2.900000,,"",,,,,"D1 PROFILE",,,
"80014600000168","Nodes","168",21.000000,48.685815,"DDS demands","Known Flow",428276.659694,217200.301312,,0.000000,,,,,-13.859999,,,,-12.393859,-13.859999,,"",,,,,"D1 PROFILE",,,
"80014600000027","Nodes","27",21.000000,32.890986,"DDS demands","Known Flow",426659.522661,218255.314494,,0.000000,,,,,-20.360000,,,,-18.206278,-20.360000,,"",,,,,"D1 PROFILE",,,
"80014600000085","Nodes","85",21.000000,45.630528,"DDS demands","Known Flow",427489.205480,217959.571519,,0.000000,,,,,-13.290000,,,,-11.884156,-13.290000,,"",,,,,"D1 PROFILE",,,
"80014600000204","Nodes","204",21.000000,45.549763,"DDS demands","Known Flow",427506.018956,217920.883781,,0.000000,,,,,-2.949999,,,,-2.637942,-2.949999,,"",,,,,"D1 PROFILE",,,
"80014600000228","Nodes","228",21.000000,45.420442,"DDS demands","Known Flow",427575.502503,217935.213512,,0.000000,,,,,-3.970000,,,,-3.550045,-3.970000,,"",,,,,"D1 PROFILE",,,
"80014600000118","Nodes","118",21.000000,28.052674,"DDS demands","Known Flow",426440.671194,218739.070731,,0.000000,,,,,-7.519999,,,,-6.724518,-7.519999,,"",,,,,"D1 PROFILE",,,
"80014600000117","Nodes","117",21.000000,28.137334,"DDS demands","Known Flow",426440.733451,218737.639220,,0.000000,,,,,-7.530000,,,,-6.733460,-7.530000,,"",,,,,"D1 PROFILE",,,
"80014600000016","Nodes","16",21.000000,40.526435,"DDS demands","Known Flow",427905.670593,218150.748571,,0.000000,,,,,-4.600000,,,,-4.113402,-4.600000,,"",,,,,"D1 PROFILE",,,
"80014600000223","Nodes","223",21.000000,37.311495,"DDS demands","Known Flow",427867.351846,218294.335927,,0.000000,,-11.920000,,,-3.640000,,,,-13.914030,-15.559999,,"",,"",,,"D1 PROFILE",,,
"80014600000124","Nodes","124",21.000000,30.578726,"DDS demands","Known Flow",426515.594215,218054.746545,,0.000000,,,,,-7.250000,,,,-6.483080,-7.250000,,"",,,,,"D1 PROFILE",,,
"80014600000174","Nodes","174",21.000000,31.291373,"DDS demands","Known Flow",426601.303995,218097.950623,,0.000000,,,,,-5.039999,,,,-4.506857,-5.039999,,"",,,,,"D1 PROFILE",,,
"80014600000079","Nodes","79",21.000000,31.484795,"DDS demands","Known Flow",426626.924245,218095.631556,,0.000000,,,,,-0.799999,,,,-0.715374,-0.799999,,"",,,,,"D1 PROFILE",,,
"80014600000060","Nodes","60",21.000000,24.678664,"DDS demands","Known Flow",426506.899513,218802.922307,,0.000000,,,,,-10.229999,,,,-9.147848,-10.229999,,"",,,,,"D1 PROFILE",,,
"80014600000041","Nodes","41",21.000000,47.442901,"DDS demands","Known Flow",427694.707665,218054.940269,,0.000000,,,,,-7.129999,,,,-6.375773,-7.129999,,"",,,,,"D1 PROFILE",,,
"80014600000042","Nodes","42",21.000000,47.480467,"DDS demands","Known Flow",427697.038761,218016.989511,,0.000000,,,,,-6.789999,,,,-6.071739,-6.789999,,"",,,,,"D1 PROFILE",,,
