"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-PL)"
"80016200002010","Nodes","2010",21.000000,31.807920,"DDS demands","Known Flow",486063.148418,241960.843050,,0.000000,,,,-1.890000,,,-1.690071,-1.890000,,"",,,,"D1 PROFILE",,
"80016200002009","Nodes","2009",21.000000,31.813482,"DDS demands","Known Flow",486069.398420,241982.093055,,0.000000,,,,-3.810000,,,-3.406970,-3.810000,,"",,,,"D1 PROFILE",,
"80016200001000","Nodes","1000",21.000000,32.546055,"Default Known Flow Node","Known Flow",486612.257234,242271.562554,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80016200001001","Nodes","1001",21.000000,32.546055,"Default Known Flow Node","Known Flow",486654.773579,242283.843138,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80016200007002","Nodes","7002",21.000000,34.720378,"Default Known Flow Node","Known Flow",486185.898452,242823.468284,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80016200004010","Nodes","4010",21.000000,34.740819,"Default Known Flow Node","Known Flow",486179.379004,242830.107355,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80016200000001","Nodes","Blakelands Housing, Constant",21.000000,64.999998,"Default Known Pressure Node","Known Pressure",486199.648455,242408.343171,,999998.967025,,,,,,,312.547042,349.520016,,"",,,,,,
"80016200000073","Nodes","73",21.000000,64.949413,"DDS demands","Known Flow",486199.524373,242412.810121,,0.000000,,,,-1.519999,,,-1.359211,-1.519999,,"",,,,"D1 PROFILE",,
"80016200000074","Nodes","74",21.000000,64.107130,"DDS demands","Known Flow",486265.898473,242418.718174,,0.000000,,,,-4.980000,,,-4.453205,-4.980000,,"",,,,"D1 PROFILE",,
"80016200275563","Nodes","275563",21.000000,32.589528,"Default Known Flow Node","Known Flow",486619.773570,242151.593102,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80016200000075","Nodes","75",21.000000,56.402810,"DDS demands","Known Flow",486239.273466,242530.343205,,0.000000,,,,-4.810000,,,-4.301188,-4.810000,,"",,,,"D1 PROFILE",,
"80016200000186","Nodes","186",21.000000,56.175274,"DDS demands","Known Flow",486231.229571,242528.903469,,0.000000,,-64.999999,,-3.119999,,,-60.914121,-68.119999,,"",,"C2 PROFILE",,"D1 PROFILE",,
"80016200000187","Nodes","187",21.000000,56.077951,"DDS demands","Known Flow",486186.023452,242541.968208,,0.000000,,,,-1.570000,,,-1.403922,-1.570000,,"",,,,"D1 PROFILE",,
"80016200000084","Nodes","84",21.000000,62.102503,"DDS demands","Known Flow",486436.398520,242470.593188,,0.000000,,,,-10.150000,,,-9.076311,-10.150000,,"",,,,"D1 PROFILE",,
