"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"80060700000013","Nodes","13",21.000000,24.252840,"DDS demands","Known Flow",484307.014806,219898.163319,,0.000000,,,-6.579999,,,-5.883953,-6.579999,,"",,,"D1 PROFILE",,
"80060700000012","Nodes","12",21.000000,25.809209,"DDS demands","Known Flow",484584.580112,219947.585262,,0.000000,,-13.630000,,,,-12.188190,-13.630000,,"",,"C2 PROFILE",,,
"80060700000015","Nodes","15",21.000000,30.873069,"DDS demands","Known Flow",484752.292260,220097.542871,,0.000000,,,-12.899999,,,-11.535410,-12.899999,,"",,,"D1 PROFILE",,
"80060700001000","Nodes",,22.999998,32.957522,"DDS demands","Known Flow",484821.394401,220022.559275,,0.000000,,,-1.360000,,,-1.216136,-1.360000,,"",,,"D1 PROFILE",,
"80060700000008","Nodes","8",21.000000,32.979519,"DDS demands","Known Flow",484821.428251,220021.476072,,0.000000,,-11.249999,-4.340000,,,-13.940856,-15.589999,,"",,"C2 PROFILE","D1 PROFILE",,
"80060700000006","Nodes","6",21.000000,39.632557,"DDS demands","Known Flow",485102.443724,219983.870453,,0.000000,,,-2.580000,,,-2.307082,-2.580000,,"",,,"D1 PROFILE",,
"80060700000009","Nodes","9",21.000000,30.833138,"DDS demands","Known Flow",484745.942500,219985.006875,,0.000000,,,-9.249999,,,-8.271515,-9.249999,,"",,,"D1 PROFILE",,
"80060700000010","Nodes","10",21.000000,25.053559,"DDS demands","Known Flow",484707.378854,219871.877316,,0.000000,,,-22.299999,,,-19.941059,-22.299999,,"",,,"D1 PROFILE",,
"80060700000025","Nodes","25",21.000000,36.798958,"DDS demands","Known Flow",485089.407021,219913.608382,,0.000000,,,-4.110000,,,-3.675235,-4.110000,,"",,,"D1 PROFILE",,
"80060700000024","Nodes","24",21.000000,36.897786,"DDS demands","Known Flow",485124.119207,219943.608506,,0.000000,,,-11.850000,,,-10.596483,-11.850000,,"",,,"D1 PROFILE",,
"80060700000001","Nodes","WINGRAVE ROAD DG",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",485103.974025,219974.683976,,999998.967025,,,,,,197.818862,221.219993,,"",,,,,
"80060700000007","Nodes","7",21.000000,34.717316,"DDS demands","Known Flow",485161.292135,219843.346311,,0.000000,,,-21.690001,,,-19.395586,-21.690001,,"",,,"D1 PROFILE",,
"80060700000011","Nodes","11",21.000000,29.466172,"DDS demands","Known Flow",484715.964694,220020.637929,,0.000000,,,-20.540000,,,-18.367236,-20.540000,,"",,,"D1 PROFILE",,
"80060700000019","Nodes","19",21.000000,27.954459,"Default Known Flow Node","Known Flow",484709.019306,220140.150341,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000018","Nodes","18",21.000000,27.954459,"DDS demands","Known Flow",484723.130000,220155.303750,,0.000000,-6.000000,,-9.949999,,,-14.262775,-15.949999,,"","C1 PROFILE",,"D1 PROFILE",,
"80060700000022","Nodes","22",21.000000,27.044539,"DDS demands","Known Flow",484767.835313,220258.208757,,0.000000,,,-2.049999,,-6.000000,-7.198454,-8.050000,,"",,,"D1 PROFILE",,"I2 PROFILE"
"80060700000021","Nodes","21",21.000000,27.160853,"DDS demands","Known Flow",484804.520810,220225.738675,,0.000000,,,-3.930000,,,-3.514276,-3.930000,,"",,,"D1 PROFILE",,
"80060700000020","Nodes","20",21.000000,27.216789,"DDS demands","Known Flow",484756.082592,220213.515952,,0.000000,,,-3.089999,,,-2.763133,-3.089999,,"",,,"D1 PROFILE",,
"80060700000016","Nodes","16",21.000000,30.783702,"DDS demands","Known Flow",484763.723373,220101.588415,,0.000000,,,-3.450000,,,-3.085051,-3.450000,,"",,,"D1 PROFILE",,
"80060700000017","Nodes","17",21.000000,30.622033,"DDS demands","Known Flow",484821.349353,220123.507207,,0.000000,,,-6.599999,,,-5.901837,-6.599999,,"",,,"D1 PROFILE",,
"80060700000023","Nodes","23",21.000000,27.044539,"Default Known Flow Node","Known Flow",484786.405922,220255.360504,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700008001","Nodes","8001",21.000000,24.125724,"Default Known Flow Node","Known Flow",484219.288082,219810.826146,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000014","Nodes","14",21.000000,24.114406,"DDS demands","Known Flow",484213.522738,219800.074558,,0.000000,,,-3.619999,,,-3.237068,-3.619999,,"",,,"D1 PROFILE",,
"80060700000063","Nodes","063",21.000000,25.679052,"Default Known Flow Node","Known Flow",484729.699599,219889.008844,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000002","Nodes",,21.000000,28.199570,"Default Known Flow Node","Known Flow",484665.747050,220004.151158,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000003","Nodes",,21.000000,28.199570,"Default Known Flow Node","Known Flow",484674.126994,219980.514249,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000004","Nodes",,21.000000,33.109460,"Default Known Flow Node","Known Flow",484828.216914,220019.933654,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000028","Nodes",,21.000000,27.044539,"Default Known Flow Node","Known Flow",484768.648453,220271.568821,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000026","Nodes",,21.000000,29.597149,"Default Known Flow Node","Known Flow",484745.212096,220126.978861,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000005","Nodes","P00057710, The Green CSEP, -10.062",22.999998,33.027697,"CSEP DDS Matched","Known Flow",484835.513718,220033.312789,,0.000000,,,,-10.060000,,-8.995832,-10.060000,,"",,,,"DC PROFILE",
"80060700000027","Nodes",,21.000000,29.597149,"Default Known Flow Node","Known Flow",484791.649479,220168.943607,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000029","Nodes",,21.000000,27.044539,"Default Known Flow Node","Known Flow",484800.228193,220290.812407,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000066","Nodes",,21.000000,30.058104,"Default Known Flow Node","Known Flow",484713.278923,219996.134207,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000067","Nodes",,21.000000,30.058104,"Default Known Flow Node","Known Flow",484725.292318,220001.821021,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80060700000064","Nodes",,21.000000,26.842191,"DDS demands","Known Flow",484739.722609,219935.214209,,0.000000,,,-24.089999,,,-21.541708,-24.089999,,"",,,"D1 PROFILE",,
"80060700000065","Nodes",,21.000000,26.842191,"Default Known Flow Node","Known Flow",484775.265198,219941.825131,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
