"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061900000045","Nodes","-43105",21.000000,35.868135,"Default Known Flow Node","Known Flow",445020.000000,210343.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000008","Nodes","8",21.000000,35.868135,"DDS demands","Known Flow",445020.312500,210342.593750,,0.000000,,,,-8.579999,,,-7.672389,-8.579999,,"",,,,"D1 PROFILE",,
"80061900001000","Nodes","1000",21.000000,35.394286,"Default Known Flow Node","Known Flow",445372.593750,210659.078125,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000043","Nodes","-1000",21.000000,35.394286,"Default Known Flow Node","Known Flow",445376.843750,210683.515625,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000044","Nodes","-1001",21.000000,35.394286,"Default Known Flow Node","Known Flow",445384.968750,210635.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900001001","Nodes","1001",21.000000,35.394286,"Default Known Flow Node","Known Flow",445368.468750,210656.937500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000020","Nodes","20",21.000000,35.387653,"Default Known Flow Node","Known Flow",445363.906250,210666.093750,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000051","Nodes","-43132",21.000000,35.409015,"Default Known Flow Node","Known Flow",445379.125000,210636.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000039","Nodes","39",21.000000,34.615320,"DDS demands","Known Flow",445655.500000,210674.296875,,0.000000,,,,-0.629999,-6.000000,,-5.928664,-6.630000,,"",,,,"D1 PROFILE","I2 PROFILE",
"80061900007000","Nodes","7000",21.000000,34.615320,"Default Known Flow Node","Known Flow",445661.218750,210657.187500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000041","Nodes","41",21.000000,34.880192,"Default Known Flow Node","Known Flow",445512.562500,210807.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000042","Nodes","42",21.000000,34.880192,"Default Known Flow Node","Known Flow",445493.312500,210849.593750,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000032","Nodes","32",21.000000,34.933210,"Default Known Flow Node","Known Flow",445523.500000,210801.406250,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000033","Nodes","33",21.000000,34.819793,"DDS demands","Known Flow",445499.812500,210801.500000,,0.000000,,,,-8.529999,,,-7.627678,-8.529999,,"",,,,"D1 PROFILE",,
"80061900000007","Nodes","7",21.000000,35.868184,"DDS demands","Known Flow",445021.406250,210341.093750,,0.000000,,,,-4.960000,,,-4.435321,-4.960000,,"",,,,"D1 PROFILE",,
"80061900000006","Nodes","6",21.000000,35.987391,"DDS demands","Known Flow",445032.906250,210307.500000,,0.000000,,,,-9.439999,,,-8.441416,-9.439999,,"",,,,"D1 PROFILE",,
"80061900000001","Nodes","EYNSHAM ROAD DG",21.000000,35.999999,"Default Known Pressure Node","Known Pressure",445033.406250,210303.796875,,999998.967025,,,,,,,327.364191,366.089981,,"",,,,,,
"80061900000013","Nodes","13",21.000000,35.506334,"DDS demands","Known Flow",445305.812500,210561.593750,,0.000000,,,,-9.580000,,,-8.566607,-9.580000,,"",,,,"D1 PROFILE",,
"80061900000012","Nodes","12",21.000000,35.690477,"DDS demands","Known Flow",445167.312500,210455.906250,,0.000000,,,,-7.289999,-6.000000,,-11.884155,-13.289999,,"",,,,"D1 PROFILE","I2 PROFILE",
"80061900000046","Nodes","-43111",21.000000,35.851318,"Default Known Flow Node","Known Flow",445025.750000,210347.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000014","Nodes","14",21.000000,35.479708,"DDS demands","Known Flow",445304.812500,210554.296875,,0.000000,,,,-0.720000,,,-0.643836,-0.720000,,"",,,,"D1 PROFILE",,
"80061900000015","Nodes","15",21.000000,35.216973,"DDS demands","Known Flow",445314.093750,210537.093750,,0.000000,,,,-6.530000,,,-5.839243,-6.530000,,"",,,,"D1 PROFILE",,
"80061900000011","Nodes","11",21.000000,35.457635,"DDS demands","Known Flow",445150.000000,210455.093750,,0.000000,,,,-0.810000,,,-0.724316,-0.810000,,"",,,,"D1 PROFILE",,
"80061900000047","Nodes","-43118",21.000000,35.420427,"Default Known Flow Node","Known Flow",445062.250000,210388.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000009","Nodes","9",21.000000,35.421418,"DDS demands","Known Flow",445042.000000,210383.093750,,0.000000,,,,-7.799999,,,-6.974899,-7.799999,,"",,,,"D1 PROFILE",,
"80061900000010","Nodes","10",21.000000,35.368309,"DDS demands","Known Flow",445007.500000,210396.406250,,0.000000,,,,-4.369999,,,-3.907732,-4.369999,,"",,,,"D1 PROFILE",,
"80061900000048","Nodes","-43125",21.000000,35.344478,"Default Known Flow Node","Known Flow",445358.750000,210663.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000049","Nodes","-43126",21.000000,35.344478,"Default Known Flow Node","Known Flow",445359.375000,210661.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000050","Nodes","-43128",21.000000,33.373785,"Default Known Flow Node","Known Flow",445369.500000,210608.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000052","Nodes","-43133",21.000000,33.373785,"Default Known Flow Node","Known Flow",445383.875000,210610.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000021","Nodes","21",21.000000,34.657715,"DDS demands","Known Flow",445305.906250,210593.406250,,0.000000,,,,-11.750000,,,-10.507060,-11.750000,,"",,,,"D1 PROFILE",,
"80061900000016","Nodes","16",21.000000,35.421303,"DDS demands","Known Flow",445370.812500,210619.906250,,0.000000,,,,-6.030000,,,-5.392134,-6.030000,,"",,,,"D1 PROFILE",,
"80061900000017","Nodes","17",21.000000,33.373785,"DDS demands","Known Flow",445386.312500,210613.000000,,0.000000,,,,-1.860000,,,-1.663245,-1.860000,,"",,,,"D1 PROFILE",,
"80061900000053","Nodes","-43135",21.000000,33.373785,"Default Known Flow Node","Known Flow",445392.125000,210606.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000018","Nodes","18",21.000000,27.973715,"DDS demands","Known Flow",445421.593750,210611.500000,,0.000000,,,,-5.919999,,,-5.293770,-5.919999,,"",,,,"D1 PROFILE",,
"80061900000022","Nodes","22",21.000000,35.324559,"DDS demands","Known Flow",445392.906250,210764.500000,,0.000000,-8.359999,,-3.980000,-6.829999,-6.000000,,-22.507463,-25.170000,,"","C1 PROFILE",,"C4 PROFILE","D1 PROFILE","I2 PROFILE",
"80061900000023","Nodes","23",21.000000,34.239664,"DDS demands","Known Flow",445436.000000,210741.906250,,0.000000,,-15.750000,,-6.190000,,,-19.619141,-21.940000,,"",,"C2 PROFILE",,"D1 PROFILE",,
"80061900000054","Nodes","-43138",21.000000,35.336850,"Default Known Flow Node","Known Flow",445418.125000,210837.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000019","Nodes","19",21.000000,21.283928,"DDS demands","Known Flow",445462.812500,210578.296875,,0.000000,,-39.999997,,-6.269999,,,-41.375462,-46.269995,,"",,"C2 PROFILE",,"D1 PROFILE",,
"80061900000024","Nodes","24",21.000000,35.299663,"DDS demands","Known Flow",445445.000000,210925.593750,,0.000000,,,,-20.879998,,,-18.671268,-20.879998,,"",,,,"D1 PROFILE",,
"80061900000056","Nodes","-43146",21.000000,34.819793,"Default Known Flow Node","Known Flow",445499.375000,210795.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000055","Nodes","-43144",21.000000,34.819793,"Default Known Flow Node","Known Flow",445482.750000,210792.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000057","Nodes","-43149",21.000000,35.195616,"DDS demands","Known Flow",445513.125000,210994.750000,,0.000000,,,,-14.420000,,,-12.894622,-14.420000,,"",,,,"D1 PROFILE",,
"80061900000030","Nodes","30",21.000000,35.016343,"DDS demands","Known Flow",445610.406250,210860.000000,,0.000000,-2.470000,-3.530000,,-12.119999,,,-16.203227,-18.119999,,"","C1 PROFILE","C2 PROFILE",,"D1 PROFILE",,
"80061900000037","Nodes","37",21.000000,34.849333,"DDS demands","Known Flow",445552.593750,210734.593750,,0.000000,,,,-3.910000,,,-3.496392,-3.910000,,"",,,,"D1 PROFILE",,
"80061900000038","Nodes","38",21.000000,34.849333,"Default Known Flow Node","Known Flow",445537.093750,210730.406250,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000040","Nodes","40",21.000000,34.741222,"DDS demands","Known Flow",445576.906250,210664.406250,,0.000000,,,,-23.270000,,,-20.808450,-23.270000,,"",,,,"D1 PROFILE",,
"80061900000031","Nodes","31",21.000000,34.940414,"DDS demands","Known Flow",445557.406250,210831.406250,,0.000000,,,,-9.119999,,,-8.155266,-9.119999,,"",,,,"D1 PROFILE",,
"80061900000058","Nodes","-43152",21.000000,34.940414,"Default Known Flow Node","Known Flow",445552.375000,210842.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000061","Nodes","-43160",21.000000,34.741222,"Default Known Flow Node","Known Flow",445594.375000,210670.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061900000034","Nodes","34",21.000000,34.942958,"DDS demands","Known Flow",445632.000000,210788.296875,,0.000000,,,,-2.259999,,,-2.020932,-2.259999,,"",,,,"D1 PROFILE",,
"80061900000036","Nodes","36",21.000000,34.931792,"DDS demands","Known Flow",445623.593750,210748.000000,,0.000000,,,,-2.369999,,,-2.119296,-2.369999,,"",,,,"D1 PROFILE",,
"80061900000035","Nodes","35",21.000000,34.524075,"DDS demands","Known Flow",445712.093750,210811.296875,,0.000000,,,,-6.860000,,,-6.134335,-6.860000,,"",,,,"D1 PROFILE",,
"80061900000025","Nodes","25",21.000000,31.497208,"DDS demands","Known Flow",445295.000000,211011.000000,,0.000000,,,,-20.079999,,,-17.955894,-20.079999,,"",,,,"D1 PROFILE",,
"80061900000026","Nodes","26",21.000000,35.272009,"DDS demands","Known Flow",445476.312500,211030.000000,,0.000000,,,,-9.859999,,,-8.816988,-9.859999,,"",,,,"D1 PROFILE",,
"80061900000028","Nodes","28",21.000000,35.207760,"DDS demands","Known Flow",445507.812500,211003.406250,,0.000000,,,,-3.609999,,,-3.228126,-3.609999,,"",,,,"D1 PROFILE",,
"80061900000027","Nodes","27",21.000000,35.313754,"DDS demands","Known Flow",445564.593750,211222.593750,,0.000000,,,,-1.279999,-5.409999,,-5.982317,-6.689999,,"",,,,"D1 PROFILE","I2 PROFILE",
"80061900000059","Nodes","P14133510, YARNTON ROAD CSEP, 12.28 SCMH",22.999998,35.313779,"CSEP Unmatched","Known Flow",445554.500000,211198.625000,,0.000000,,,,,,-12.279999,-10.980995,-12.279999,,"",,,,,,"DC PROFILE"
"80061900000029","Nodes","29",21.000000,35.125210,"DDS demands","Known Flow",445496.312500,210898.093750,,0.000000,,,,-12.180000,,,-10.891574,-12.180000,,"",,,,"D1 PROFILE",,
