"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100000106","Nodes","P105392.01, Hanney Road, Plots 1-6, 3.31","22.999998","27.641415","CSEP DDS Matched","Known Flow","439887.975888","198029.683567","","0.000000","","","","","-5.729999","-2.419999","","","","-7.287875","-8.149999","","","","","","","D1 PROFILE","DC PROFILE","","",""
"80123100000034","Nodes","34","21.000000","26.228491","DDS demands","Known Flow","439903.510858","197873.006053","","0.000000","","","","","-29.000000","","","","","-25.932320","-29.000000","","","","","","","D1 PROFILE","","","",""
"80123100000037","Nodes","37","21.000000","24.466349","DDS demands","Known Flow","440016.936339","197777.296066","","0.000000","","","","","-4.199999","","","","","-3.755715","-4.199999","","","","","","","D1 PROFILE","","","",""
"80123100000039","Nodes","39","21.000000","24.315281","DDS demands","Known Flow","439974.245877","197756.923021","","0.000000","","","","","-3.950000","","","","","-3.532160","-3.950000","","","","","","","D1 PROFILE","","","",""
"80123100000026","Nodes","26","21.000000","28.281242","DDS demands","Known Flow","440116.902916","198409.140199","","0.000000","","","","","-21.990000","","","","","-19.663852","-21.990000","","","","","","","D1 PROFILE","","","",""
"80123100000033","Nodes","33","21.000000","25.986738","DDS demands","Known Flow","440095.377910","197920.947066","","0.000000","","","","","-12.960000","","","","","-11.589064","-12.960000","","","","","","","D1 PROFILE","","","",""
"80123100000032","Nodes","32","21.000000","27.380447","DDS demands","Known Flow","440085.936766","198069.638644","","0.000000","","","","","-11.770000","","","","","-10.524945","-11.770000","","","","","","","D1 PROFILE","","","",""
"80123100008000","Nodes","Logger 4278, Beggars Lane","21.000000","24.033301","Val Log Post","Known Flow","439427.461754","198181.333566","","0.000000","","","","","-1.420000","","","","","-1.269789","-1.420000","","","","","","","D1 PROFILE","","","",""
"80123100000101","Nodes","101","21.000000","23.969436","DDS demands","Known Flow","439456.093736","198265.791160","","0.000000","","","","","-3.190000","","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","","",""
"80123100031000","Nodes","31000","21.000000","25.880365","Default Known Flow Node","Known Flow","439513.910752","198035.779097","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000099","Nodes","P13131644, Faringdon Road, 55.94","24.000000","24.845012","CSEP DDS Matched","Known Flow","439461.041502","198020.878569","","0.000000","","","","","","-30.820000","","","","-27.559796","-30.820000","","","","","","","","DC PROFILE","","",""
