"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-691.130001,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-14.710000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-191.169997,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-22.790001,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-10.589999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-DC","Flow Categories",-48.829999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-11.799999,0.000000,1.000000,"Volumetric",-1.000000
"CT","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Fl1","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-PL","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
