"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"80220000000035","Nodes","35","21.000000","49.344296","DDS demands","Known Flow","446604.593750","231889.296875","","0.000000","","-12.749999","","","","","","-11.401277","-12.749999","","","","C2 PROFILE","","","","",""
"80220000000113","Nodes","113","21.000000","49.284308","Default Known Flow Node","Known Flow","446640.093750","231887.531250","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000122","Nodes","122","21.000000","43.010698","Default Known Flow Node","Known Flow","446776.593750","231969.578125","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000108","Nodes","108","21.000000","43.010698","Default Known Flow Node","Known Flow","446765.375000","231911.546875","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000107","Nodes","107","21.000000","43.028016","DDS demands","Known Flow","446754.593750","231844.796875","","0.000000","","","-2.180000","","-9.569999","","","-10.507059","-11.750000","","","","","C3 PROFILE","","D1 PROFILE","",""
"80220000000009","Nodes","9","21.000000","31.706664","DDS demands","Known Flow","447097.093750","231817.093750","","0.000000","","","","-7.030000","-6.959999","","","-12.510108","-13.990000","","","","","","C4 PROFILE","D1 PROFILE","",""
"80220000000010","Nodes","10","21.000000","27.166477","DDS demands","Known Flow","446892.906250","231631.093750","","0.000000","","","","","-35.430001","","","-31.682141","-35.430001","","","","","","","D1 PROFILE","",""
"80220000000043","Nodes","43","21.000000","34.670878","DDS demands","Known Flow","447079.312500","231861.593750","","0.000000","","","","","-2.720000","","","-2.432272","-2.720000","","","","","","","D1 PROFILE","",""
"80220000001004","Nodes","1004","21.000000","42.098635","Default Known Flow Node","Known Flow","446833.500000","231854.921875","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000119","Nodes","119","21.000000","37.275223","Default Known Flow Node","Known Flow","446426.062500","231891.343750","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
