"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80920000001673","Nodes","Blenheim Farm, Dinton RRI,",0.000000,49.999998,"Default Known Pressure Node","Known Pressure",476670.068349,211207.369808,,99999.988879,,,,,,,,,61.352288,68.610001,,"",,,,,,,,
"80920000001674","Nodes",,0.000000,49.103519,"Default Known Flow Node","Known Flow",476686.255283,211164.744215,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80920000001679","Nodes",,0.000000,47.820524,"DDS demands","Known Flow",476605.633716,211060.127471,,0.000000,-3.410000,,,,-6.269999,,,,-8.656029,-9.679999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"80920000001682","Nodes",,0.000000,47.820524,"Default Known Flow Node","Known Flow",476580.484351,211036.153309,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80920000001680","Nodes",,0.000000,46.792434,"Default Known Flow Node","Known Flow",476625.142102,211068.118858,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80920000001681","Nodes",,0.000000,45.329238,"DDS demands","Known Flow",476647.941060,211047.200227,,0.000000,-35.979999,,,,,,,,-32.173959,-35.979999,,"","C1 PROFILE",,,,,,,
"80920000001675","Nodes",,0.000000,48.994886,"Default Known Flow Node","Known Flow",476700.988539,211127.419355,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80920000001676","Nodes",,0.000000,48.689662,"DDS demands","Known Flow",476732.439706,211140.552809,,0.000000,,-5.850000,,,-2.240000,,-5.700000,,-12.331264,-13.789999,,"",,"C2 PROFILE",,,"D1 PROFILE",,"I2 PROFILE",
"80920000001677","Nodes",,0.000000,48.523696,"DDS demands","Known Flow",476728.983533,211025.807894,,0.000000,,,,,-4.719999,,,,-4.220708,-4.719999,,"",,,,,"D1 PROFILE",,,
"80920000001678","Nodes",,0.000000,48.368986,"DDS demands","Known Flow",476795.687656,210968.089819,,0.000000,,-4.439999,,,,,,,-3.970327,-4.439999,,"",,"C2 PROFILE",,,,,,
