"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82000100009555","Nodes","-97159",21.000000,26.194171,"Default Known Flow Node","Known Flow",429374.478703,107197.844897,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000211","Nodes","211",21.000000,21.290025,"DDS demands","Known Flow",428305.059702,108736.181798,,0.000000,,,,,-5.590000,,,,,-4.998678,-5.590000,,"",,,,,"D1 PROFILE",,,,
"82000100009465","Nodes","-1005",21.000000,21.302816,"Default Known Flow Node","Known Flow",428356.223901,108735.561139,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000097","Nodes","97",21.000000,28.400956,"DDS demands","Known Flow",430104.674599,107698.000085,,0.000000,,,,,-4.500000,,,,,-4.023980,-4.500000,,"",,,,,"D1 PROFILE",,,,
"82000100000212","Nodes","212",21.000000,27.841581,"DDS demands","Known Flow",429654.955610,107960.926667,,0.000000,,,,,-1.009999,,,,,-0.903160,-1.009999,,"",,,,,"D1 PROFILE",,,,
"82000100001002","Nodes","1002",21.000000,28.291501,"DDS demands","Known Flow",429672.582031,107987.259423,,0.000000,,,,,-1.029999,,,,,-0.921044,-1.029999,,"",,,,,"D1 PROFILE",,,,
"82000100009513","Nodes","-486",21.000000,28.352326,"Default Known Flow Node","Known Flow",429676.923377,107996.108382,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000048","Nodes","48",21.000000,28.379028,"Default Known Flow Node","Known Flow",429678.047531,108002.460481,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000178","Nodes","178",21.000000,38.553583,"DDS demands","Known Flow",429866.206636,108628.054082,,0.000000,,,-2.850000,,-4.679999,,,,,-6.733460,-7.530000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"82000100001000","Nodes","1000",21.000000,36.623840,"DDS demands","Known Flow",429941.927133,108616.106390,,0.000000,,,,,-2.980000,,,,,-2.664769,-2.980000,,"",,,,,"D1 PROFILE",,,,
"82000100009507","Nodes","-457",21.000000,25.229787,"Default Known Flow Node","Known Flow",429146.836982,108234.575241,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000070","Nodes","70",21.000000,25.106407,"DDS demands","Known Flow",429199.794671,108285.094923,,0.000000,,,,,-7.050000,,,,,-6.304236,-7.050000,,"",,,,,"D1 PROFILE",,,,
"82000100000062","Nodes","62",21.000000,25.183266,"DDS demands","Known Flow",429266.941001,108300.506921,,0.000000,,,,,-5.019999,,,,,-4.488973,-5.019999,,"",,,,,"D1 PROFILE",,,,
"82000100000195","Nodes","195",21.000000,35.296396,"DDS demands","Known Flow",430781.886376,107869.218562,,0.000000,,,,,-2.450000,,,,,-2.190834,-2.450000,,"",,,,,"D1 PROFILE",,,,
"82000100000196","Nodes","196",21.000000,34.691286,"DDS demands","Known Flow",430930.597959,107777.356319,,0.000000,,,,,-4.389999,,,,,-3.925616,-4.389999,,"",,,,,"D1 PROFILE",,,,
"82000100000197","Nodes","197",21.000000,34.380073,"DDS demands","Known Flow",431079.409554,107682.171521,,0.000000,,,-2.289999,,-2.039999,,,,,-3.871963,-4.329999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"82000100000140","Nodes","140",21.000000,38.028656,"DDS demands","Known Flow",429855.875124,108576.750755,,0.000000,,,-3.720000,,-11.689999,,,,,-13.779897,-15.409999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"82000100000179","Nodes","179",21.000000,36.886382,"DDS demands","Known Flow",429885.461385,108479.180674,,0.000000,,,,,-11.159999,,,,,-9.979471,-11.159999,,"",,,,,"D1 PROFILE",,,,
"82000100000031","Nodes","31",21.000000,36.388418,"Default Known Flow Node","Known Flow",429899.398135,108426.839714,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000247","Nodes","247",21.000000,34.904040,"DDS demands","Known Flow",430613.561423,108395.201079,,0.000000,,,-2.480000,,,,,,,-2.217660,-2.480000,,"",,,"C3  PROFILE",,,,,,
"82000100000099","Nodes","99",21.000000,34.648822,"DDS demands","Known Flow",430732.469672,108484.490445,,0.000000,,,-2.609999,,-3.190000,,,,,-5.186464,-5.800000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"82000100000072","Nodes","72",21.000000,34.569572,"DDS demands","Known Flow",430843.218392,108567.550752,,0.000000,,,-1.879999,,-3.989999,,,,,-5.249058,-5.869999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"82000100000238","Nodes","238",21.000000,34.927337,"Default Known Flow Node","Known Flow",430597.657872,108383.377135,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000116","Nodes","116",21.000000,25.891740,"Default Known Flow Node","Known Flow",429528.620566,107531.663780,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000117","Nodes","117",21.000000,26.046483,"Default Known Flow Node","Known Flow",429409.789287,107379.863148,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82000100000118","Nodes","118",21.000000,26.158599,"Default Known Flow Node","Known Flow",429377.973187,107198.709556,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
