"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000800000891","Nodes","891","21.000000","24.321780","DDS demands","Known Flow","401736.042475","99421.052335","","0.000000","","","","","-1.320000","","","","","","-1.180367","-1.320000","","","","","","","D1 PROFILE","","","","",""
"82000800008017","Nodes","Logger 0924, Station Road","21.000000","24.409107","Val Log Post","Known Flow","401736.226026","99425.049665","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000085","Nodes","85","21.000000","24.480203","Default Known Flow Node","Known Flow","401736.375472","99428.304265","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000162","Nodes","162","21.000000","29.913581","DDS demands","Known Flow","402605.006126","100626.044909","","0.000000","","","","","-11.439999","","","","","","-10.229852","-11.439999","","","","","","","D1 PROFILE","","","","",""
"82000800008018","Nodes","Logger 0929, The Vineries","21.000000","29.918630","Val Log Post","Known Flow","402621.371782","100641.352237","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001050","Nodes","1050","21.000000","29.834274","DDS demands","Known Flow","402631.611524","100645.704371","","0.000000","","","","","-3.469999","","","","","","-3.102936","-3.469999","","","","","","","D1 PROFILE","","","","",""
"82000800000087","Nodes","87","21.000000","23.969888","DDS demands","Known Flow","401732.875471","99399.554258","","0.000000","","","","","-11.810000","","","","","","-10.560714","-11.810000","","","","","","","D1 PROFILE","","","","",""
"82000800001074","Nodes","1074, P00069522, Station Road,Wimbourne"", 30.37","24.000000","24.002154","CSEP DDS Matched","Known Flow","401735.248546","99403.800812","","0.000000","","","","","-0.490000","-30.360001","","","","","-27.586623","-30.850001","","","","","","","D1 PROFILE","DC PROFILE","","","",""
"82000800001237","Nodes","1237, CSEP P07114358/1 ECLIPSE WORKS","22.999998","29.730176","CSEP DDS Matched","Known Flow","401583.875430","99502.554286","","0.000000","","","","","","-12.090000","","","","","-10.811094","-12.090000","","","","","","","","DC PROFILE","","","",""
"82000800000002","Nodes","Rowlands Hill DG, BR22D, Constant/Seasonal Setting, Site ID 3290","21.000000","34.999999","Default Known Pressure Node","Known Pressure","401280.750348","100121.054454","","1206.999995","","","","","","","","","","","1263.331421","1412.778004","","","","","","","","","","","",""
"82000800000299","Nodes","299","21.000000","24.754658","Default Known Flow Node","Known Flow","403239.750881","101387.304798","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800008012","Nodes","Logger 0893, Mallard Road","21.000000","24.944821","Val Log Post","Known Flow","403207.482299","101379.592810","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000298","Nodes","298","21.000000","25.021788","DDS demands","Known Flow","403197.000869","101374.304795","","0.000000","","","","","-13.650000","","","","","","-12.206074","-13.650000","","","","","","","D1 PROFILE","","","","",""
"82000800000950","Nodes","950","21.000000","25.634459","DDS demands","Known Flow","402570.625699","101382.554797","","0.000000","","","","","-15.739999","","","","","","-14.074989","-15.739999","","","","","","","D1 PROFILE","","","","",""
"82000800008010","Nodes","8010, P10125131, DEV@HARDY CRESCENT, -12.55SCMH","22.999998","31.219960","CSEP DDS Matched","Known Flow","401932.122179","99488.678395","","0.000000","","","","","","-12.550000","","","","","-11.222435","-12.550000","","","","","","","","DC PROFILE","","","",""
"82000800000156","Nodes","156","21.000000","25.623355","DDS demands","Known Flow","402449.656962","101399.302544","","0.000000","","","","","-6.280000","","","","","","-5.615688","-6.280000","","","","","","","D1 PROFILE","","","","",""
"82000800008009","Nodes","Logger 0833, West Street","21.000000","25.243482","Val Log Post","Known Flow","400741.970993","100011.739933","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000947","Nodes","947","21.000000","25.297994","DDS demands","Known Flow","400746.628998","100012.532111","","0.000000","","","","","-2.319999","","","","","","-2.074585","-2.319999","","","","","","","D1 PROFILE","","","","",""
"82000800000058","Nodes","58","21.000000","31.107937","DDS demands","Known Flow","401411.811558","99900.581967","","0.000000","","","","","-20.319999","","","","","","-18.170506","-20.319999","","","","","","","D1 PROFILE","","","","",""
"82000800000649","Nodes","649","21.000000","34.921547","DDS demands","Known Flow","401558.688669","99904.603373","","0.000000","","","","","-5.650000","","","","","","-5.052331","-5.650000","","","","","","","D1 PROFILE","","","","",""
"82000800000315","Nodes","315","21.000000","33.200122","DDS demands","Known Flow","404197.794075","100242.982011","","0.000000","","","","","-13.780000","","","","","","-12.322322","-13.780000","","","","","","","D1 PROFILE","","","","",""
"82000800000316","Nodes","316","21.000000","33.190941","DDS demands","Known Flow","404275.183523","100273.264768","","0.000000","","","","","-6.139999","","","","","","-5.490497","-6.139999","","","","","","","D1 PROFILE","","","","",""
"82000800000501","Nodes","501","21.000000","34.111661","DDS demands","Known Flow","404185.626138","100290.804500","","0.000000","","","","","-6.619999","","","","","","-5.919722","-6.619999","","","","","","","D1 PROFILE","","","","",""
"82000800000454","Nodes","454","21.000000","34.124413","DDS demands","Known Flow","404067.829836","100305.821104","","0.000000","","","","","-5.929999","","","","","","-5.302711","-5.929999","","","","","","","D1 PROFILE","","","","",""
"82000800000312","Nodes","312","21.000000","29.391083","DDS demands","Known Flow","403550.623966","99923.806400","","0.000000","","","","","-6.390000","","","","","","-5.714052","-6.390000","","","","","","","D1 PROFILE","","","","",""
"82000800000313","Nodes","313","21.000000","29.702615","DDS demands","Known Flow","403669.006987","99950.295793","","0.000000","","","","","-13.760000","","","","","","-12.304439","-13.760000","","","","","","","D1 PROFILE","","","","",""
"82000800000178","Nodes","178","21.000000","29.058011","DDS demands","Known Flow","403328.992810","99913.229384","","0.000000","","","","","-8.979999","","","","","","-8.030076","-8.979999","","","","","","","D1 PROFILE","","","","",""
"82000800000775","Nodes","775","21.000000","29.145130","DDS demands","Known Flow","403385.977269","100003.494345","","0.000000","","","","","-9.980000","","","","","","-8.924294","-9.980000","","","","","","","D1 PROFILE","","","","",""
"82000800001032","Nodes","1032","21.000000","33.203668","DDS demands","Known Flow","402851.000775","99955.679409","","0.000000","","","","","-6.639999","","","","","","-5.937606","-6.639999","","","","","","","D1 PROFILE","","","","",""
"82000800000695","Nodes","695","21.000000","33.278779","DDS demands","Known Flow","402793.687197","99962.845083","","0.000000","","","","","-12.830000","","","","","","-11.472815","-12.830000","","","","","","","D1 PROFILE","","","","",""
"82000800000275","Nodes","275","21.000000","34.794910","DDS demands","Known Flow","402586.500703","99797.929366","","0.000000","","","","","-8.369999","","","","","","-7.484603","-8.369999","","","","","","","D1 PROFILE","","","","",""
"82000800000274","Nodes","274","21.000000","34.794458","DDS demands","Known Flow","402603.928873","99744.818930","","0.000000","","","","","-3.640000","","","","","","-3.254953","-3.640000","","","","","","","D1 PROFILE","","","","",""
"82000800000273","Nodes","273","21.000000","34.794860","DDS demands","Known Flow","402593.606474","99799.190929","","0.000000","","","","","-3.510000","","","","","","-3.138704","-3.510000","","","","","","","D1 PROFILE","","","","",""
"82000800001211","Nodes","1211","21.000000","32.952381","DDS demands","Known Flow","404139.001126","100471.804549","","0.000000","","","","","-2.039999","","","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","","","",""
"82000800001231","Nodes","1231","21.000000","33.063301","DDS demands","Known Flow","404106.417126","100537.523989","","0.000000","","","","","-4.909999","","","","","","-4.390609","-4.909999","","","","","","","D1 PROFILE","","","","",""
"82000800001212","Nodes","1212","21.000000","32.928027","DDS demands","Known Flow","404130.876124","100468.304548","","0.000000","","","","","-8.060000","","","","","","-7.207396","-8.060000","","","","","","","D1 PROFILE","","","","",""
"82000800000697","Nodes","697","21.000000","34.069881","Default Known Flow Node","Known Flow","404061.876105","100687.804608","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000602","Nodes","602","21.000000","34.684090","Default Known Flow Node","Known Flow","404067.906363","100685.542542","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000442","Nodes","442","21.000000","30.072156","DDS demands","Known Flow","403636.419872","100706.744118","","0.000000","","-14.919999","","","-0.280000","","","","","","-13.592111","-15.199999","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"82000800000301","Nodes","301","21.000000","30.252126","DDS demands","Known Flow","403647.400059","100723.350968","","0.000000","","","","","-1.409999","","","","","","-1.260847","-1.409999","","","","","","","D1 PROFILE","","","","",""
"82000800000302","Nodes","302","21.000000","30.007138","DDS demands","Known Flow","403631.794823","100699.122968","","0.000000","","","","","-1.940000","","","","","","-1.734782","-1.940000","","","","","","","D1 PROFILE","","","","",""
"82000800001203","Nodes","1203","21.000000","32.458183","DDS demands","Known Flow","403917.876066","100459.054546","","0.000000","","","","","-2.700000","","","","","","-2.414388","-2.700000","","","","","","","D1 PROFILE","","","","",""
"82000800001204","Nodes","1204","21.000000","32.544053","DDS demands","Known Flow","403921.689950","100518.883637","","0.000000","","","","","-4.539999","","","","","","-4.059749","-4.539999","","","","","","","D1 PROFILE","","","","",""
"82000800000307","Nodes","307","21.000000","29.442965","DDS demands","Known Flow","403687.524901","100542.875540","","0.000000","","","","","-3.380000","","","","","","-3.022456","-3.380000","","","","","","","D1 PROFILE","","","","",""
"82000800001052","Nodes","1052","21.000000","29.469698","Default Known Flow Node","Known Flow","403757.876022","100475.054550","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000438","Nodes","438","21.000000","29.712891","DDS demands","Known Flow","403572.000971","100600.304584","","0.000000","","","","","-7.040000","","","","","","-6.295294","-7.040000","","","","","","","D1 PROFILE","","","","",""
"82000800000304","Nodes","304","21.000000","29.403739","DDS demands","Known Flow","403677.289756","100531.123157","","0.000000","","","","","-9.229999","","","","","","-8.253630","-9.229999","","","","","","","D1 PROFILE","","","","",""
"82000800000309","Nodes","309","21.000000","29.448762","DDS demands","Known Flow","403693.631312","100548.305605","","0.000000","","","","","-4.770000","","","","","","-4.265419","-4.770000","","","","","","","D1 PROFILE","","","","",""
"82000800000171","Nodes","171","21.000000","27.184265","DDS demands","Known Flow","403024.543882","100932.049621","","0.000000","","","","","-7.960000","","","","","","-7.117974","-7.960000","","","","","","","D1 PROFILE","","","","",""
"82000800000294","Nodes","294","21.000000","27.082719","DDS demands","Known Flow","403024.625823","100941.554677","","0.000000","","","","","-0.930000","","","","","","-0.831622","-0.930000","","","","","","","D1 PROFILE","","","","",""
"82000800000160","Nodes","160","21.000000","30.283281","DDS demands","Known Flow","402794.375760","100644.554596","","0.000000","","","","","-10.830000","","","","","","-9.684380","-10.830000","","","","","","","D1 PROFILE","","","","",""
"82000800000396","Nodes","396","21.000000","30.757477","DDS demands","Known Flow","402806.337019","100800.838919","","0.000000","","","","","-3.769999","","","","","","-3.371201","-3.769999","","","","","","","D1 PROFILE","","","","",""
"82000800000159","Nodes","159","21.000000","31.699462","DDS demands","Known Flow","402785.000757","100963.554683","","0.000000","","","","","-2.799999","","","","","","-2.503810","-2.799999","","","","","","","D1 PROFILE","","","","",""
"82000800000164","Nodes","164","21.000000","31.110177","DDS demands","Known Flow","402652.480455","100271.813119","","0.000000","","","","","-13.650000","","","","","","-12.206074","-13.650000","","","","","","","D1 PROFILE","","","","",""
"82000800000367","Nodes","367","21.000000","30.385067","DDS demands","Known Flow","402744.288071","100439.780345","","0.000000","","","","","-23.280001","","","","","","-20.817393","-23.280001","","","","","","","D1 PROFILE","","","","",""
"82000800000161","Nodes","161","21.000000","29.784088","DDS demands","Known Flow","402699.250734","100647.554597","","0.000000","","","","","-26.870001","","","","","","-24.027636","-26.870001","","","","","","","D1 PROFILE","","","","",""
"82000800000650","Nodes","650","21.000000","34.645851","DDS demands","Known Flow","402395.750651","100144.929460","","0.000000","","","","","-4.380000","","","","","","-3.916674","-4.380000","","","","","","","D1 PROFILE","","","","",""
"82000800000168","Nodes","168","21.000000","32.882183","Default Known Flow Node","Known Flow","402527.106116","100163.068048","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000166","Nodes","166","21.000000","32.746266","DDS demands","Known Flow","402538.385499","100164.738221","","0.000000","","","","","-10.580000","","","","","","-9.460826","-10.580000","","","","","","","D1 PROFILE","","","","",""
"82000800000366","Nodes","366","21.000000","34.136692","DDS demands","Known Flow","402249.183093","100275.148634","","0.000000","","","","","-4.810000","","","","","","-4.301188","-4.810000","","","","","","","D1 PROFILE","","","","",""
"82000800001200","Nodes","1200","21.000000","34.594937","DDS demands","Known Flow","402389.819833","100146.360749","","0.000000","-9.140000","","","","-4.590000","","","","","","-12.277612","-13.730000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"82000800001224","Nodes","1224","21.000000","24.750152","DDS demands","Known Flow","403220.803153","101494.348043","","0.000000","","","","","-7.320000","","","","","","-6.545675","-7.320000","","","","","","","D1 PROFILE","","","","",""
"82000800001223","Nodes","1223","21.000000","24.672655","DDS demands","Known Flow","403309.375900","101517.054834","","0.000000","","","","","-8.510000","","-3.660000","","","","-10.882631","-12.170000","","","","","","","D1 PROFILE","","I2 PROFILE","","",""
"82000800001393","Nodes","1393","21.000000","29.956368","Default Known Flow Node","Known Flow","402008.749796","99383.037421","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000389","Nodes","389","21.000000","29.168571","DDS demands","Known Flow","402069.593641","99382.051098","","0.000000","","","","","-9.069999","","","","","","-8.110555","-9.069999","","","","","","","D1 PROFILE","","","","",""
"82000800000634","Nodes","634","21.000000","28.188151","DDS demands","Known Flow","402219.750604","99379.304252","","0.000000","","","","","-13.709999","","","","","","-12.259727","-13.709999","","","","","","","D1 PROFILE","","","","",""
"82000800000545","Nodes","545","21.000000","32.240441","DDS demands","Known Flow","402064.875561","99757.304355","","0.000000","-2.160000","","","","-3.229999","","","","","","-4.819834","-5.390000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"82000800000765","Nodes","765","21.000000","32.221839","Default Known Flow Node","Known Flow","402072.218974","99762.083274","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000546","Nodes","546","21.000000","32.072979","DDS demands","Known Flow","402162.250588","99751.929353","","0.000000","","","","","-3.660000","","","","","","-3.272837","-3.660000","","","","","","","D1 PROFILE","","","","",""
"82000800000124","Nodes","124","21.000000","34.592607","DDS demands","Known Flow","401973.125536","99855.429382","","0.000000","","","","","-10.629999","","","","","","-9.505536","-10.629999","","","","","","","D1 PROFILE","","","","",""
