"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-10525.709994,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-1050.920032,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-1335.010023,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-52.879999,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-261.769998,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-394.409997,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-92.640000,0.000000,1.000000,"Volumetric",-1.000000
"CT","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-BC","Flow Categories",-1025.000027,0.000000,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",-138.180004,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",-107.059995,0.000000,1.000000,"Volumetric",-1.000000
