"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82006400000821","Nodes","821",21.000000,36.416433,"DDS demands","Known Flow",348716.353907,89294.685773,,0.000000,,,-2.980000,,,-1.850000,,,,,,,,-4.319072,-4.830000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,,
"82006400000192","Nodes","192",21.000000,29.763781,"DDS demands","Known Flow",346560.253458,93506.826654,,0.000000,-4.679999,,,0.000000,,-11.100000,,,,-16.350000,,,,-28.731220,-32.130001,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,"I2 PROFILE",,,
"82006400001057","Nodes","1057",21.000000,29.758103,"Default Known Flow Node","Known Flow",346564.848969,93507.818459,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000757","Nodes","757",21.000000,29.717749,"Default Known Flow Node","Known Flow",346578.694463,93535.238662,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400010000","Nodes","10000",21.000000,29.616417,"Default Known Flow Node","Known Flow",346854.115232,91166.014261,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001005","Nodes","1005",21.000000,40.925839,"DDS demands","Known Flow",348716.488278,89761.490542,,0.000000,,,,,,-2.190000,,,,,,,,-1.958337,-2.190000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001049","Nodes","1049",21.000000,35.740063,"Default Known Flow Node","Known Flow",346633.640109,91896.691999,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001048","Nodes","1048",21.000000,34.205645,"Default Known Flow Node","Known Flow",346690.435540,91965.007370,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001050","Nodes","1050",21.000000,36.245145,"Default Known Flow Node","Known Flow",346597.531474,91970.556949,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000045","Nodes","45",21.000000,36.383610,"DDS demands","Known Flow",346588.488168,91967.217835,,0.000000,-3.989999,-13.839999,,-2.209999,,-7.620000,,,,,,,,-24.734067,-27.659999,,"","C1 PROFILE","C2 PROFILE",,"C4 PROFILE",,"D1 PROFILE",,,,,,,
"82006400000806","Nodes","806",21.000000,35.443864,"DDS demands","Known Flow",346657.131056,91853.612388,,0.000000,,,-18.469999,,,-0.810000,,,,,,,,-17.240520,-19.279999,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,,
"82006400000435","Nodes","435",21.000000,33.376871,"DDS demands","Known Flow",346734.580709,91960.432338,,0.000000,-2.250000,,,,,-2.319999,,,,,,,,-4.086575,-4.569999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,,
"82006400000905","Nodes","905",21.000000,32.846875,"Default Known Flow Node","Known Flow",346363.500404,92867.226480,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001047","Nodes","1047",21.000000,33.022544,"DDS demands","Known Flow",346357.237150,92905.850952,,0.000000,,,,,,-2.119999,,,0.000000,,,,,-1.895741,-2.119999,,"",,,,,,"D1 PROFILE",,,"DM PROFILE",,,,
"82006400012806","Nodes","-155154",21.000000,33.437541,"Default Known Flow Node","Known Flow",346359.389961,92995.513693,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001044","Nodes","1044",21.000000,33.022544,"Default Known Flow Node","Known Flow",346321.176852,92903.072608,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001045","Nodes","1045",21.000000,33.022544,"Default Known Flow Node","Known Flow",346312.757731,92902.423939,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000058","Nodes","58",21.000000,29.837899,"DDS demands","Known Flow",346827.691330,91189.525309,,0.000000,,,,,,-11.910000,,,,,,,,-10.650135,-11.910000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400009043","Nodes","9043",21.000000,29.341534,"DDS demands","Known Flow",346957.131158,91064.582044,,0.000000,,,,,,-1.710000,,,,,,,,-1.529112,-1.710000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400012771","Nodes","-140261",21.000000,37.893491,"Default Known Flow Node","Known Flow",346062.148709,93559.902978,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000383","Nodes","383",21.000000,29.445081,"DDS demands","Known Flow",345814.717255,93034.381526,,0.000000,-3.219999,-14.349999,-7.719999,0.000000,,-3.999999,,,,,,,,-26.191641,-29.289998,,"","C1 PROFILE","C2 PROFILE","C3  PROFILE","C4 PROFILE",,"D1 PROFILE",,,,,,,
"82006400001037","Nodes","1037",21.000000,27.819142,"Default Known Flow Node","Known Flow",347822.741673,93008.160371,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000883","Nodes","883",21.000000,27.742998,"DDS demands","Known Flow",347854.617749,92958.027068,,0.000000,,,,,,-4.960000,,,,,,,,-4.435321,-4.960000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001038","Nodes","1038",21.000000,28.035030,"Default Known Flow Node","Known Flow",347837.046152,93025.099612,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000674","Nodes","674",21.000000,45.825422,"DDS demands","Known Flow",349732.095185,91513.700106,,0.000000,-0.449999,,,,,-18.729999,,,,,,,,-17.151099,-19.180000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,,
"82006400000748","Nodes","748",21.000000,32.342480,"DDS demands","Known Flow",346127.447723,93028.160298,,0.000000,,,,,,-19.240000,,,,,,,,-17.204753,-19.240000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001034","Nodes","1034",21.000000,32.290604,"Default Known Flow Node","Known Flow",346110.260435,93028.636680,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000118","Nodes","118",21.000000,32.030707,"DDS demands","Known Flow",346063.222864,93030.799241,,0.000000,,,,,,-50.459997,,,,,,,,-45.122234,-50.459997,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001031","Nodes","1031",21.000000,47.936821,"Default Known Flow Node","Known Flow",347023.582356,94355.445570,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000890","Nodes","890",21.000000,46.704160,"DDS demands","Known Flow",347007.419052,94318.279037,,0.000000,,,,,,-8.100000,,,,,,,,-7.243165,-8.100000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001027","Nodes","1027",21.000000,42.874819,"Default Known Flow Node","Known Flow",346450.546428,92373.331346,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000274","Nodes","274",21.000000,47.203160,"Default Known Flow Node","Known Flow",346997.360577,94501.059925,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000660","Nodes","660",21.000000,47.145773,"DDS demands","Known Flow",346928.959631,94527.796192,,0.000000,,,,,,-10.750000,,,,,,,,-9.612842,-10.750000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400012694","Nodes","-1028",21.000000,47.210335,"Default Known Flow Node","Known Flow",346937.352475,94540.806825,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000509","Nodes","509",21.000000,46.471697,"DDS demands","Known Flow",346855.750538,94573.917944,,0.000000,,,,,,-10.529999,,,,,,,,-9.416113,-10.529999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000275","Nodes","275",21.000000,47.195717,"DDS demands","Known Flow",346992.171575,94515.737929,,0.000000,,,,,,-8.369999,,,,,,,,-7.484603,-8.369999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001024","Nodes","1024",21.000000,30.292626,"Default Known Flow Node","Known Flow",347107.166650,93420.028020,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001026","Nodes","1026",21.000000,30.462539,"Default Known Flow Node","Known Flow",347044.264171,93460.650063,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001025","Nodes","1025",21.000000,30.761161,"Default Known Flow Node","Known Flow",346948.547136,93519.889061,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000207","Nodes","207",21.000000,30.457505,"DDS demands","Known Flow",346933.235871,93534.450266,,0.000000,,,,,,-22.429999,,,,,,,,-20.057307,-22.429999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400012693","Nodes","-1027",21.000000,30.462352,"Default Known Flow Node","Known Flow",347040.108034,93462.082187,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001023","Nodes","1023",21.000000,30.765690,"Default Known Flow Node","Known Flow",347019.319583,93430.801633,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012692","Nodes","-1024",21.000000,30.462539,"Default Known Flow Node","Known Flow",347042.789589,93470.016644,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012756","Nodes","-132199",21.000000,30.505867,"Default Known Flow Node","Known Flow",347049.784591,93489.560649,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000547","Nodes","547",21.000000,27.300781,"DDS demands","Known Flow",345546.192694,93088.998144,,0.000000,,,,,,-10.209999,,,,,,,,-9.129964,-10.209999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001022","Nodes","1022",21.000000,27.035124,"Default Known Flow Node","Known Flow",345456.098157,93123.918550,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012846","Nodes","-294778",21.000000,27.014410,"Default Known Flow Node","Known Flow",345454.210815,93123.891037,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400001021","Nodes","1021",22.999998,26.782450,"DDS demands","Known Flow",345389.415139,93119.044549,,0.000000,,,,,,-0.720000,,,,,,,,-0.643836,-0.720000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001018","Nodes","1018",21.000000,33.518570,"Default Known Flow Node","Known Flow",346427.772721,93516.457146,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
