"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82007200001357","Nodes","1357","21.000000","39.749771","DDS demands","Known Flow","465800.142904","105791.430997","","0.000000","","","","","","-2.380000","","","","","","","-2.128238","-2.380000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001391","Nodes","1391","21.000000","39.754255","Default Known Flow Node","Known Flow","465745.362459","105758.842070","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200004021","Nodes","-194","21.000000","40.381712","Default Known Flow Node","Known Flow","459195.766107","106245.806121","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200004022","Nodes","-195","21.000000","40.381235","Default Known Flow Node","Known Flow","459193.766107","106246.431121","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007287","Nodes","-28603","21.000000","39.664238","Default Known Flow Node","Known Flow","465708.142879","105723.555978","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002602","Nodes","2602","21.000000","37.601131","Default Known Flow Node","Known Flow","465064.915308","105217.824774","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001389","Nodes","1389","21.000000","37.601131","Default Known Flow Node","Known Flow","465072.642706","105228.930844","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200003807","Nodes","-1463871","21.000000","61.437459","Default Known Flow Node","Known Flow","465993.392957","106161.931098","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001110","Nodes","P08118561, 98-104 PORTCHESTER ROAD-FAREHAM, -28.89SCMH","24.000000","43.047343","CSEP DDS Matched","Known Flow","460398.502937","105838.908547","","0.000000","","","","","","","-28.890000","","","","","","-25.833956","-28.890000","","","","","","","","","DC PROFILE","","","","",""
"82007200002788","Nodes","2788","21.000000","60.796736","DDS demands","Known Flow","465925.392939","106167.056099","","0.000000","","","","","","-13.760000","","","","","","","-12.304439","-13.760000","","","","","","","","D1 PROFILE","","","","","",""
"82007200008006","Nodes","Group Profile 2, Reference Point, Almondsbury Road, Site ID 1530","21.000000","32.458851","Referencing Low Point","Known Flow","463185.892193","106444.806175","","0.000000","","","","","","-9.949999","","","","","","","-8.897467","-9.949999","","","","","","","","D1 PROFILE","","","","","",""
"82007200000518","Nodes","518","21.000000","32.774711","DDS demands","Known Flow","463145.525597","106444.803686","","0.000000","","","","","","-7.430000","","","","","","","-6.644039","-7.430000","","","","","","","","D1 PROFILE","","","","","",""
"82007200007297","Nodes","-28655","21.000000","39.603046","Default Known Flow Node","Known Flow","465904.642933","105771.305991","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200008508","Nodes","8508","21.000000","39.682666","Default Known Flow Node","Known Flow","465952.738338","105859.113048","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001302","Nodes","1302","21.000000","39.344581","DDS demands","Known Flow","466185.268009","105860.681016","","0.000000","","","","","","-11.539999","","","","","","","-10.319274","-11.539999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001475","Nodes","1475","21.000000","30.891001","DDS demands","Known Flow","469334.931235","106394.005450","","0.000000","","","","","","-10.479999","","","","","","","-9.371402","-10.479999","","","","","","","","D1 PROFILE","","","","","",""
"82007200008506","Nodes","P08119658, 2 (FLATS 1-6) WATERWORKS ROAD, -7.20SCMH","22.999998","40.318613","CSEP DDS Matched","Known Flow","467899.977508","105646.923231","","0.000000","","","","","","","-7.199999","","","","","","-6.438368","-7.199999","","","","","","","","","DC PROFILE","","","","",""
"82007200002855","Nodes","2855","21.000000","30.689257","DDS demands","Known Flow","469371.659206","106408.485180","","0.000000","","-37.140000","","-5.440000","","-4.829999","","","","","","","-42.394871","-47.409999","","","","C2 PROFILE","","C4 PROFILE","","D1 PROFILE","","","","","",""
"82007200002622","Nodes","2622","21.000000","69.544409","DDS demands","Known Flow","465792.516827","106117.541631","","0.000000","","","","","","-9.819999","","","","","","","-8.781219","-9.819999","","","","","","","","D1 PROFILE","","","","","",""
"82007200002621","Nodes","P00021818, KER HOUSE - CP1 ORKNEY ROAD, -28.15SCMH","24.000000","65.422271","CSEP DDS Matched","Known Flow","465877.017925","106100.181081","","0.000000","","","","","","","-28.149999","","","","","","-25.172234","-28.149999","","","","","","","","","DC PROFILE","","","","",""
"82007200000921","Nodes","921","21.000000","37.476047","Default Known Flow Node","Known Flow","465225.465068","104873.931390","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200000935","Nodes","935","21.000000","37.517677","Default Known Flow Node","Known Flow","465143.896308","104993.175239","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007533","Nodes","-4904832","21.000000","37.517595","Default Known Flow Node","Known Flow","465138.659319","105004.893650","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200000937","Nodes","Lakeside Business Park Western Road, North Harbour","21.000000","37.476754","Point Loads","Known Flow","465306.903563","104801.828756","","0.000000","","","","","","","","","","-839.999979","","","-751.143010","-839.999979","","","","","","","","","","","","PL-AF PROFILE","",""
"82007200002813","Nodes","2813","21.000000","41.500027","DDS demands","Known Flow","464763.384137","105836.158805","","0.000000","","","","","","-2.990000","","","","","","","-2.673711","-2.990000","","","","","","","","D1 PROFILE","","","","","",""
"82007200002815","Nodes","P10123310, HIGHBURY COLLEGE TUDOR CRESCENT, FY1(-28.06)&FY5(-113.08)SCMH","21.000000","37.369534","CSEP DDS Matched","Known Flow","466228.243705","104510.082531","","0.000000","","","","","","","-113.080003","","","","","","-101.118165","-113.080003","","","","","","","","","DC PROFILE","","","","",""
"82007200002814","Nodes","2814","21.000000","41.542442","Default Known Flow Node","Known Flow","464793.267630","105856.806015","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007264","Nodes","-2813","21.000000","41.500027","Default Known Flow Node","Known Flow","464762.621553","105837.191544","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200001036","Nodes","1036","21.000000","37.737565","DDS demands","Known Flow","465046.642699","105732.430981","","0.000000","","","","","","-4.770000","","","","","","","-4.265419","-4.770000","","","","","","","","D1 PROFILE","","","","","",""
"82007200007610","Nodes","","21.000000","39.711486","DDS demands","Known Flow","465864.891992","104991.868687","","0.000000","","","","","","-26.010001","","","","","","","-23.258608","-26.010001","","","","","","","","D1 PROFILE","","","","","",""
"82007200007611","Nodes","","21.000000","37.946920","DDS demands","Known Flow","458911.891030","105727.305979","","0.000000","-42.049999","","","","","-1.179999","","","","","","","-38.657037","-43.229998","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"82007200002790","Nodes","2790","21.000000","39.843688","Default Known Flow Node","Known Flow","458849.766013","105705.805974","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007609","Nodes","-84566","21.000000","39.647553","Default Known Flow Node","Known Flow","458768.765991","105601.305945","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002795","Nodes","2795","21.000000","39.690034","DDS demands","Known Flow","458753.265987","105653.180959","","0.000000","","","","-13.439999","","-0.999999","","","","","","","-12.912506","-14.439999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"82007200007607","Nodes","-84564","21.000000","39.605076","Default Known Flow Node","Known Flow","458695.933423","105492.083289","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200007608","Nodes","-84565","21.000000","39.647553","Default Known Flow Node","Known Flow","458659.201088","105479.804083","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002794","Nodes","2794","21.000000","39.758623","Default Known Flow Node","Known Flow","458734.452192","105706.895568","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002793","Nodes","2793","21.000000","39.766070","Default Known Flow Node","Known Flow","458750.789784","105709.028666","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002792","Nodes","2792","21.000000","39.774416","DDS demands","Known Flow","458769.096225","105711.418825","","0.000000","-8.140000","","","","","","","","","","","","-7.278933","-8.140000","","","C1 PROFILE","","","","","","","","","","",""
"82007200002791","Nodes","2791","21.000000","39.821541","Default Known Flow Node","Known Flow","458827.003622","105703.032625","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"82007200002789","Nodes","2789","21.000000","39.951536","Default Known Flow Node","Known Flow","458840.229046","105718.981852","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
