"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82010300000676","Nodes",,21.000000,33.008902,"DDS demands","Known Flow",448622.513230,111970.557678,,0.000000,,,,,,-20.690000,,,,,,-18.501368,-20.690000,,"",,,,,,"D1 PROFILE",,,,,
"82010300011500","Nodes",,21.000000,32.635494,"Default Known Flow Node","Known Flow",448582.989776,111999.695089,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001214","Nodes","P10125490, Kings Copse Road, -90.28",25.000000,28.411202,"CSEP DDS Matched","Known Flow",449491.727697,112045.215886,,0.000000,,,,,,,-90.280002,,,,,-80.729991,-90.280002,,"",,,,,,,"DC PROFILE",,,,
"82010300001215","Nodes",,21.000000,25.618004,"DDS demands","Known Flow",449934.881585,113556.172477,,0.000000,-28.799999,,,,,,,,,,,-25.753474,-28.799999,,"","C1 PROFILE",,,,,,,,,,
"82010300009013","Nodes",,21.000000,26.099416,"Default Known Flow Node","Known Flow",449820.524830,113560.043750,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001210","Nodes",,21.000000,26.216244,"Default Known Flow Node","Known Flow",449764.013541,113567.933113,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001207","Nodes",,21.000000,26.618347,"Default Known Flow Node","Known Flow",449699.996447,113571.335100,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001211","Nodes",,21.000000,26.192544,"Default Known Flow Node","Known Flow",449770.638543,113584.308117,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300001212","Nodes",,21.000000,25.858107,"DDS demands","Known Flow",449789.763548,113625.308129,,0.000000,,,-37.890000,,,,,,,,,-33.881917,-37.890000,,"",,,"C3  PROFILE",,,,,,,,
"82010300011505","Nodes",,21.000000,33.399729,"Default Known Flow Node","Known Flow",448707.388253,111909.557662,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300011179","Nodes",,21.000000,33.690462,"Default Known Flow Node","Known Flow",448711.013254,111881.557654,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82010300000062","Nodes",,21.000000,33.411963,"DDS demands","Known Flow",448719.013256,111879.182653,,0.000000,,,,,,-7.809999,,,,,,-6.983841,-7.809999,,"",,,,,,"D1 PROFILE",,,,,
"82010300001086","Nodes",,21.000000,32.567856,"Default Known Flow Node","Known Flow",448911.013309,112858.057920,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
