"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"C1","Flow Categories",-793.119992,0.000000,1.000000,"Volumetric",-1.000000
"D1","Flow Categories",-6363.319999,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-1323.569994,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-616.019992,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-278.179999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-334.290014,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-477.810006,0.000000,1.000000,"Volumetric",-1.000000
"CC","Flow Categories",-15.959999,0.000000,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-312.869996,0.000000,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
"CM","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"CT","Flow Categories",,,1.000000,"Volumetric",0.000000
"DH","Flow Categories",-24.100000,0.000000,1.000000,"Volumetric",-1.000000
