"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"C1","Flow Categories",-185.820002,0.000000,1.000000,"Volumetric",-1.000000
"D1","Flow Categories",-2873.579998,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-94.559999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-384.149996,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-247.020001,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-469.721008,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-62.930001,0.000000,1.000000,"Volumetric",-1.000000
"CT","Flow Categories",-131.789991,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-PL","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
"TT","Flow Categories",,,1.000000,"Volumetric",0.000000
"PL-AF","Flow Categories",-217.000006,0.000000,1.000000,"Volumetric",-1.000000
