"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82012100001361","Nodes","1361","21.000000","23.709781","DDS demands","Known Flow","417684.754812","91982.177239","","0.000000","","","","","","","-1.970000","","","","","-1.761609","-1.970000","","","","","","","","","D1 PROFILE","","","",""
"82012100001363","Nodes","1363","21.000000","23.582441","DDS demands","Known Flow","417651.754803","91977.677238","","0.000000","","","","","","","-8.300000","","","","","-7.422008","-8.300000","","","","","","","","","D1 PROFILE","","","",""
"82012100001579","Nodes","1579","21.000000","39.337887","DDS demands","Known Flow","419494.083457","94519.421081","","0.000000","","","","","","","-8.770000","","","","","-7.842291","-8.770000","","","","","","","","","D1 PROFILE","","","",""
"82012100001576","Nodes","1576","21.000000","39.637707","DDS demands","Known Flow","419513.816472","94616.468571","","0.000000","","","","","","","-2.460000","","","","","-2.199776","-2.460000","","","","","","","","","D1 PROFILE","","","",""
"82012101465164","Nodes","P09122668, WILLOW WAY, 6.37","22.999998","44.322781","CSEP Unmatched","Known Flow","415097.954032","92331.118411","","0.000000","","","","","","","","-6.370000","","","","-5.696168","-6.370000","","","","","","","","","","DC PROFILE","","",""
"82012100002326","Nodes","P09120420, SLINN ROAD, 6","22.999998","28.026640","CSEP Unmatched","Known Flow","417174.085674","93287.408547","","0.000000","","","","","","","","-6.000000","","","","-5.365307","-6.000000","","","","","","","","","","DC PROFILE","","",""
"82012100001063","Nodes","1063","21.000000","38.911270","DDS demands","Known Flow","424111.599654","95527.842707","","0.000000","","","","","","","-19.819999","","","","","-17.723398","-19.819999","","","","","","","","","D1 PROFILE","","","",""
"82012100001065","Nodes","1065","21.000000","40.151114","DDS demands","Known Flow","423947.003296","95525.429706","","0.000000","","","","","","","-4.530000","","","","","-4.050807","-4.530000","","","","","","","","","D1 PROFILE","","","",""
"82012100001447","Nodes","1447","21.000000","40.114851","DDS demands","Known Flow","424209.881587","95538.678207","","0.000000","","-6.000000","","","","","-8.109999","","","","","-12.617414","-14.109999","","","","C2 PROFILE","","","","","D1 PROFILE","","","",""
"82012100320210","Nodes","320210","21.000000","43.490769","Default Known Flow Node","Known Flow","425077.256823","95150.803101","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012100001888","Nodes","1888","21.000000","42.590607","DDS demands","Known Flow","424896.509768","95052.303536","","0.000000","","","","","","","-8.399999","","","","","-7.511430","-8.399999","","","","","","","","","D1 PROFILE","","","",""
"82012100112110","Nodes","112110","21.000000","31.440839","Default Known Flow Node","Known Flow","416998.493263","92953.695717","","0.000000","","","","","","","","-12.279999","","","","-10.980995","-12.279999","","","","","","","","","","DC PROFILE","","",""
"82012100003840","Nodes","3840","21.000000","31.431611","DDS demands","Known Flow","416907.774596","92944.605609","","0.000000","","","","","","","-7.459999","","","","","-6.670865","-7.459999","","","","","","","","","D1 PROFILE","","","",""
"82012100001159","Nodes","1159","21.000000","30.395037","DDS demands","Known Flow","424545.756679","94548.052937","","0.000000","","","","","","","-3.869999","","","","","-3.460623","-3.869999","","","","","","","","","D1 PROFILE","","","",""
"82012100001161","Nodes","1161","21.000000","27.391880","DDS demands","Known Flow","424663.881711","94590.677949","","0.000000","","","","","","","-26.929999","","","","","-24.081287","-26.929999","","","","","","","","","D1 PROFILE","","","",""
"82012100001162","Nodes","1162","21.000000","25.617513","DDS demands","Known Flow","424792.575348","94629.827435","","0.000000","","","","","","","-24.379999","","","","","-21.801032","-24.379999","","","","","","","","","D1 PROFILE","","","",""
"82012104904704","Nodes","P10123889, AVON ROAD WEST, 5.08","22.999998","37.910978","CSEP Unmatched","Known Flow","414854.958988","93672.404484","","0.000000","","","","","","","","-5.079999","","","","-4.542626","-5.079999","","","","","","","","","","DC PROFILE","","",""
"82012100011476","Nodes","P10123712, AIRFIELD WAY, 14.68","22.999998","34.532759","CSEP Unmatched","Known Flow","417756.026821","93149.393185","","0.000000","","","","","","","","-14.680000","","","","-13.127118","-14.680000","","","","","","","","","","DC PROFILE","","",""
