"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82013600000410","Nodes","410",21.000000,43.188968,"Default Known Flow Node","Known Flow",410914.414595,103015.536957,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000282","Nodes","282",21.000000,38.276526,"DDS demands","Known Flow",412620.157434,104530.433654,,0.000000,,,,,-3.579999,,,,-3.201299,-3.579999,,"",,,,,"D1 PROFILE",,,
"82013600000222","Nodes","222",21.000000,45.871310,"DDS demands","Known Flow",412136.998438,103822.468656,,0.000000,,,,,-1.860000,,,,-1.663245,-1.860000,,"",,,,,"D1 PROFILE",,,
"82013600000048","Nodes","48",21.000000,45.663191,"DDS demands","Known Flow",411098.790871,103009.921116,,0.000000,,,,,-3.010000,,,,-2.691595,-3.010000,,"",,,,,"D1 PROFILE",,,
"82013600000002","Nodes","Woolsbridge Road DG, BW36D, Constant/Seasonal Settings, Site ID 3506",21.000000,45.999998,"Default Known Pressure Node","Known Pressure",411590.881154,103379.349341,,2627.000010,,,,,,,,,809.052409,904.759782,,"",,,,,,,,
"82013600000090","Nodes","90",21.000000,29.226905,"DDS demands","Known Flow",411548.988033,104508.074511,,0.000000,,,,,-1.510000,,,,-1.350269,-1.510000,,"",,,,,"D1 PROFILE",,,
"82013600008002","Nodes","Logger, Woolsbridge Road  Pos To Far From The Road",21.000000,29.271172,"Default Known Flow Node","Known Flow",411548.734251,104502.347152,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000008","Nodes","8",21.000000,31.283523,"DDS demands","Known Flow",411505.330410,104330.224749,,0.000000,,,,,-14.330000,,,,-12.814142,-14.330000,,"",,,,,"D1 PROFILE",,,
"82013600000057","Nodes","57",21.000000,38.005577,"DDS demands","Known Flow",411151.597034,103771.090447,,0.000000,,,,,-11.350000,,,,-10.149373,-11.350000,,"",,,,,"D1 PROFILE",,,
"82013600008001","Nodes","Logger 0817 , Braeside Road",21.000000,38.095404,"Val Log Post","Known Flow",411155.950011,103756.095099,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000036","Nodes","36",21.000000,39.273407,"DDS demands","Known Flow",411215.625356,103553.688858,,0.000000,-8.709999,,,,-14.979999,,,,-21.184021,-23.689998,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"82013600000280","Nodes","280",21.000000,39.107585,"DDS demands","Known Flow",412601.475003,104473.160048,,0.000000,,,,,-2.240000,,,,-2.003048,-2.240000,,"",,,,,"D1 PROFILE",,,
"82013600000016","Nodes","16",21.000000,45.871564,"Default Known Flow Node","Known Flow",412136.507803,103823.940559,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000327","Nodes","327",21.000000,37.906194,"DDS demands","Known Flow",411705.516185,103612.707404,,0.000000,,,,,-7.649999,,,,-6.840766,-7.649999,,"",,,,,"D1 PROFILE",,,
"82013600000328","Nodes","328",21.000000,37.396185,"DDS demands","Known Flow",411766.406473,103643.410251,,0.000000,,,,,-5.140000,,,,-4.596280,-5.140000,,"",,,,,"D1 PROFILE",,,
"82013600000329","Nodes","329",21.000000,37.192477,"DDS demands","Known Flow",411830.860219,103668.798419,,0.000000,,,,,-7.080000,,,,-6.331062,-7.080000,,"",,,,,"D1 PROFILE",,,
"82013600000251","Nodes","251",21.000000,36.421714,"DDS demands","Known Flow",411411.050508,103582.311842,,0.000000,,,,,-8.649999,,,,-7.734984,-8.649999,,"",,,,,"D1 PROFILE",,,
"82013600000253","Nodes","253",21.000000,36.328738,"Default Known Flow Node","Known Flow",411397.342259,103561.183069,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000055","Nodes","55",21.000000,42.403345,"DDS demands","Known Flow",410744.864142,103134.362571,,0.000000,,,,,-2.450000,,,,-2.190834,-2.450000,,"",,,,,"D1 PROFILE",,,
"82013600000813","Nodes","813",21.000000,42.539533,"DDS demands","Known Flow",410752.318142,103093.365571,,0.000000,,,,,-8.029999,,,,-7.180569,-8.029999,,"",,,,,"D1 PROFILE",,,
"82013600000056","Nodes","56",21.000000,42.096108,"DDS demands","Known Flow",410730.242803,103276.150517,,0.000000,,,,,-6.540000,,,,-5.848185,-6.540000,,"",,,,,"D1 PROFILE",,,
"82013600000035","Nodes","35",21.000000,41.853650,"DDS demands","Known Flow",411171.213724,103247.433915,,0.000000,,,,,-3.289999,,,,-2.941976,-3.289999,,"",,,,,"D1 PROFILE",,,
"82013600000046","Nodes","46",21.000000,41.897084,"DDS demands","Known Flow",411174.045626,103239.679139,,0.000000,,,,,-2.549999,,,,-2.280255,-2.549999,,"",,,,,"D1 PROFILE",,,
"82013600000042","Nodes","42",21.000000,42.249281,"DDS demands","Known Flow",411180.496650,103186.312572,,0.000000,,,,,-6.670000,,,,-5.964433,-6.670000,,"",,,,,"D1 PROFILE",,,
"82013600000247","Nodes","247",21.000000,44.867138,"DDS demands","Known Flow",411086.903387,103045.686416,,0.000000,,,,,-6.049999,,,,-5.410018,-6.049999,,"",,,,,"D1 PROFILE",,,
"82013600000123","Nodes","123",21.000000,33.837929,"Default Known Flow Node","Known Flow",412287.709969,104550.551934,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000236","Nodes","236",21.000000,27.513099,"DDS demands","Known Flow",412024.098506,104625.797350,,0.000000,,,,,-17.350000,,,,-15.514680,-17.350000,,"",,,,,"D1 PROFILE",,,
"82013600000256","Nodes","256",21.000000,36.124401,"DDS demands","Known Flow",411997.320701,104017.801952,,0.000000,,,,,-8.329999,,,,-7.448834,-8.329999,,"",,,,,"D1 PROFILE",,,
"82013600000299","Nodes","299",21.000000,35.192756,"DDS demands","Known Flow",411982.566093,104052.321197,,0.000000,,,,,-5.239999,,,,-4.685701,-5.239999,,"",,,,,"D1 PROFILE",,,
"82013600000812","Nodes","812",21.000000,37.557158,"DDS demands","Known Flow",411343.479868,103865.221525,,0.000000,,,,,-2.669999,,,,-2.387561,-2.669999,,"",,,,,"D1 PROFILE",,,
"82013600000815","Nodes","815",21.000000,37.571780,"DDS demands","Known Flow",411382.894097,103885.151478,,0.000000,,,,,-2.789999,,,,-2.494867,-2.789999,,"",,,,,"D1 PROFILE",,,
"82013600000814","Nodes","814",21.000000,37.370344,"DDS demands","Known Flow",411310.995077,103848.795468,,0.000000,,,,,-9.050000,,,,-8.092672,-9.050000,,"",,,,,"D1 PROFILE",,,
"82013600000403","Nodes","403",21.000000,32.255108,"DDS demands","Known Flow",410753.872355,104000.917183,,0.000000,,,,,-4.070000,,,,-3.639466,-4.070000,,"",,,,,"D1 PROFILE",,,
"82013600000069","Nodes","69",21.000000,30.002739,"DDS demands","Known Flow",410801.216152,104076.227612,,0.000000,,,,,-2.689999,,,,-2.405446,-2.689999,,"",,,,,"D1 PROFILE",,,
"82013600000070","Nodes","70",21.000000,31.502596,"DDS demands","Known Flow",410807.572177,104070.383519,,0.000000,,,,,-1.649999,,,,-1.475459,-1.649999,,"",,,,,"D1 PROFILE",,,
"82013600000060","Nodes","60",21.000000,38.564556,"DDS demands","Known Flow",411506.377131,103838.494465,,0.000000,,,,,-7.230000,,,,-6.465195,-7.230000,,"",,,,,"D1 PROFILE",,,
"82013600000061","Nodes","61",21.000000,39.042703,"DDS demands","Known Flow",411526.960361,103787.926800,,0.000000,,,,,-2.209999,,,,-1.976221,-2.209999,,"",,,,,"D1 PROFILE",,,
"82013600000271","Nodes","271",21.000000,42.024543,"DDS demands","Known Flow",411506.004880,103541.428140,,0.000000,,,,,-9.869999,,,,-8.825930,-9.869999,,"",,,,,"D1 PROFILE",,,
"82013600000161","Nodes","161",21.000000,39.543420,"DDS demands","Known Flow",410878.429474,103384.521636,,0.000000,,,,,-5.749999,,,,-5.141752,-5.749999,,"",,,,,"D1 PROFILE",,,
"82013600000051","Nodes","51",21.000000,43.190140,"DDS demands","Known Flow",410914.315277,103012.458723,,0.000000,,,,,-2.059999,,,,-1.842088,-2.059999,,"",,,,,"D1 PROFILE",,,
"82013600000408","Nodes","408",21.000000,39.499217,"Default Known Flow Node","Known Flow",410878.358201,103386.140695,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000038","Nodes","38",21.000000,41.323060,"DDS demands","Known Flow",411004.953850,103328.625001,,0.000000,,,,,-3.629999,,,,-3.246011,-3.629999,,"",,,,,"D1 PROFILE",,,
"82013600000415","Nodes","415",21.000000,40.593097,"Default Known Flow Node","Known Flow",411010.276495,103417.583196,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000041","Nodes","41",21.000000,43.156034,"DDS demands","Known Flow",411056.053036,103149.623810,,0.000000,,,,,-15.050000,,,,-13.457979,-15.050000,,"",,,,,"D1 PROFILE",,,
"82013600000414","Nodes","414",21.000000,41.320956,"Default Known Flow Node","Known Flow",411004.870522,103328.880816,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000417","Nodes","417",21.000000,41.699018,"Default Known Flow Node","Known Flow",411017.565604,103285.630373,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000047","Nodes","47",21.000000,43.996138,"DDS demands","Known Flow",411074.651915,103086.215754,,0.000000,,,,,-8.109999,,,,-7.252106,-8.109999,,"",,,,,"D1 PROFILE",,,
"82013600000040","Nodes","40",21.000000,41.639145,"DDS demands","Known Flow",411015.805182,103291.747598,,0.000000,,,,,-11.719999,,,,-10.480234,-11.719999,,"",,,,,"D1 PROFILE",,,
"82013600000033","Nodes","33",21.000000,39.706781,"DDS demands","Known Flow",411240.052728,103465.243946,,0.000000,,,,,-8.329999,,,,-7.448834,-8.329999,,"",,,,,"D1 PROFILE",,,
"82013600000249","Nodes","249",21.000000,39.359791,"Default Known Flow Node","Known Flow",411405.694277,103225.706378,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000586","Nodes","586",21.000000,43.893674,"Default Known Flow Node","Known Flow",411719.243245,103472.024085,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000266","Nodes","266",21.000000,42.888323,"DDS demands","Known Flow",411570.020429,103492.083715,,0.000000,,,,,-3.759999,,,,-3.362259,-3.759999,,"",,,,,"D1 PROFILE",,,
"82013600000306","Nodes","306",21.000000,43.787054,"DDS demands","Known Flow",411723.697375,103475.981723,,0.000000,,,,,-1.929999,,,,-1.725840,-1.929999,,"",,,,,"D1 PROFILE",,,
"82013600000305","Nodes","305",21.000000,39.114152,"DDS demands","Known Flow",411657.834211,103482.798187,,0.000000,,,,,-16.249999,,,,-14.531040,-16.249999,,"",,,,,"D1 PROFILE",,,
"82013600000160","Nodes","160",21.000000,36.159406,"DDS demands","Known Flow",410868.730144,103511.481695,,0.000000,,,,,-6.340000,,,,-5.669341,-6.340000,,"",,,,,"D1 PROFILE",,,
"82013600000404","Nodes","404",21.000000,31.583014,"Default Known Flow Node","Known Flow",410671.672405,103668.402313,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000143","Nodes","143",21.000000,29.288467,"DDS demands","Known Flow",410958.158649,103950.085124,,0.000000,,,,,-1.479999,,,,-1.323442,-1.479999,,"",,,,,"D1 PROFILE",,,
"82013600000400","Nodes","400",21.000000,29.988331,"DDS demands","Known Flow",410744.486580,103999.040920,,0.000000,,,,,-7.750000,,,,-6.930188,-7.750000,,"",,,,,"D1 PROFILE",,,
"82013600000407","Nodes","407",21.000000,31.583014,"Default Known Flow Node","Known Flow",410671.524456,103671.265698,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000268","Nodes","268",21.000000,30.492831,"DDS demands","Known Flow",410671.682956,103768.369821,,0.000000,,,,,-2.910000,,,,-2.602174,-2.910000,,"",,,,,"D1 PROFILE",,,
"82013600000166","Nodes","166",21.000000,32.271330,"DDS demands","Known Flow",410673.513458,103591.635843,,0.000000,,,,,-9.090000,,,,-8.128440,-9.090000,,"",,,,,"D1 PROFILE",,,
"82013600000212","Nodes","212",21.000000,30.153251,"DDS demands","Known Flow",410674.224533,103847.825226,,0.000000,,,,,-6.439999,,,,-5.758763,-6.439999,,"",,,,,"D1 PROFILE",,,
"82013600000162","Nodes","162",21.000000,35.335083,"Default Known Flow Node","Known Flow",410812.746274,103513.672724,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000174","Nodes","174",21.000000,30.906821,"DDS demands","Known Flow",410776.915384,103779.013659,,0.000000,,,,,-10.130000,,,,-9.058427,-10.130000,,"",,,,,"D1 PROFILE",,,
"82013600000163","Nodes","163",21.000000,35.327579,"DDS demands","Known Flow",410812.676393,103537.411770,,0.000000,,,,,-3.260000,,,,-2.915150,-3.260000,,"",,,,,"D1 PROFILE",,,
"82013600000152","Nodes","152",21.000000,35.272519,"DDS demands","Known Flow",410803.863508,103664.910219,,0.000000,,,,,-5.619999,,,,-5.025504,-5.619999,,"",,,,,"D1 PROFILE",,,
"82013600000153","Nodes","153",21.000000,35.316060,"DDS demands","Known Flow",410863.663570,103739.322182,,0.000000,,,,,-5.030000,,,,-4.497916,-5.030000,,"",,,,,"D1 PROFILE",,,
"82013600000156","Nodes","156",21.000000,35.893959,"Default Known Flow Node","Known Flow",410889.884779,103557.472471,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000154","Nodes","154",21.000000,35.874164,"DDS demands","Known Flow",410901.827567,103582.624681,,0.000000,,,,,-3.049999,,,,-2.727364,-3.049999,,"",,,,,"D1 PROFILE",,,
"82013600000411","Nodes","411",21.000000,35.772920,"Default Known Flow Node","Known Flow",410923.543867,103647.871073,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000150","Nodes","150",21.000000,35.767010,"DDS demands","Known Flow",410924.487068,103653.908387,,0.000000,,,,,-6.300000,,,,-5.633573,-6.300000,,"",,,,,"D1 PROFILE",,,
"82013600000148","Nodes","148",21.000000,35.759851,"DDS demands","Known Flow",410932.894318,103695.186758,,0.000000,,,,,-3.660000,,,,-3.272837,-3.660000,,"",,,,,"D1 PROFILE",,,
"82013600000158","Nodes","158",21.000000,35.801210,"DDS demands","Known Flow",410953.082414,103497.450897,,0.000000,,,,,-5.239999,,,,-4.685701,-5.239999,,"",,,,,"D1 PROFILE",,,
"82013600000406","Nodes","406",21.000000,37.622558,"Default Known Flow Node","Known Flow",411258.585389,103836.670466,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000058","Nodes","58",21.000000,37.669765,"Default Known Flow Node","Known Flow",411259.252063,103834.945464,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000418","Nodes","418",21.000000,37.803093,"DDS demands","Known Flow",411448.250621,103928.848057,,0.000000,,,,,-4.169999,,,,-3.728888,-4.169999,,"",,,,,"D1 PROFILE",,,
"82013600000208","Nodes","208",21.000000,27.304601,"DDS demands","Known Flow",411062.805405,103829.429441,,0.000000,,,,,-10.199999,,,,-9.121022,-10.199999,,"",,,,,"D1 PROFILE",,,
"82013600000246","Nodes","246",21.000000,39.608816,"DDS demands","Known Flow",411132.611814,103458.941822,,0.000000,,,,,-3.099999,,,,-2.772075,-3.099999,,"",,,,,"D1 PROFILE",,,
"82013600000065","Nodes","65",21.000000,35.181824,"DDS demands","Known Flow",411223.355567,103925.252762,,0.000000,,,,,-15.989999,,,,-14.298544,-15.989999,,"",,,,,"D1 PROFILE",,,
"82013600000066","Nodes","66",21.000000,35.174012,"DDS demands","Known Flow",411320.092080,103964.034500,,0.000000,,,,,-5.870000,,,,-5.249059,-5.870000,,"",,,,,"D1 PROFILE",,,
"82013600000419","Nodes","419",21.000000,37.893689,"Default Known Flow Node","Known Flow",411319.092080,103743.071439,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000064","Nodes","64",21.000000,37.685977,"DDS demands","Known Flow",411310.047642,103675.745726,,0.000000,,,,,-0.950000,,-4.590000,,-4.953967,-5.540000,,"",,,,,"D1 PROFILE",,"I2 PROFILE",
"82013600000430","Nodes","430",21.000000,38.015440,"Default Known Flow Node","Known Flow",411378.645096,103765.801446,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000431","Nodes","431",21.000000,38.020725,"DDS demands","Known Flow",411381.114096,103769.707447,,0.000000,,,,,-9.770000,,,,-8.736509,-9.770000,,"",,,,,"D1 PROFILE",,,
"82013600000062","Nodes","62",21.000000,38.015641,"DDS demands","Known Flow",411381.369096,103767.091446,,0.000000,,,,,-6.459999,,,,-5.776647,-6.459999,,"",,,,,"D1 PROFILE",,,
"82013600000429","Nodes","429",21.000000,37.903022,"Default Known Flow Node","Known Flow",411359.803185,103643.115069,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000059","Nodes","59",21.000000,37.810424,"DDS demands","Known Flow",411465.090119,103937.420492,,0.000000,,,,,-7.600000,,,,-6.796056,-7.600000,,"",,,,,"D1 PROFILE",,,
"82013600000811","Nodes","811",21.000000,37.677520,"DDS demands","Known Flow",411338.576085,103874.466475,,0.000000,,,,,-7.610000,,,,-6.804998,-7.610000,,"",,,,,"D1 PROFILE",,,
"82013600000582","Nodes","582",21.000000,42.205144,"Default Known Flow Node","Known Flow",411507.494575,103528.016407,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000213","Nodes","213",21.000000,34.373999,"DDS demands","Known Flow",411545.544141,103920.010488,,0.000000,,,,,-6.170000,,,,-5.517324,-6.170000,,"",,,,,"D1 PROFILE",,,
"82013600000178","Nodes","178",21.000000,34.767565,"DDS demands","Known Flow",411599.247156,103958.848498,,0.000000,,,,,-15.149999,,,,-13.547400,-15.149999,,"",,,,,"D1 PROFILE",,,
"82013600000585","Nodes","585",21.000000,37.990067,"Default Known Flow Node","Known Flow",411700.670213,103608.993669,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000326","Nodes","326",21.000000,37.009374,"Default Known Flow Node","Known Flow",411713.284899,103719.818333,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000023","Nodes","23",21.000000,37.086260,"DDS demands","Known Flow",411700.422470,103709.034958,,0.000000,,,,,-16.840000,,,,-15.058629,-16.840000,,"",,,,,"D1 PROFILE",,,
"82013600000297","Nodes","297",21.000000,41.607522,"DDS demands","Known Flow",411953.170160,103659.479768,,0.000000,,,,,-6.949999,,,,-6.214813,-6.949999,,"",,,,,"D1 PROFILE",,,
"82013600000218","Nodes","218",21.000000,36.569511,"DDS demands","Known Flow",411926.733798,103878.348774,,0.000000,,,,,-0.629999,,,,-0.563357,-0.629999,,"",,,,,"D1 PROFILE",,,
"82013600000020","Nodes","20",21.000000,37.113918,"DDS demands","Known Flow",411744.591692,103879.170653,,0.000000,,,,,-8.149999,,,,-7.287875,-8.149999,,"",,,,,"D1 PROFILE",,,
"82013600000022","Nodes","22",21.000000,37.900474,"DDS demands","Known Flow",411635.006011,103839.887907,,0.000000,,,,,-16.079999,,,,-14.379023,-16.079999,,"",,,,,"D1 PROFILE",,,
"82013600000018","Nodes","18",21.000000,36.520360,"DDS demands","Known Flow",411916.947448,103969.452541,,0.000000,,,,,-8.729999,,,,-7.806521,-8.729999,,"",,,,,"D1 PROFILE",,,
"82013600000580","Nodes","580",21.000000,42.041577,"Default Known Flow Node","Known Flow",411508.291959,103541.467096,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000029","Nodes","29",21.000000,42.186880,"DDS demands","Known Flow",411507.277366,103529.326584,,0.000000,,,,,-10.499999,,,,-9.389287,-10.499999,,"",,,,,"D1 PROFILE",,,
"82013600000026","Nodes","26",21.000000,42.032331,"DDS demands","Known Flow",411522.326775,103552.941680,,0.000000,,,,,-1.949999,,,,-1.743724,-1.949999,,"",,,,,"D1 PROFILE",,,
"82013600000025","Nodes","25",21.000000,41.893587,"DDS demands","Known Flow",411554.510186,103578.817170,,0.000000,,,,,-3.670000,,,,-3.281779,-3.670000,,"",,,,,"D1 PROFILE",,,
"82013600000027","Nodes","27",21.000000,42.094793,"DDS demands","Known Flow",411557.052253,103555.498184,,0.000000,,,,,-4.960000,,,,-4.435321,-4.960000,,"",,,,,"D1 PROFILE",,,
"82013600000323","Nodes","323",21.000000,41.817691,"DDS demands","Known Flow",411564.526756,103586.598660,,0.000000,,,,,-7.459999,,,,-6.670865,-7.459999,,"",,,,,"D1 PROFILE",,,
"82013600000583","Nodes","583",21.000000,37.469274,"DDS demands","Known Flow",411660.174041,103790.108407,,0.000000,,,,,-2.119999,,,,-1.895741,-2.119999,,"",,,,,"D1 PROFILE",,,
"82013600000301","Nodes","301",21.000000,37.890545,"Default Known Flow Node","Known Flow",411662.789671,103677.568239,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000285","Nodes","285",21.000000,37.355340,"DDS demands","Known Flow",411681.676633,103693.792572,,0.000000,,,,,-8.279999,,,,-7.404124,-8.279999,,"",,,,,"D1 PROFILE",,,
"82013600000302","Nodes","302",21.000000,38.654502,"DDS demands","Known Flow",411698.070183,103563.708391,,0.000000,,,,,-4.150000,,,,-3.711004,-4.150000,,"",,,,,"D1 PROFILE",,,
"82013600000217","Nodes","217",21.000000,36.572063,"DDS demands","Known Flow",411919.411760,103892.289811,,0.000000,,,,,-2.079999,,,,-1.859973,-2.079999,,"",,,,,"D1 PROFILE",,,
"82013600000587","Nodes","587",21.000000,36.569655,"Default Known Flow Node","Known Flow",411925.769664,103880.110614,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000588","Nodes","588",21.000000,38.222493,"Default Known Flow Node","Known Flow",412058.752264,104002.753978,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82013600000191","Nodes","191",21.000000,42.008043,"DDS demands","Known Flow",412102.324488,103906.094150,,0.000000,,,,,-14.069999,,,,-12.581645,-14.069999,,"",,,,,"D1 PROFILE",,,
"82013600000228","Nodes","228",21.000000,36.144509,"DDS demands","Known Flow",412288.924116,103934.903852,,0.000000,,,,,-1.490000,,,,-1.332384,-1.490000,,"",,,,,"D1 PROFILE",,,
"82013600000220","Nodes","220",21.000000,44.785279,"DDS demands","Known Flow",412128.850719,103846.978157,,0.000000,,,,,-13.369999,,,,-11.955693,-13.369999,,"",,,,,"D1 PROFILE",,,
"82013600000073","Nodes","73",21.000000,30.443892,"DDS demands","Known Flow",410884.523866,104167.363573,,0.000000,,,,,-3.710000,,,,-3.317548,-3.710000,,"",,,,,"D1 PROFILE",,,
