"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"C2","Flow Categories",-12.659999,0.000000,1.000000,"Volumetric",-1.000000
"D1","Flow Categories",-2432.149996,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-9.700000,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-25.979999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-4.590000,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-38.219998,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-5.810000,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",,,1.000000,"Volumetric",-1.000000
