"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-11943.979980,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-1308.729993,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-1097.529995,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-354.799999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-930.679967,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-707.500010,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-763.429990,0.000000,1.000000,"Volumetric",-1.000000
"CC","Flow Categories",-193.250000,0.000000,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-65.399998,0.000000,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"CT","Flow Categories",,,1.000000,"Volumetric",-1.000000
"DL","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",-26.860000,0.000000,1.000000,"Volumetric",-1.000000
