"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82017600000040","Nodes","40",21.000000,34.134296,"DDS demands","Known Flow",385539.121065,124930.311205,,0.000000,,,,-5.780000,,,-5.168579,-5.780000,,"",,,,"D1 PROFILE",,
"82017600000018","Nodes","18",21.000000,34.102743,"DDS demands","Known Flow",385568.355540,124918.273480,,0.000000,,,,-1.519999,,,-1.359211,-1.519999,,"",,,,"D1 PROFILE",,
"82017600000043","Nodes","43",21.000000,28.279974,"DDS demands","Known Flow",384641.620820,126295.436576,,0.000000,,,,-5.550000,,0.000000,-4.962909,-5.550000,,"",,,,"D1 PROFILE",,"I2 PROFILE"
"82017600001001","Nodes","1001",21.000000,31.531798,"Default Known Flow Node","Known Flow",384662.453119,126242.336383,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600000024","Nodes","P00104615, The Street, Former Case and Sons, 74.22",24.000000,43.109949,"CSEP DDS Matched","Known Flow",384686.997965,126090.253329,,0.000000,,,,,-55.960000,,-50.040433,-55.960000,,"",,,,,"DC PROFILE",
"82017600008005","Nodes","8005",21.000000,23.950314,"Default Known Flow Node","Known Flow",384719.082500,124466.430625,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600001000","Nodes","1000",21.000000,24.039085,"Default Known Flow Node","Known Flow",384771.082500,124504.063437,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008004","Nodes","8004",21.000000,24.039085,"Default Known Flow Node","Known Flow",384914.551250,124525.993125,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008003","Nodes","8003",21.000000,24.602239,"Default Known Flow Node","Known Flow",384969.676250,124559.258750,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008013","Nodes","8013",21.000000,24.474359,"Default Known Flow Node","Known Flow",384958.895000,124552.922812,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008012","Nodes","8012",21.000000,24.083265,"Default Known Flow Node","Known Flow",384926.270000,124532.961875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008011","Nodes","8011",21.000000,24.039085,"DDS demands","Known Flow",384922.770000,124530.430625,,0.000000,-34.860001,,,,,,-31.172436,-34.860001,,"","C2 PROFILE",,,,,
"82017600008009","Nodes","8009",21.000000,24.429057,"Default Known Flow Node","Known Flow",384896.770000,124673.133750,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008010","Nodes","8010",21.000000,24.429057,"Default Known Flow Node","Known Flow",384812.520000,124643.836875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008006","Nodes","8006",21.000000,24.537752,"Default Known Flow Node","Known Flow",384943.551250,124603.227500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008002","Nodes","8002",21.000000,24.421025,"Default Known Flow Node","Known Flow",384890.457500,124673.946250,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008008","Nodes","8008",21.000000,24.017908,"DDS demands","Known Flow",384826.770000,124695.172812,,0.000000,,,,-10.280000,,,-9.192560,-10.280000,,"",,,,"D1 PROFILE",,
"82017600008007","Nodes","8007",21.000000,24.582109,"Default Known Flow Node","Known Flow",384987.082500,124612.477500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008001","Nodes","Port Regis School DG",21.000000,24.999999,"Default Known Pressure Node","Known Pressure",384981.707500,124565.922812,,979.999988,,,,,,,40.364991,45.140001,,"",,,,,,
"82017600000037","Nodes","37",21.000000,54.997842,"DDS demands","Known Flow",384939.120901,125575.186380,,0.000000,,,,-4.790000,,,-4.283303,-4.790000,,"",,,,"D1 PROFILE",,
"82017600000019","Nodes","19",21.000000,55.071137,"DDS demands","Known Flow",384961.620907,125540.936371,,0.000000,,,,-10.960000,,,-9.800629,-10.960000,,"",,,,"D1 PROFILE",,
"82017600000016","Nodes","16",21.000000,56.268722,"DDS demands","Known Flow",385051.245932,125208.186280,,0.000000,,,,-6.409999,,,-5.731936,-6.409999,,"",,,,"D1 PROFILE",,
"82017600000017","Nodes","17",21.000000,42.943889,"DDS demands","Known Flow",385179.495967,125120.436256,,0.000000,,,,-14.380000,,,-12.858853,-14.380000,,"",,,,"D1 PROFILE",,
"82017600000047","Nodes","47",21.000000,34.101880,"DDS demands","Known Flow",385570.996073,124917.186201,,0.000000,,,,-2.079999,,,-1.859973,-2.079999,,"",,,,"D1 PROFILE",,
"82017600000029","Nodes","29",21.000000,34.905803,"DDS demands","Known Flow",384944.931175,125885.394181,,0.000000,,,,-7.469999,,,-6.679807,-7.469999,,"",,,,"D1 PROFILE",,
"82017600000022","Nodes","22",21.000000,31.343614,"DDS demands","Known Flow",385009.352470,125891.040026,,0.000000,,,,-22.419998,,,-20.048364,-22.419998,,"",,,,"D1 PROFILE",,
"82017600000023","Nodes","23",21.000000,30.467728,"DDS demands","Known Flow",385273.495992,125762.186431,,0.000000,,,,-6.710000,,,-6.000202,-6.710000,,"",,,,"D1 PROFILE",,
"82017600000021","Nodes","21",21.000000,58.994650,"DDS demands","Known Flow",384715.245840,125854.561456,,0.000000,,,0.000000,-17.260000,,,-15.434201,-17.260000,,"",,,"C4 PROFILE","D1 PROFILE",,
"82017600000062","Nodes","62",21.000000,58.221947,"DDS demands","Known Flow",384729.870844,125830.561450,,0.000000,,,,-1.090000,,,-0.974697,-1.090000,,"",,,,"D1 PROFILE",,
"82017600000002","Nodes","New Lane DG",21.000000,60.000001,"Default Known Pressure Node","Known Pressure",384635.745819,125834.061451,,2099.999985,,,,,,,313.394744,350.468036,,"",,,,,,
"82017600000032","Nodes","32",21.000000,23.386266,"DDS demands","Known Flow",384575.870802,126614.436663,,0.000000,,,,-13.990000,,,-12.510108,-13.990000,,"",,,,"D1 PROFILE",,
"82017600000048","Nodes","48",21.000000,23.192866,"Default Known Flow Node","Known Flow",384388.014455,126556.205111,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600008000","Nodes","8000",21.000000,23.098522,"Val Log Post","Known Flow",384332.870736,126654.561674,,0.000000,,-9.999999,,,,,-8.942178,-9.999999,,"",,"C3  PROFILE",,,,
"82017600000039","Nodes","39",21.000000,34.254336,"Val Log Post","Known Flow",385692.976465,124875.199032,,0.000000,,,,-4.619999,,,-4.131286,-4.619999,,"",,,,"D1 PROFILE",,
"82017600000033","Nodes","33",21.000000,21.525511,"DDS demands","Known Flow",384813.620867,126657.311675,,0.000000,,,,-12.109999,,,-10.828979,-12.109999,,"",,,,"D1 PROFILE",,
"82017600000060","Nodes","60",21.000000,24.007558,"DDS demands","Known Flow",384605.120810,126515.686636,,0.000000,,,,-0.720000,,,-0.643836,-0.720000,,"",,,,"D1 PROFILE",,
"82017600000031","Nodes","31",21.000000,24.966035,"DDS demands","Known Flow",384625.495816,126389.061602,,0.000000,,,,-18.440000,,,-16.489378,-18.440000,,"",,,,"D1 PROFILE",,
"82017600000034","Nodes","34",21.000000,24.893271,"DDS demands","Known Flow",384601.745809,126386.436601,,0.000000,,,,-3.599999,,,-3.219184,-3.599999,,"",,,,"D1 PROFILE",,
"82017600000036","Nodes","36",21.000000,23.963164,"DDS demands","Known Flow",384567.120800,126335.061587,,0.000000,,,,-12.420000,,,-11.106186,-12.420000,,"",,,,"D1 PROFILE",,
"82017600000035","Nodes","35",21.000000,24.631428,"DDS demands","Known Flow",384559.370798,126385.311601,,0.000000,,,,-7.880000,,,-7.046437,-7.880000,,"",,,,"D1 PROFILE",,
"82017600000026","Nodes","26",21.000000,27.372374,"DDS demands","Known Flow",384634.132811,126319.516609,,0.000000,,,,-1.490000,,,-1.332384,-1.490000,,"",,,,"D1 PROFILE",,
"82017600000044","Nodes","44",21.000000,28.091574,"DDS demands","Known Flow",384628.995817,126293.061576,,0.000000,,,,-7.099999,,,-6.348946,-7.099999,,"",,,,"D1 PROFILE",,
"82017600000046","Nodes","46",21.000000,27.602542,"DDS demands","Known Flow",384566.609015,126286.477634,,0.000000,,,,-9.279999,,,-8.298341,-9.279999,,"",,,,"D1 PROFILE",,
"82017600000045","Nodes","45",21.000000,28.085890,"DDS demands","Known Flow",384608.370811,126296.811577,,0.000000,,,,-1.770000,,,-1.582765,-1.770000,,"",,,,"D1 PROFILE",,
"82017600000025","Nodes","25",21.000000,39.000801,"DDS demands","Known Flow",384680.495831,126131.311532,,0.000000,,,,-2.730000,,,-2.441214,-2.730000,,"",,,,"D1 PROFILE",,
"82017600000013","Nodes","13",21.000000,59.861762,"DDS demands","Known Flow",384761.745853,125188.936275,,0.000000,,,,-2.150000,,,-1.922568,-2.150000,,"",,,,"D1 PROFILE",,
"82017600000012","Nodes","12",21.000000,59.953410,"DDS demands","Known Flow",384861.620342,125204.811230,,0.000000,,,,-1.200000,,,-1.073061,-1.200000,,"",,,,"D1 PROFILE",,
"82017600000014","Nodes","14",21.000000,57.884319,"DDS demands","Known Flow",384956.878791,125218.147379,,0.000000,,,,-5.729999,,,-5.123868,-5.729999,,"",,,,"D1 PROFILE",,
"82017600000001","Nodes","Church Walk DG",21.000000,60.000001,"Default Known Pressure Node","Known Pressure",384869.077404,125179.240038,,419.999989,,,,,,,105.179654,117.621961,,"",,,,,,
"82017600000015","Nodes","15",21.000000,57.798852,"DDS demands","Known Flow",384963.503791,125219.147379,,0.000000,,,,-8.979999,,,-8.030076,-8.979999,,"",,,,"D1 PROFILE",,
"82017600000041","Nodes","41",21.000000,33.702898,"DDS demands","Known Flow",385530.121062,125012.811227,,0.000000,,,,-7.999999,,,-7.153743,-7.999999,,"",,,,"D1 PROFILE",,
"82017600000038","Nodes","38",21.000000,54.861777,"DDS demands","Known Flow",384998.495917,125616.061391,,0.000000,,,,-5.449999,,,-4.873487,-5.449999,,"",,,,"D1 PROFILE",,
"82017600000020","Nodes","20",21.000000,54.934899,"DDS demands","Known Flow",384886.120887,125640.561398,,0.000000,,,,-26.580000,,,-23.768313,-26.580000,,"",,,,"D1 PROFILE",,
"82017600000030","Nodes","30",21.000000,34.346629,"DDS demands","Known Flow",384949.245904,125976.061489,,0.000000,,,,-6.489999,,,-5.803474,-6.489999,,"",,,,"D1 PROFILE",,
"82017600000027","Nodes","27",21.000000,52.961957,"DDS demands","Known Flow",384937.758139,125682.133063,,0.000000,,,,-12.440000,,,-11.124070,-12.440000,,"",,,,"D1 PROFILE",,
"82017600000028","Nodes","28",21.000000,52.766180,"DDS demands","Known Flow",385002.745919,125678.311408,,0.000000,,,,-6.579999,,,-5.883953,-6.579999,,"",,,,"D1 PROFILE",,
"82017600000061","Nodes","61",21.000000,24.007558,"Default Known Flow Node","Known Flow",384580.495804,126476.686625,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600000054","Nodes","54",21.000000,51.800309,"Default Known Flow Node","Known Flow",384909.496827,125760.191346,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600000050","Nodes","50",21.000000,52.060439,"DDS demands","Known Flow",384959.870907,125729.186422,,0.000000,,,,-23.620001,,,-21.121428,-23.620001,,"",,,,"D1 PROFILE",,
"82017600000049","Nodes","49",21.000000,51.787689,"Default Known Flow Node","Known Flow",384891.606341,125763.358937,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600000053","Nodes","53",21.000000,51.965910,"Default Known Flow Node","Known Flow",384966.061001,125837.035097,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600000051","Nodes","51",21.000000,52.050477,"DDS demands","Known Flow",385006.995920,125780.186436,,0.000000,,,,-7.199999,,,-6.438368,-7.199999,,"",,,,"D1 PROFILE",,
"82017600009000","Nodes",,21.000000,59.952609,"Default Known Flow Node","Known Flow",384853.370878,125204.061279,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600009003","Nodes",,21.000000,59.954179,"Default Known Flow Node","Known Flow",384864.370881,125205.061279,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600009005","Nodes",,21.000000,59.952703,"Default Known Flow Node","Known Flow",384858.374978,125204.516197,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600009006","Nodes",,21.000000,59.863159,"Default Known Flow Node","Known Flow",384862.095880,125247.729291,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"82017600009007","Nodes",,21.000000,59.858331,"DDS demands","Known Flow",384863.295881,125248.686291,,0.000000,,,,-5.229999,,,-4.676759,-5.229999,,"",,,,"D1 PROFILE",,
"82017600009010","Nodes",,21.000000,51.801115,"Default Known Flow Node","Known Flow",384894.495889,125764.561432,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
