"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82017800000143","Nodes","","21.000000","62.640346","DDS demands","Known Flow","490000.747490","106446.590175","","0.000000","","","","","-4.079999","","","-3.648408","-4.079999","","","","","","","D1 PROFILE","",""
"82017800000144","Nodes","","21.000000","62.547038","DDS demands","Known Flow","489949.747476","106476.263183","","0.000000","","","","","-4.900000","","","-4.381668","-4.900000","","","","","","","D1 PROFILE","",""
"82017800000020","Nodes","","21.000000","69.908034","Default Known Flow Node","Known Flow","490608.773845","106461.306082","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000001","Nodes","Woodfield Close DG, Site ID 1558","21.000000","69.999999","Default Known Pressure Node","Known Pressure","490615.639657","106448.192176","","5149.999957","","","","","","","","477.015873","533.444830","","","","","","","","",""
"82017800000074","Nodes","","21.000000","68.571360","DDS demands","Known Flow","490587.362074","107328.162587","","0.000000","","","","","-2.650000","","","-2.369677","-2.650000","","","","","","","D1 PROFILE","",""
"82017800000236","Nodes","","21.000000","57.455027","DDS demands","Known Flow","490371.094590","106337.269145","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000040","Nodes","","21.000000","57.597017","DDS demands","Known Flow","490371.538591","106347.500148","","0.000000","","","","","-10.450000","","","-9.344577","-10.450000","","","","","","","D1 PROFILE","",""
"82017800000041","Nodes","","21.000000","56.920660","DDS demands","Known Flow","490390.648596","106284.506131","","0.000000","","","","","-0.939999","","","-0.840564","-0.939999","","","","","","","D1 PROFILE","",""
"82017800000104","Nodes","","21.000000","67.198894","DDS demands","Known Flow","490011.268493","104930.387763","","0.000000","","","","","-1.100000","","","-0.983639","-1.100000","","","","","","","D1 PROFILE","",""
"82017800000149","Nodes","","21.000000","56.024279","DDS demands","Known Flow","490592.201651","106726.361251","","0.000000","","","","","-11.100000","","","-9.925818","-11.100000","","","","","","","D1 PROFILE","",""
"82017800008000","Nodes","","21.000000","56.011083","Default Known Flow Node","Known Flow","490587.583259","106725.191848","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000148","Nodes","","21.000000","55.951696","DDS demands","Known Flow","490572.888645","106711.660247","","0.000000","","","","","-6.979999","","","-6.241640","-6.979999","","","","","","","D1 PROFILE","",""
"82017800000189","Nodes","","21.000000","68.199133","Default Known Flow Node","Known Flow","490994.858768","106476.432145","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000190","Nodes","","21.000000","68.198738","DDS demands","Known Flow","490972.899754","106472.233182","","0.000000","","","","","-0.399999","","","-0.357687","-0.399999","","","","","","","D1 PROFILE","",""
"82017800000198","Nodes","","21.000000","68.106268","DDS demands","Known Flow","491086.159785","106449.261176","","0.000000","","","","","-8.680000","","","-7.761811","-8.680000","","","","","","","D1 PROFILE","",""
"82017800000178","Nodes","","21.000000","68.194822","DDS demands","Known Flow","490887.083589","106484.106422","","0.000000","","","","","-15.390000","","","-13.762014","-15.390000","","","","","","","D1 PROFILE","",""
"82017800000094","Nodes","","21.000000","69.737741","DDS demands","Known Flow","490277.257030","106182.086045","","0.000000","","","","","-9.189999","","","-8.217862","-9.189999","","","","","","","D1 PROFILE","",""
"82017800000086","Nodes","","21.000000","69.972349","DDS demands","Known Flow","490304.243572","106181.493103","","0.000000","","","","","-7.999999","","","-7.153743","-7.999999","","","","","","","D1 PROFILE","",""
"82017800000005","Nodes","Church Lane DG, Site ID 3613","21.000000","69.999999","Default Known Pressure Node","Known Pressure","490304.228572","106184.774104","","2099.999985","","","","","","","","79.129328","88.490000","","","","","","","","",""
"82017800000168","Nodes","","21.000000","68.566527","DDS demands","Known Flow","490825.412714","106484.422185","","0.000000","","","","","-5.889999","","","-5.266943","-5.889999","","","","","","","D1 PROFILE","",""
"82017800000179","Nodes","","21.000000","68.133774","DDS demands","Known Flow","490861.733724","106454.465177","","0.000000","","","","","-2.170000","","","-1.940452","-2.170000","","","","","","","D1 PROFILE","",""
"82017800000183","Nodes","","21.000000","67.625762","DDS demands","Known Flow","490927.225878","106521.767470","","0.000000","","","","","-0.869999","","","-0.777969","-0.869999","","","","","","","D1 PROFILE","",""
"82017800000202","Nodes","","21.000000","67.397264","DDS demands","Known Flow","490925.179731","106540.051817","","0.000000","","","","","-10.060000","","","-8.995832","-10.060000","","","","","","","D1 PROFILE","",""
"82017800000184","Nodes","P08117997, City Fields Way, CT 87.79","22.999998","67.180697","CSEP DDS Matched","Known Flow","490922.843741","106560.926206","","0.000000","","","","","-2.069999","-87.790003","","-80.354421","-89.860002","","","","","","","D1 PROFILE","DC PROFILE",""
"82017800000083","Nodes","","21.000000","69.211450","Default Known Flow Node","Known Flow","490528.715478","106183.765770","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000004","Nodes","Hayleybridge Walk DG","21.000000","69.999999","Default Known Pressure Node","Known Pressure","490546.969638","106173.998101","","399.999988","","","","","","","","27.515081","30.770000","","","","","","","","",""
"82017800000027","Nodes","","21.000000","64.081700","DDS demands","Known Flow","490519.868631","106336.877145","","0.000000","","","","","-4.839999","","","-4.328014","-4.839999","","","","","","","D1 PROFILE","",""
"82017800000028","Nodes","","21.000000","64.055859","DDS demands","Known Flow","490506.202027","106338.992152","","0.000000","","","","","-2.339999","","","-2.092469","-2.339999","","","","","","","D1 PROFILE","",""
"82017800000029","Nodes","","21.000000","64.024988","DDS demands","Known Flow","490473.036084","106349.874696","","0.000000","","","","","-3.150000","","","-2.816786","-3.150000","","","","","","","D1 PROFILE","",""
"82017800000045","Nodes","","21.000000","72.593367","Default Known Flow Node","Known Flow","490605.976654","106892.269296","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000044","Nodes","","21.000000","74.768428","Default Known Flow Node","Known Flow","490622.763619","106948.031174","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000002","Nodes","Garland Square DG","21.000000","74.999996","Default Known Pressure Node","Known Pressure","490626.897660","106951.832313","","359.999986","","","","","","","","143.812716","160.825157","","","","","","","","",""
"82017800000053","Nodes","","21.000000","70.249312","DDS demands","Known Flow","490584.557649","106832.830280","","0.000000","","","","","-8.830000","","","-7.895944","-8.830000","","","","","","","D1 PROFILE","",""
"82017800000054","Nodes","","21.000000","70.125695","Default Known Flow Node","Known Flow","490606.271753","106835.913696","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000055","Nodes","","21.000000","69.940706","DDS demands","Known Flow","490638.761663","106840.527282","","0.000000","-17.479999","","","","","","","-15.630928","-17.479999","","","C1 PROFILE","","","","","",""
"82017800000222","Nodes","","21.000000","59.157221","Default Known Flow Node","Known Flow","490599.176653","106623.561223","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000110","Nodes","","21.000000","69.434042","DDS demands","Known Flow","490257.230559","104939.691765","","0.000000","","","","","-13.590000","","","-12.152421","-13.590000","","","","","","","D1 PROFILE","",""
"82017800000106","Nodes","","21.000000","69.518083","DDS demands","Known Flow","490239.182555","104915.037758","","0.000000","","","","","-12.680000","","","-11.338683","-12.680000","","","","","","","D1 PROFILE","",""
"82017800000107","Nodes","","21.000000","69.384480","DDS demands","Known Flow","490290.047568","104842.414739","","0.000000","","","","","-7.770000","","","-6.948073","-7.770000","","","","","","","D1 PROFILE","",""
"82017800000108","Nodes","","21.000000","69.216710","DDS demands","Known Flow","490352.733585","104861.634744","","0.000000","","","","","-5.150000","","","-4.605222","-5.150000","","","","","","","D1 PROFILE","",""
"82017800000109","Nodes","","21.000000","69.384480","Default Known Flow Node","Known Flow","490374.545591","104791.080725","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000101","Nodes","","21.000000","67.892594","DDS demands","Known Flow","490127.839572","104936.795286","","0.000000","-3.170000","","","","-29.780000","","","-29.464480","-32.950000","","","C1 PROFILE","","","","D1 PROFILE","",""
"82017800000100","Nodes","","21.000000","69.887429","Default Known Flow Node","Known Flow","490195.288543","104934.452764","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82017800000006","Nodes","High Street DG, SIte ID 2103","21.000000","69.999999","Default Known Pressure Node","Known Pressure","490193.250542","104929.729762","","359.999986","","","","","","","","123.464653","138.070003","","","","","","","","",""
"82017800000111","Nodes","","21.000000","69.424433","DDS demands","Known Flow","490228.483552","104965.013772","","0.000000","","","","","-1.869999","","","-1.672187","-1.869999","","","","","","","D1 PROFILE","",""
"82017800000117","Nodes","","21.000000","68.461592","DDS demands","Known Flow","490172.787537","105107.240811","","0.000000","","","","","-3.910000","","","-3.496392","-3.910000","","","","","","","D1 PROFILE","",""
"82017800000116","Nodes","","21.000000","68.497679","DDS demands","Known Flow","490198.076543","105114.165813","","0.000000","","","","","-4.940000","","","-4.417436","-4.940000","","","","","","","D1 PROFILE","",""
"82017800000112","Nodes","","21.000000","68.759365","DDS demands","Known Flow","490218.114549","105073.042801","","0.000000","","","","","-4.579999","","","-4.095518","-4.579999","","","","","","","D1 PROFILE","",""
"82017800000114","Nodes","","21.000000","68.737009","DDS demands","Known Flow","490211.614547","105081.133804","","0.000000","","","","","-2.039999","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","",""
