"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-829.260002","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-22.090000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-56.860000","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-143.720001","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-31.999999","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-40.429999","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CT","Flow Categories","","","1.000000","Volumetric","-1.000000"
