"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"82060900000080","Nodes","80",21.000000,25.977347,"DDS demands","Known Flow",382799.593750,110471.000000,,0.000000,,,,,,-2.970000,,-2.655827,-2.970000,,"",,,,,,"D1 PROFILE",
"82060900000003","Nodes","WHITEPIT LANE, SHILLINGSTONE",21.000000,25.999999,"Default Known Pressure Node","Known Pressure",382800.000000,110468.500000,,419.999989,,,,,,,,67.031091,74.960586,,"",,,,,,,
"82060900000025","Nodes","25",21.000000,40.895847,"DDS demands","Known Flow",383155.718750,113075.023437,,0.000000,,,-14.409999,,,-3.960000,,-16.426782,-18.369999,,"",,,"C3  PROFILE",,,"D1 PROFILE",
"82060900000027","Nodes","27",21.000000,40.341027,"Default Known Flow Node","Known Flow",383086.093750,113169.898437,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000026","Nodes","26",21.000000,40.981396,"Default Known Flow Node","Known Flow",383158.406250,113140.000000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000023","Nodes","23",21.000000,41.028862,"DDS demands","Known Flow",383176.093750,113060.796875,,0.000000,,,,,,-6.530000,,-5.839243,-6.530000,,"",,,,,,"D1 PROFILE",
"82060900000122","Nodes","-222756",21.000000,40.287351,"Default Known Flow Node","Known Flow",383065.625000,113166.132812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000111","Nodes","111",21.000000,40.365080,"DDS demands","Known Flow",383021.687500,113196.609375,,0.000000,,,,,,-1.259999,,-1.126714,-1.259999,,"",,,,,,"D1 PROFILE",
"82060900000108","Nodes","108",21.000000,44.217880,"Default Known Flow Node","Known Flow",383439.593750,113019.296875,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000102","Nodes","102",21.000000,44.642195,"DDS demands","Known Flow",383430.500000,112918.500000,,0.000000,,,,,,-3.710000,,-3.317548,-3.710000,,"",,,,,,"D1 PROFILE",
"82060900000021","Nodes","21",21.000000,46.739667,"Default Known Flow Node","Known Flow",383920.093750,113159.296875,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000020","Nodes","20",21.000000,46.824723,"DDS demands","Known Flow",383873.406250,113058.601562,,0.000000,,,,,,-4.579999,,-4.095518,-4.579999,,"",,,,,,"D1 PROFILE",
"82060900000054","Nodes","54",21.000000,44.518151,"DDS demands","Known Flow",383014.000000,112530.796875,,0.000000,,,,,,-8.319999,,-7.439892,-8.319999,,"",,,,,,"D1 PROFILE",
"82060900000056","Nodes","56",21.000000,44.143718,"DDS demands","Known Flow",382997.406250,112555.500000,,0.000000,,,,,,-14.449999,,-12.921448,-14.449999,,"",,,,,,"D1 PROFILE",
"82060900000072","Nodes","72",21.000000,21.414987,"DDS demands","Known Flow",382951.406250,110862.796875,,0.000000,,,-9.859999,,,-6.699999,,-14.808248,-16.559999,,"",,,"C3  PROFILE",,,"D1 PROFILE",
"82060900000071","Nodes","71",21.000000,22.455736,"DDS demands","Known Flow",382912.500000,110797.898437,,0.000000,,,,,,-6.699999,,-5.991259,-6.699999,,"",,,,,,"D1 PROFILE",
