"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-967.109998,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-6.570000,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-3.499999,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-48.499999,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-DC","Flow Categories",,,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-34.250000,0.000000,1.000000,"Volumetric",-1.000000
