"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82221300001042","Nodes","1042",21.000000,24.862623,"Default Known Flow Node","Known Flow",455245.458156,81866.197497,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82221300001041","Nodes","1041",21.000000,24.862623,"Default Known Flow Node","Known Flow",455244.718853,81864.539061,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82221300001037","Nodes","1037",21.000000,47.613490,"Default Known Flow Node","Known Flow",456625.306761,83927.001239,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82221300000062","Nodes","62",21.000000,47.613490,"Default Known Flow Node","Known Flow",456619.838150,83999.357074,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82221300000115","Nodes","115",21.000000,46.148095,"DDS demands","Known Flow",456645.517276,83938.442729,,0.000000,,,,,-12.560000,,,,-11.231377,-12.560000,,"",,,,,"D1 PROFILE",,,
"82221300000010","Nodes","10",21.000000,44.322888,"DDS demands","Known Flow",456640.253135,84080.113468,,0.000000,,,,,-27.260001,,,,-24.376380,-27.260001,,"",,,,,"D1 PROFILE",,,
"82221300000044","Nodes","44",21.000000,45.141100,"DDS demands","Known Flow",456320.886784,83949.901512,,0.000000,,,,,-11.819999,,,,-10.569655,-11.819999,,"",,,,,"D1 PROFILE",,,
"82221300000043","Nodes","43",21.000000,45.364087,"DDS demands","Known Flow",456398.974580,84029.657108,,0.000000,,,,,-8.649999,,,,-7.734984,-8.649999,,"",,,,,"D1 PROFILE",,,
"82221300000099","Nodes","99",21.000000,45.910795,"DDS demands","Known Flow",456427.925746,83985.190158,,0.000000,,,,,-2.519999,,,,-2.253428,-2.519999,,"",,,,,"D1 PROFILE",,,
"82221300000076","Nodes","76",21.000000,21.845134,"DDS demands","Known Flow",455919.906618,85986.821150,,0.000000,,,,,-4.119999,,,,-3.684177,-4.119999,,"",,,,,"D1 PROFILE",,,
"82221300000075","Nodes","75",21.000000,21.844723,"DDS demands","Known Flow",455886.909447,85973.112710,,0.000000,,,,,-9.460000,,,,-8.459301,-9.460000,,"",,,,,"D1 PROFILE",,,
"82221300000018","Nodes","18",21.000000,45.458735,"DDS demands","Known Flow",456110.544532,84132.453198,,0.000000,,,,,-34.159999,,,,-30.546482,-34.159999,,"",,,,,"D1 PROFILE",,,
