"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)"
"82222900000049","Nodes",,21.000000,29.062784,"DDS demands","Known Flow",430904.946198,139902.488497,,0.000000,,-1.109999,-0.992581,-1.109999,,"",,"D1 PROFILE"
"82222900000007","Nodes",,21.000000,41.485220,"Default Known Flow Node","Known Flow",430559.091410,139683.875855,,0.000000,,,0.000000,0.000000,,"",,
"82222900000062","Nodes",,21.000000,41.356064,"Default Known Flow Node","Known Flow",430513.338826,139467.973806,,0.000000,,,0.000000,0.000000,,"",,
"82222900000008","Nodes",,21.000000,41.356064,"Default Known Flow Node","Known Flow",430494.218297,139477.404163,,0.000000,,,0.000000,0.000000,,"",,
"82222900000022","Nodes",,21.000000,26.953688,"Default Known Flow Node","Known Flow",430851.745395,139728.635231,,0.000000,,0.000000,0.000000,0.000000,,"",,"D1 PROFILE"
"82222900000050","Nodes",,21.000000,41.493464,"DDS demands","Known Flow",430557.193406,139713.069172,,0.000000,,-8.159999,-7.296817,-8.159999,,"",,"D1 PROFILE"
"82222900000009","Nodes",,21.000000,41.442164,"Default Known Flow Node","Known Flow",430591.365324,139655.383212,,0.000000,0.000000,,0.000000,0.000000,,"","C1 PROFILE",
"82222900000001","Nodes","Middle Wallop DG, Site ID 9095",21.000000,41.499999,"Default Known Pressure Node","Known Pressure",430556.136637,139711.312931,,18209.999754,,,136.484475,152.629993,,"",,
"82222900000067","Nodes",,21.000000,37.985649,"DDS demands","Known Flow",430663.923343,139866.905269,,0.000000,,-0.829999,-0.742200,-0.829999,,"",,"D1 PROFILE"
"82222900000059","Nodes",,21.000000,34.086444,"DDS demands","Known Flow",430700.400353,139879.642273,,0.000000,,-7.820000,-6.992784,-7.820000,,"",,"D1 PROFILE"
"82222900000068","Nodes",,21.000000,37.902783,"DDS demands","Known Flow",430605.988328,139816.602255,,0.000000,,-8.550000,-7.645563,-8.550000,,"",,"D1 PROFILE"
"82222900000086","Nodes",,21.000000,36.264661,"DDS demands","Known Flow",430708.326717,139806.867627,,0.000000,,-3.989999,-3.567929,-3.989999,,"",,"D1 PROFILE"
"82222900000012","Nodes",,21.000000,26.375331,"DDS demands","Known Flow",430676.602347,139700.448224,,0.000000,,-4.159999,-3.719946,-4.159999,,"",,"D1 PROFILE"
"82222900000010","Nodes",,21.000000,21.022471,"DDS demands","Known Flow",430654.493341,139688.418220,,0.000000,,-9.670000,-8.647087,-9.670000,,"",,"D1 PROFILE"
"82222900000013","Nodes",,21.000000,21.189808,"DDS demands","Known Flow",430699.075011,139663.383189,,0.000000,,-3.520000,-3.147647,-3.520000,,"",,"D1 PROFILE"
"82222900000030","Nodes",,21.000000,26.864619,"DDS demands","Known Flow",430763.653371,139786.195247,,0.000000,,-3.680000,-3.290721,-3.680000,,"",,"D1 PROFILE"
"82222900000066","Nodes",,21.000000,26.603421,"DDS demands","Known Flow",430762.875370,139734.430233,,0.000000,,-9.159999,-8.191036,-9.159999,,"",,"D1 PROFILE"
"82222900000028","Nodes",,21.000000,26.467546,"DDS demands","Known Flow",430778.546375,139685.199220,,0.000000,,-0.959999,-0.858449,-0.959999,,"",,"D1 PROFILE"
"82222900000044","Nodes",,21.000000,33.662876,"DDS demands","Known Flow",430789.785378,139938.476289,,0.000000,,-5.749999,-5.141752,-5.749999,,"",,"D1 PROFILE"
"82222900000027","Nodes",,21.000000,26.786140,"DDS demands","Known Flow",430785.468372,139740.337253,,0.000000,,-2.840000,-2.539578,-2.840000,,"",,"D1 PROFILE"
"82222900000048","Nodes",,21.000000,33.650174,"DDS demands","Known Flow",430839.544391,139906.658280,,0.000000,,-1.739999,-1.555939,-1.739999,,"",,"D1 PROFILE"
"82222900000016","Nodes",,21.000000,23.984571,"Default Known Flow Node","Known Flow",430840.936392,139596.987196,,0.000000,,0.000000,0.000000,0.000000,,"",,"D1 PROFILE"
"82222900000039","Nodes",,21.000000,28.982320,"DDS demands","Known Flow",430866.402399,139830.939259,,0.000000,,-5.099999,-4.560511,-5.099999,,"",,"D1 PROFILE"
"82222900000017","Nodes",,21.000000,23.984571,"DDS demands","Known Flow",430834.056390,139618.028201,,0.000000,,-7.620000,-6.813940,-7.620000,,"",,"D1 PROFILE"
"82222900000037","Nodes",,21.000000,28.850213,"Default Known Flow Node","Known Flow",430890.463405,139821.388257,,0.000000,,0.000000,0.000000,0.000000,,"",,"D1 PROFILE"
"82222900000014","Nodes",,21.000000,21.788042,"DDS demands","Known Flow",430757.940584,139621.268332,,0.000000,,-12.560000,-11.231377,-12.560000,,"",,"D1 PROFILE"
"82222900000151","Nodes",,21.000000,39.580024,"Default Known Flow Node","Known Flow",430603.110327,139786.195247,,0.000000,,,0.000000,0.000000,,"",,
"82222900000152","Nodes",,21.000000,39.493546,"DDS demands","Known Flow",430667.543344,139750.273237,,0.000000,,-3.299999,-2.950918,-3.299999,,"",,"D1 PROFILE"
"82222900000153","Nodes",,21.000000,38.085488,"Default Known Flow Node","Known Flow",430640.023337,139798.333250,,0.000000,,,0.000000,0.000000,,"",,
"82222900000154","Nodes",,21.000000,38.172208,"Default Known Flow Node","Known Flow",430682.818349,139830.617259,,0.000000,,,0.000000,0.000000,,"",,
"82222900000155","Nodes",,21.000000,22.892837,"Default Known Flow Node","Known Flow",430144.650202,139981.124300,,0.000000,,,0.000000,0.000000,,"",,
"82222900000191","Nodes",,21.000000,22.803827,"Default Known Flow Node","Known Flow",430244.935905,139923.610175,,0.000000,,,0.000000,0.000000,,"",,
