"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"82226800008000","Nodes","8000",21.000000,21.529230,"DDS demands","Known Flow",390378.518030,108820.172898,,0.000000,,,,,-2.339999,,,-2.092469,-2.339999,,"",,,,,"D1 PROFILE",,
"82226800000032","Nodes","P09121635, Church Road, -15.79",22.999998,24.277752,"CSEP DDS Matched","Known Flow",390537.267896,108966.168555,,0.000000,,,,,,-15.789999,,-14.119700,-15.789999,,"",,,,,,"DC PROFILE",
"82226800000021","Nodes","21",21.000000,39.067073,"DDS demands","Known Flow",390729.403637,109464.177195,,0.000000,,,,,-6.979999,,,-6.241640,-6.979999,,"",,,,,"D1 PROFILE",,
"82226800000023","Nodes","23",21.000000,39.194914,"DDS demands","Known Flow",390774.832940,109491.211839,,0.000000,,,,,-4.460000,,,-3.988211,-4.460000,,"",,,,,"D1 PROFILE",,
"82226800000037","Nodes","37",21.000000,38.768646,"Default Known Flow Node","Known Flow",390629.839450,109236.803934,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000038","Nodes","38",21.000000,38.644849,"DDS demands","Known Flow",390782.533113,109297.268140,,0.000000,,,,,-2.240000,,,-2.003048,-2.240000,,"",,,,,"D1 PROFILE",,
"82226800000039","Nodes","39",21.000000,38.980007,"DDS demands","Known Flow",390944.193535,109361.245968,,0.000000,,,,,-2.069999,,,-1.851031,-2.069999,,"",,,,,"D1 PROFILE",,
"82226800000041","Nodes","41",21.000000,21.561971,"DDS demands","Known Flow",390411.002048,108836.520562,,0.000000,,,,,-6.110000,,,-5.463671,-6.110000,,"",,,,,"D1 PROFILE",,
"82226800008004","Nodes","-231931",21.000000,23.092752,"Default Known Flow Node","Known Flow",390473.941972,108925.190769,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000072","Nodes","72",21.000000,22.821648,"Default Known Flow Node","Known Flow",390484.493917,108807.729225,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008009","Nodes","-231946",21.000000,22.593432,"Default Known Flow Node","Known Flow",390537.160333,108856.850524,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000075","Nodes","75",21.000000,22.562055,"DDS demands","Known Flow",390540.560425,108865.113833,,0.000000,,,,,-6.769999,,,-6.053854,-6.769999,,"",,,,,"D1 PROFILE",,
"82226800000033","Nodes","33",21.000000,23.602860,"DDS demands","Known Flow",390542.294426,108938.533853,,0.000000,,,,-5.820000,-12.250000,,,-16.158518,-18.070000,,"",,,,"C4 PROFILE","D1 PROFILE",,
"82226800008003","Nodes","-231930",21.000000,27.474604,"DDS demands","Known Flow",390465.318405,109068.187888,,0.000000,,,,,-8.369999,,,-7.484603,-8.369999,,"",,,,,"D1 PROFILE",,
"82226800008002","Nodes","-231927",21.000000,27.474604,"Default Known Flow Node","Known Flow",390459.615403,109068.234889,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000067","Nodes","67",21.000000,38.204251,"Default Known Flow Node","Known Flow",390510.258401,109359.787114,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008011","Nodes","-231958",21.000000,38.128914,"Default Known Flow Node","Known Flow",390574.958435,109253.527939,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008012","Nodes","-231961",21.000000,38.128914,"Default Known Flow Node","Known Flow",390577.835436,109257.650940,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000026","Nodes","26",21.000000,38.031241,"DDS demands","Known Flow",390577.284435,109282.308947,,0.000000,,,,,-5.550000,,,-4.962909,-5.550000,,"",,,,,"D1 PROFILE",,
"82226800000029","Nodes","29",21.000000,34.762070,"DDS demands","Known Flow",390573.859900,109155.784187,,0.000000,,,,,-8.239999,,,-7.368355,-8.239999,,"",,,,,"D1 PROFILE",,
"82226800000049","Nodes","49",21.000000,38.146486,"DDS demands","Known Flow",390791.039494,109388.444976,,0.000000,,,,,-8.390000,,,-7.502488,-8.390000,,"",,,,,"D1 PROFILE",,
"82226800000066","Nodes","66",21.000000,38.604698,"Default Known Flow Node","Known Flow",390534.130084,109359.943221,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000068","Nodes","68",21.000000,38.025590,"DDS demands","Known Flow",390537.057425,109285.304948,,0.000000,,,,,-5.229999,,,-4.676759,-5.229999,,"",,,,,"D1 PROFILE",,
"82226800000051","Nodes","51",21.000000,38.609206,"DDS demands","Known Flow",390535.002285,109363.063018,,0.000000,,,,,-4.330000,,,-3.871963,-4.330000,,"",,,,,"D1 PROFILE",,
"82226800000046","Nodes","46",21.000000,38.651375,"DDS demands","Known Flow",390581.925437,109305.705953,,0.000000,,,,,-4.600000,,,-4.113402,-4.600000,,"",,,,,"D1 PROFILE",,
"82226800000006","Nodes","6",21.000000,38.624983,"DDS demands","Known Flow",390537.220303,109370.848648,,0.000000,,,,,-13.439999,,,-12.018288,-13.439999,,"",,,,,"D1 PROFILE",,
"82226800000007","Nodes","7",21.000000,38.734800,"DDS demands","Known Flow",390602.659232,109384.798097,,0.000000,,-12.000000,,,-3.349999,,,-13.726244,-15.349999,,"",,"C2 PROFILE",,,"D1 PROFILE",,
"82226800000035","Nodes","35",21.000000,27.852973,"DDS demands","Known Flow",390539.562425,109065.519888,,0.000000,,,,,-9.899999,,,-8.852757,-9.899999,,"",,,,,"D1 PROFILE",,
"82226800008010","Nodes","-231957",21.000000,35.857174,"Default Known Flow Node","Known Flow",390573.971987,109183.449904,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000025","Nodes","25",21.000000,38.139936,"DDS demands","Known Flow",390581.090437,109258.994940,,0.000000,-3.020000,,,,-2.269999,,,-4.730413,-5.290000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"82226800000027","Nodes","27",21.000000,38.028594,"DDS demands","Known Flow",390587.131438,109223.938931,,0.000000,,,,,-4.679999,,,-4.184939,-4.679999,,"",,,,,"D1 PROFILE",,
"82226800000024","Nodes","24",21.000000,38.695598,"DDS demands","Known Flow",390601.214442,109275.358945,,0.000000,,,-10.560000,,-3.940000,,,-12.966160,-14.500000,,"",,,"C3  PROFILE",,"D1 PROFILE",,
"82226800008014","Nodes","-231980",21.000000,38.863816,"Default Known Flow Node","Known Flow",390637.225452,109378.916973,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800008013","Nodes","-231969",21.000000,33.687158,"Default Known Flow Node","Known Flow",390610.741445,109101.006897,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82226800000028","Nodes","28",21.000000,38.813396,"DDS demands","Known Flow",390631.580301,109210.791977,,0.000000,,,,,-4.900000,,,-4.381668,-4.900000,,"",,,,,"D1 PROFILE",,
