"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82820900000045","Nodes","45",21.000000,30.665863,"DDS demands","Known Flow",383796.620590,86363.425710,,0.000000,,,,-2.549999,,,,,-2.280255,-2.549999,,"",,,,"D1 PROFILE",,,,
"82820900000044","Nodes","44",21.000000,30.693133,"DDS demands","Known Flow",383803.169286,86327.911630,,0.000000,,,,-3.180000,,,,,-2.843613,-3.180000,,"",,,,"D1 PROFILE",,,,
"82820900021001","Nodes","-21001",21.000000,39.969265,"Default Known Flow Node","Known Flow",384325.489447,86847.327115,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900001001","Nodes","1001",21.000000,39.012945,"DDS demands","Known Flow",384385.628599,86795.599716,,0.000000,,,,,,-78.949995,,,0.000000,0.000000,,"",,,,,,"DH PROFILE",,
"82820900000001","Nodes","1, HYDE ROAD DG, Site ID 3541",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",384322.245733,86846.550842,,2099.999985,,,,,,,,,657.563136,735.349994,,"",,,,,,,,
"82820900000006","Nodes","6",21.000000,39.825051,"DDS demands","Known Flow",384338.386123,86846.406701,,0.000000,,,-2.160000,-8.439999,,,,,-9.478709,-10.599999,,"",,,"C4 PROFILE","D1 PROFILE",,,,
"82820900000009","Nodes","9",21.000000,38.611783,"DDS demands","Known Flow",384430.870763,86800.050829,,0.000000,,,,-4.819999,,,,,-4.310130,-4.819999,,"",,,,"D1 PROFILE",,,,
"82820900001000","Nodes","1000, P00086313, Station Road, 22.15scm/h",28.000000,38.561416,"CSEP DDS Matched","Known Flow",384468.113954,86839.287628,,0.000000,,,,,-22.150000,,,,-19.806927,-22.150000,,"",,,,,"DC PROFILE",,,
"82820900000010","Nodes","10",21.000000,38.559653,"DDS demands","Known Flow",384475.370775,86861.925846,,0.000000,-8.569999,,,-0.550000,,,,,-8.155266,-9.119999,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"82820900000027","Nodes","27",21.000000,36.076816,"Default Known Flow Node","Known Flow",384104.465405,86438.730003,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000028","Nodes","28",21.000000,36.093320,"DDS demands","Known Flow",384106.120675,86456.175736,,0.000000,,,,-1.850000,,,,,-1.654303,-1.850000,,"",,,,"D1 PROFILE",,,,
"82820900000026","Nodes","26",21.000000,36.189386,"Default Known Flow Node","Known Flow",384125.245680,86434.550730,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000029","Nodes","29",21.000000,36.059276,"DDS demands","Known Flow",384100.495673,86427.050728,,0.000000,,,,-3.309999,,,,,-2.959861,-3.309999,,"",,,,"D1 PROFILE",,,,
"82820900000121","Nodes","121",21.000000,30.518163,"Default Known Flow Node","Known Flow",384610.364084,86508.000288,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000122","Nodes","122",21.000000,30.514137,"Default Known Flow Node","Known Flow",384609.963974,86504.999470,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000123","Nodes","123",21.000000,30.491487,"DDS demands","Known Flow",384614.745813,86490.300745,,0.000000,,-10.499999,,,,,,,-9.389287,-10.499999,,"",,"C2 PROFILE",,,,,,
"82820900000120","Nodes","120",21.000000,30.522578,"Default Known Flow Node","Known Flow",384610.803085,86511.292796,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900259763","Nodes","-259763",21.000000,30.507605,"Default Known Flow Node","Known Flow",384613.993864,86532.301057,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
