"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94104302903035","Nodes","2903035",21.000000,27.785105,"DDS demands","Known Flow",517264.875000,143425.075000,,0.000000,,,-4.949999,-4.426378,-4.949999,,"",,,"D1 PROFILE"
"94104302903034","Nodes","2903034",21.000000,27.843601,"DDS demands","Known Flow",517287.875000,143443.325000,,0.000000,,,-7.080000,-6.331062,-7.080000,,"",,,"D1 PROFILE"
"94104302903120","Nodes","2903120",21.000000,28.019839,"Default Known Flow Node","Known Flow",517359.375000,143483.450000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903030","Nodes","2903030",21.000000,28.019847,"Default Known Flow Node","Known Flow",517362.250000,143483.700000,,0.000000,,,0.000000,0.000000,0.000000,,"",,,"D1 PROFILE"
"94104302903037","Nodes","2903037",21.000000,27.682568,"DDS demands","Known Flow",517460.000000,143412.450000,,0.000000,,,-10.050000,-8.986890,-10.050000,,"",,,"D1 PROFILE"
"94104302903036","Nodes","2903036",21.000000,27.965146,"DDS demands","Known Flow",517485.375000,143459.075000,,0.000000,,,-4.630000,-4.140228,-4.630000,,"",,,"D1 PROFILE"
"94104302903119","Nodes","2903119",21.000000,27.838018,"DDS demands","Known Flow",517291.125000,143447.450000,,0.000000,,,-3.890000,-3.478507,-3.890000,,"",,,"D1 PROFILE"
"94104302903033","Nodes","2903033",21.000000,27.943283,"Default Known Flow Node","Known Flow",517336.375000,143435.200000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903031","Nodes","2903031",21.000000,28.019685,"DDS demands","Known Flow",517341.000000,143494.700000,,0.000000,,,-4.650000,-4.158113,-4.650000,,"",,,"D1 PROFILE"
"94104302903122","Nodes","2903122",21.000000,28.026443,"Default Known Flow Node","Known Flow",517368.125000,143495.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903027","Nodes","2903027",21.000000,28.051277,"DDS demands","Known Flow",517518.625000,143490.825000,,0.000000,,,-3.069999,-2.745248,-3.069999,,"",,,"D1 PROFILE"
"94104302903041","Nodes","2903041",21.000000,22.934746,"DDS demands","Known Flow",517801.875000,143411.075000,,0.000000,,,-5.150000,-4.605222,-5.150000,,"",,,"D1 PROFILE"
"94104302903014","Nodes","2903014",21.000000,23.032477,"DDS demands","Known Flow",517750.250000,143359.950000,,0.000000,,,-22.700000,-20.298747,-22.700000,,"",,,"D1 PROFILE"
"94104302903016","Nodes","2903016",21.000000,23.366163,"DDS demands","Known Flow",517534.375000,143357.200000,,0.000000,,,-20.499999,-18.331467,-20.499999,,"",,,"D1 PROFILE"
"94104302903117","Nodes","2903117",21.000000,23.417365,"Default Known Flow Node","Known Flow",517543.875000,143369.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903116","Nodes","2903116",21.000000,23.526195,"DDS demands","Known Flow",517543.250000,143389.450000,,0.000000,,,-9.310000,-8.325168,-9.310000,,"",,,"D1 PROFILE"
"94104302903039","Nodes","2903039",21.000000,23.943262,"DDS demands","Known Flow",517601.125000,143450.950000,,0.000000,,,-18.920000,-16.918603,-18.920000,,"",,,"D1 PROFILE"
"94104302903038","Nodes","2903038",21.000000,24.575880,"Default Known Flow Node","Known Flow",517658.750000,143484.450000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903015","Nodes","2903015",21.000000,23.208848,"DDS demands","Known Flow",517657.375000,143258.325000,,0.000000,,,-0.999999,-0.894217,-0.999999,,"",,,"D1 PROFILE"
"94104302903013","Nodes","2903013",21.000000,24.713081,"DDS demands","Known Flow",517666.500000,143489.950000,,0.000000,,,-8.560000,-7.654505,-8.560000,,"",,,"D1 PROFILE"
