"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"C3","Flow Categories","-225.969999","0.000000","1.000000","Volumetric","-1.000000"
"D1","Flow Categories","-16303.592967","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-335.319997","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-2348.250010","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-909.680987","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-667.920000","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-1414.939990","0.000000","1.000000","Volumetric","-1.000000"
"CH","Flow Categories","-59.899999","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","-35.330001","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-AF","Flow Categories","-328.340002","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"DL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
"PL-DC","Flow Categories","-229.929999","0.000000","1.000000","Volumetric","-1.000000"
