"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94117008104154","Nodes",,21.000000,31.385819,"DDS demands","Known Flow",500346.027305,106465.181180,,0.000000,,,,,-4.060000,,-3.630524,-4.060000,,"",,,,,"D1 PROFILE",
"94117008104060","Nodes",,21.000000,41.114806,"Default Known Flow Node","Known Flow",501005.027919,106945.685854,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117008104061","Nodes",,21.000000,41.006905,"Default Known Flow Node","Known Flow",501140.931668,106904.569358,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117008104038","Nodes",,21.000000,37.101313,"DDS demands","Known Flow",501036.028222,106944.937122,,0.000000,,,,,-17.440000,,-15.595160,-17.440000,,"",,,,,"D1 PROFILE",
"94117008104059","Nodes",,0.000000,41.087753,"DDS demands","Known Flow",500883.921458,106983.284499,,0.000000,,,,,-0.199999,,-0.178843,-0.199999,,"",,,,,"D1 PROFILE",
"94117008104142","Nodes",,21.000000,38.518886,"Default Known Flow Node","Known Flow",501268.667145,106781.142317,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117008104062","Nodes",,0.000000,37.466846,"DDS demands","Known Flow",500536.544434,106953.626889,,0.000000,,,,,-4.119999,,-3.684177,-4.119999,,"",,,,,"D1 PROFILE",
"94117008104064","Nodes",,0.000000,38.565390,"DDS demands","Known Flow",500700.146619,107018.073060,,0.000000,,,,,-5.949999,,-5.320596,-5.949999,,"",,,,,"D1 PROFILE",
"94117008104063","Nodes",,0.000000,41.060227,"DDS demands","Known Flow",500665.649673,107024.480553,,0.000000,,,,,-2.419999,,-2.164007,-2.419999,,"",,,,,"D1 PROFILE",
"94117008104053","Nodes",,21.000000,27.110445,"DDS demands","Known Flow",502165.527800,106752.681258,,0.000000,,,,,-12.760000,,-11.410220,-12.760000,,"",,,,,"D1 PROFILE",
"94117008104054","Nodes",,21.000000,26.274896,"DDS demands","Known Flow",502289.526277,106609.963070,,0.000000,,,,,-14.579999,,-13.037696,-14.579999,,"",,,,,"D1 PROFILE",
"94117008104182","Nodes",,21.000000,26.833793,"DDS demands","Known Flow",503147.362702,106449.101311,,0.000000,,,,,-5.670000,,-5.070216,-5.670000,,"",,,,,"D1 PROFILE",
"94117008104187","Nodes",,21.000000,23.444264,"DDS demands","Known Flow",501346.689819,106403.550045,,0.000000,,,,,-2.209999,,-1.976221,-2.209999,,"",,,,,"D1 PROFILE",
"94117008104050","Nodes",,21.000000,23.609636,"DDS demands","Known Flow",501392.018763,106499.131709,,0.000000,,,,,-39.680001,,-35.482568,-39.680001,,"",,,,,"D1 PROFILE",
"94117008104185","Nodes",,21.000000,23.509377,"DDS demands","Known Flow",501369.768864,106507.861302,,0.000000,,,,,-1.330000,,-1.189309,-1.330000,,"",,,,,"D1 PROFILE",
"94117008104021","Nodes",,21.000000,31.469472,"DDS demands","Known Flow",500353.524996,106569.829356,,0.000000,,,,,-1.360000,,-1.216136,-1.360000,,"",,,,,"D1 PROFILE",
"94117008104150","Nodes",,21.000000,31.484326,"Default Known Flow Node","Known Flow",500391.902317,106556.806205,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117008104165","Nodes",,21.000000,41.256612,"DDS demands","Known Flow",500139.277249,107249.431394,,0.000000,,,-24.999999,,-4.210000,,-26.120103,-29.209998,,"",,,"C3  PROFILE",,"D1 PROFILE",
"94117008104056","Nodes",,21.000000,41.301669,"DDS demands","Known Flow",500198.653092,107198.588874,,0.000000,,,,,-0.239999,,-0.214612,-0.239999,,"",,,,,"D1 PROFILE",
"94117008104057","Nodes",,21.000000,41.347011,"DDS demands","Known Flow",500272.652285,107155.556368,,0.000000,,,,,-2.130000,,-1.904684,-2.130000,,"",,,,,"D1 PROFILE",
