"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94117908306057","Nodes","8306057","21.000000","31.519307","DDS demands","Known Flow","513006.300000","115662.332812","","0.000000","","-7.639999","","-30.010000","","","","","","-33.667303","-37.649999","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"94117908306053","Nodes","8306053","21.000000","31.606979","Default Known Flow Node","Known Flow","513072.300000","115696.700000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306081","Nodes","-251416","21.000000","32.271065","Default Known Flow Node","Known Flow","513040.300000","115866.450000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306048","Nodes","8306048","21.000000","32.271955","DDS demands","Known Flow","513043.925000","115865.450000","","0.000000","","","","-6.190000","","","","","","-5.535208","-6.190000","","","","","","D1 PROFILE","","","","",""
"94117908306082","Nodes","-251421","21.000000","31.072442","DDS demands","Known Flow","513047.675000","115571.832812","","0.000000","","","","-2.259999","","","","","","-2.020932","-2.259999","","","","","","D1 PROFILE","","","","",""
"94117908306097","Nodes","-261561","21.000000","31.075179","DDS demands","Known Flow","513045.800000","115571.700000","","0.000000","","","","-8.720000","","","","","","-7.797580","-8.720000","","","","","","D1 PROFILE","","","","",""
"94117908306060","Nodes","8306060","21.000000","30.023180","DDS demands","Known Flow","513069.425000","115584.332812","","0.000000","","","","-6.690000","","","","","","-5.982318","-6.690000","","","","","","D1 PROFILE","","","","",""
"94117908306083","Nodes","-251425","21.000000","29.610501","Default Known Flow Node","Known Flow","513073.675000","115618.450000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306086","Nodes","-251429","21.000000","32.466033","DDS demands","Known Flow","513109.425000","115828.832812","","0.000000","","","","-2.269999","","","","","","-2.029874","-2.269999","","","","","","D1 PROFILE","","","","",""
"94117908306045","Nodes","8306045","21.000000","32.471891","Default Known Flow Node","Known Flow","513125.800000","115828.332812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306087","Nodes","-251430","21.000000","31.694238","DDS demands","Known Flow","513115.300000","115773.582812","","0.000000","","","","-3.660000","","","","","","-3.272837","-3.660000","","","","","","D1 PROFILE","","","","",""
"94117908306052","Nodes","8306052","21.000000","31.703662","Default Known Flow Node","Known Flow","513122.300000","115780.582812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306055","Nodes","8306055","21.000000","31.680601","Default Known Flow Node","Known Flow","513010.800000","115707.950000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306056","Nodes","8306056","21.000000","31.577070","DDS demands","Known Flow","512904.300000","115716.950000","","0.000000","","","","-4.489999","","","","","","-4.015038","-4.489999","","","","","","D1 PROFILE","","","","",""
"94117908306016","Nodes","8306016","21.000000","31.686027","DDS demands","Known Flow","513034.050000","115705.700000","","0.000000","","","","-20.220000","","","","","","-18.081085","-20.220000","","","","","","D1 PROFILE","","","","",""
"94117908306051","Nodes","8306051","21.000000","31.988654","DDS demands","Known Flow","513039.300000","115784.200000","","0.000000","","","","-2.039999","","","","","","-1.824204","-2.039999","","","","","","D1 PROFILE","","","","",""
"94117908306050","Nodes","8306050","21.000000","32.054921","DDS demands","Known Flow","513040.425000","115805.582812","","0.000000","","","","-5.960000","","","","","","-5.329538","-5.960000","","","","","","D1 PROFILE","","","","",""
"94117908306049","Nodes","8306049","21.000000","27.377653","DDS demands","Known Flow","512928.800000","115878.832812","","0.000000","","","","-8.380000","","","","","","-7.493546","-8.380000","","","","","","D1 PROFILE","","","","",""
"94117908306080","Nodes","-251411","21.000000","31.911920","Default Known Flow Node","Known Flow","513000.425000","115808.582812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306084","Nodes","-251426","21.000000","32.443103","Default Known Flow Node","Known Flow","513075.300000","115872.200000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306058","Nodes","8306058","21.000000","31.081374","Default Known Flow Node","Known Flow","513044.300000","115571.700000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306062","Nodes","8306062","21.000000","29.756513","DDS demands","Known Flow","513135.925000","115553.950000","","0.000000","","","","-7.159999","","","","","","-6.402599","-7.159999","","","","","","D1 PROFILE","","","","",""
