"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94118208902016","Nodes","8902016",21.000000,27.629639,"DDS demands","Known Flow",539823.625000,109761.132812,,0.000000,,,,,-34.400002,,,,,-30.761098,-34.400002,,"",,,,,"D1 PROFILE",,,,
"94118209906017","Nodes","9906017",21.000000,25.573875,"DDS demands","Known Flow",544817.750000,112407.000000,,0.000000,-8.550000,,,-10.390000,-9.159999,,,,,-25.127523,-28.100001,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,
"94118209906158","Nodes","9906158",21.000000,25.561364,"Default Known Flow Node","Known Flow",544803.250000,112389.148437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94118209906019","Nodes","9906019",21.000000,25.499161,"DDS demands","Known Flow",544790.750000,112361.382812,,0.000000,,,,,-8.460000,,,,,-7.565083,-8.460000,,"",,,,,"D1 PROFILE",,,,
"94118209906055","Nodes","9906055",21.000000,35.755528,"DDS demands","Known Flow",545673.562500,112832.296875,,0.000000,,,,,-1.299999,,,,,-1.162483,-1.299999,,"",,,,,"D1 PROFILE",,,,
"94118209906180","Nodes","9906180",21.000000,38.610061,"DDS demands","Known Flow",541300.875000,111474.750000,,0.000000,,,,,-5.349999,,,,,-4.784065,-5.349999,,"",,,,,"D1 PROFILE",,,,
"94118209906156","Nodes","9906156",21.000000,38.553266,"DDS demands","Known Flow",541242.625000,111454.000000,,0.000000,,,,,-5.719999,,,,,-5.114926,-5.719999,,"",,,,,"D1 PROFILE",,,,
"94118208902235","Nodes","8902235",21.000000,27.887232,"DDS demands","Known Flow",540464.375000,111187.882812,,0.000000,,,,,-45.450001,,,,,-40.642206,-45.450001,,"",,,,,"D1 PROFILE",,,,
"94118208902305","Nodes","8902305",21.000000,27.832655,"Default Known Flow Node","Known Flow",540466.250000,111250.632812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94118200001380","Nodes",,21.000000,27.831233,"Default Known Flow Node","Known Flow",540463.923443,111248.626429,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
