"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",0.000000,-16.490000,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-9009.410006,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-658.670007,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-918.379989,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-1427.309990,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-143.709998,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-166.910000,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-985.439994,0.000000,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",,,1.000000,"Volumetric",0.000000
"DH","Flow Categories",-240.049996,0.000000,1.000000,"Volumetric",-1.000000
"IM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"CM","Flow Categories",,,1.000000,"Volumetric",0.000000
"DL","Flow Categories",,,1.000000,"Volumetric",0.000000
"PL-DC","Flow Categories",-84.729999,0.000000,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-133.110002,0.000000,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"CC","Flow Categories",-11.079999,0.000000,1.000000,"Volumetric",-1.000000
"PL-PL","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Fl2","Flow Categories",,,1.000000,"Volumetric",0.000000
