"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"94119609308254","Nodes","9308254",21.000000,23.761907,"Default Known Flow Node","Known Flow",526477.190000,116421.292812,,0.000000,,0.000000,0.000000,,"",
"94119609308255","Nodes","9308255",21.000000,23.795250,"DDS demands","Known Flow",526484.315000,116481.292812,,0.000000,-3.569999,-3.192357,-3.569999,,"",""
"94119609308240","Nodes","9308240",21.000000,23.577719,"DDS demands","Known Flow",526557.315000,116437.292812,,0.000000,-11.019999,-9.854281,-11.019999,,"","D1 PROFILE"
"94119609308239","Nodes","9308239",21.000000,24.088156,"DDS demands","Known Flow",526428.190000,116430.292812,,0.000000,-4.670000,-4.175997,-4.670000,,"","D1 PROFILE"
"94119609308259","Nodes","9308259",21.000000,24.328610,"Default Known Flow Node","Known Flow",526442.190000,116593.660000,,0.000000,,0.000000,0.000000,,"",
"94119609308242","Nodes","9308242",21.000000,25.467759,"DDS demands","Known Flow",526372.690000,116781.410000,,0.000000,-4.539999,-4.059749,-4.539999,,"","D1 PROFILE"
"94119609308241","Nodes","9308241",21.000000,25.736529,"Default Known Flow Node","Known Flow",526423.190000,116768.910000,,0.000000,,0.000000,0.000000,,"",
"94119609308257","Nodes","9308257",21.000000,25.736282,"Default Known Flow Node","Known Flow",526400.815000,116795.792812,,0.000000,,0.000000,0.000000,,"",
"94119609308243","Nodes","9308243",21.000000,25.736282,"DDS demands","Known Flow",526408.440000,116796.410000,,0.000000,-2.369999,-2.119296,-2.369999,,"","D1 PROFILE"
"94119609308248","Nodes","9308248",21.000000,25.035794,"DDS demands","Known Flow",526430.690000,116699.292812,,0.000000,-1.640000,-1.466517,-1.640000,,"","D1 PROFILE"
"94119609308251","Nodes","9308251",21.000000,24.907099,"DDS demands","Known Flow",526495.565000,116674.910000,,0.000000,-2.279999,-2.038816,-2.279999,,"","D1 PROFILE"
"94119609308249","Nodes","9308249",21.000000,24.897750,"Default Known Flow Node","Known Flow",526430.940000,116683.542812,,0.000000,,0.000000,0.000000,,"",
"94119609308252","Nodes","9308252",21.000000,24.713640,"DDS demands","Known Flow",526392.565000,116699.042812,,0.000000,-4.019999,-3.594755,-4.019999,,"","D1 PROFILE"
"94119609308244","Nodes","9308244",21.000000,25.770597,"DDS demands","Known Flow",526426.815000,116812.410000,,0.000000,-2.710000,-2.423330,-2.710000,,"","D1 PROFILE"
"94119609308246","Nodes","9308246",21.000000,25.768175,"DDS demands","Known Flow",526453.940000,116813.042812,,0.000000,-6.560000,-5.866069,-6.560000,,"","D1 PROFILE"
"94119609308245","Nodes","9308245",21.000000,25.769773,"DDS demands","Known Flow",526430.065000,116806.410000,,0.000000,-2.160000,-1.931510,-2.160000,,"","D1 PROFILE"
"94119609308258","Nodes","9308258",21.000000,25.769773,"Default Known Flow Node","Known Flow",526427.315000,116803.910000,,0.000000,,0.000000,0.000000,,"",
"94119609308250","Nodes","9308250",21.000000,24.860445,"DDS demands","Known Flow",526430.690000,116673.160000,,0.000000,-3.180000,-2.843613,-3.180000,,"","D1 PROFILE"
"94119609308238","Nodes","9308238",21.000000,24.369554,"DDS demands","Known Flow",526440.940000,116613.292812,,0.000000,-25.389999,-22.704191,-25.389999,,"","D1 PROFILE"
"94119609308247","Nodes","9308247",21.000000,25.761189,"DDS demands","Known Flow",526480.440000,116788.410000,,0.000000,-2.949999,-2.637942,-2.949999,,"","D1 PROFILE"
"94119609308237","Nodes","9308237",21.000000,25.803507,"DDS demands","Known Flow",526421.315000,116774.292812,,0.000000,-11.060000,-9.890050,-11.060000,,"","D1 PROFILE"
"94119609308007","Nodes","BARN CLOSE DG,",21.000000,25.999999,"Default Known Pressure Node","Known Pressure",526423.440000,116781.792812,,349.999985,,91.907707,102.780003,,"",
"94119609308256","Nodes","9308256",21.000000,23.017115,"DDS demands","Known Flow",526579.440000,116523.160000,,0.000000,-8.350000,-7.466719,-8.350000,,"","D1 PROFILE"
"94119609308253","Nodes","9308253",21.000000,24.080481,"DDS demands","Known Flow",526543.190000,116602.160000,,0.000000,-6.309999,-5.642515,-6.309999,,"","D1 PROFILE"
"94119600007172","Nodes","Logger 7172. os Squirrels, Church Lane",21.000000,24.014682,"Default Known Flow Node","Known Flow",526443.065000,116426.839687,,0.000000,,0.000000,0.000000,,"",
