"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94120409505324","Nodes","-264616","21.000000","69.987037","Default Known Flow Node","Known Flow","566758.345000","124349.990000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94120409505007","Nodes","BURWASH VILLAGE DG, Site ID 3195","21.000000","69.999999","Default Known Pressure Node","Known Pressure","566755.720000","124348.872812","","4290.000048","","","","","","","","411.948237","460.680015","","","","","","","","",""
"94120409505313","Nodes","9505313","21.000000","65.230291","DDS demands","Known Flow","567744.470000","125035.122812","","0.000000","","","","-1.120000","","","","-1.001524","-1.120000","","","","","","D1 PROFILE","","",""
"94120409505314","Nodes","9505314","21.000000","64.430108","DDS demands","Known Flow","567626.595000","125014.240000","","0.000000","","","","-7.469999","","","","-6.679807","-7.469999","","","","","","D1 PROFILE","","",""
"94120409505327","Nodes","-264620","21.000000","64.163226","DDS demands","Known Flow","567638.845000","124918.122812","","0.000000","","","","-8.520000","","","","-7.618736","-8.520000","","","","","","D1 PROFILE","","",""
"94120409505340","Nodes","-264642","21.000000","64.305620","Default Known Flow Node","Known Flow","567823.095000","125225.372812","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94120409505336","Nodes","-264634","21.000000","63.791896","Default Known Flow Node","Known Flow","567770.470000","125270.740000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94120409505300","Nodes","9505300","21.000000","68.241363","DDS demands","Known Flow","567125.220000","124630.872812","","0.000000","","","","-23.389999","","","","-20.915755","-23.389999","","","","","","D1 PROFILE","","",""
"94120409505325","Nodes","-264618","21.000000","67.013420","DDS demands","Known Flow","567128.970000","124606.240000","","0.000000","","","","-9.289999","","","","-8.307284","-9.289999","","","","","","D1 PROFILE","","",""
"94120409505301","Nodes","9505301","21.000000","67.823635","DDS demands","Known Flow","567213.845000","124666.740000","","0.000000","-4.400000","","","-60.349997","","","","-57.900609","-64.749995","","","C1 PROFILE","","","D1 PROFILE","","",""
